
[00:00:00.000 --> 00:00:03.000]  和大家思想這個題目
[00:00:03.000 --> 00:00:05.000]  強印才能吸引他人
[00:00:05.000 --> 00:00:07.000]  我們會思想比特前書三章
[00:00:07.000 --> 00:00:09.000]  13到22節
[00:00:09.000 --> 00:00:11.000]  外國有一宗醫療糾紛
[00:00:11.000 --> 00:00:12.000]  是這樣的
[00:00:12.000 --> 00:00:14.000]  有一次有個病患者
[00:00:14.000 --> 00:00:16.000]  他發覺他的肚子很脹
[00:00:16.000 --> 00:00:19.000]  家人就和他去看醫生
[00:00:19.000 --> 00:00:21.000]  醫生就發現他肚子裏面
[00:00:21.000 --> 00:00:24.000]  應該是一些腹水
[00:00:24.000 --> 00:00:26.000]  所以就安排他去
[00:00:26.000 --> 00:00:30.000]  去另一個大樓做檢驗
[00:00:30.000 --> 00:00:33.000]  在當中幫他抽血和照超聲波
[00:00:33.000 --> 00:00:38.000]  當日就已經證實了他是肝硬化
[00:00:38.000 --> 00:00:43.000]  家屬和他的爸爸
[00:00:43.000 --> 00:00:45.000]  這個病患者
[00:00:45.000 --> 00:00:46.000]  就去見醫生
[00:00:46.000 --> 00:00:48.000]  醫生就和他說
[00:00:48.000 --> 00:00:51.000]  肝硬化是沒有辦法醫治的
[00:00:51.000 --> 00:00:55.000]  你爸爸會陸陸續續有病發症出現
[00:00:55.000 --> 00:00:57.000]  不過現在的情況
[00:00:57.000 --> 00:01:04.000]  你爸爸的腹積水或腳腫都是輕微
[00:01:04.000 --> 00:01:07.000]  七天後再來覆診
[00:01:07.000 --> 00:01:11.000]  如果你在家屬聽到七天會怎樣
[00:01:11.000 --> 00:01:14.000]  你很自然就像家屬這樣問
[00:01:14.000 --> 00:01:16.000]  為什麼是七天呢
[00:01:16.000 --> 00:01:19.000]  醫生就繼續回答
[00:01:19.000 --> 00:01:24.000]  就算你爸爸現在的情況已經變成肝癌
[00:01:24.000 --> 00:01:28.000]  但是肝硬化是沒有辦法醫治的
[00:01:28.000 --> 00:01:30.000]  除非肝臟移植
[00:01:30.000 --> 00:01:33.000]  但是要等肝臟移植
[00:01:33.000 --> 00:01:35.000]  按照那裏的法例
[00:01:35.000 --> 00:01:39.000]  40歲以上的機會不大
[00:01:39.000 --> 00:01:45.000]  加上你爸爸現在沒有什麼嚴重的病發症發生
[00:01:45.000 --> 00:01:49.000]  留院其實沒有什麼太大幫助
[00:01:49.000 --> 00:01:53.000]  不如先去門診追蹤
[00:01:53.000 --> 00:01:57.000]  七天後我們評估一下尿道劑的療效
[00:01:57.000 --> 00:02:00.000]  還有看看血液報告
[00:02:00.000 --> 00:02:03.000]  再看看進一步怎樣做
