
[00:00:00.000 --> 00:00:06.000]  多謝敬拜隊,很開心見到此兩大敬拜
[00:00:06.000 --> 00:00:13.000]  我們今天跟大家分享一個訊息
[00:00:13.000 --> 00:00:17.000]  以斯拉記第二講,「起來回家」
[00:00:17.000 --> 00:00:20.000]  也是一篇很難講的訊息
[00:00:20.000 --> 00:00:27.000]  其中一個原因,因為以斯拉記第二章有70節經文
[00:00:27.000 --> 00:00:34.000]  當然也不會由第一節讀到70節,否則讀完應該是夠鐘
[00:00:34.000 --> 00:00:37.000]  就算未夠鐘,你應該是睡著了
[00:00:37.000 --> 00:00:41.000]  因為70節中有60節是名單
[00:00:41.000 --> 00:00:45.000]  可能讀到10節已經雙眼反白
[00:00:45.000 --> 00:00:49.000]  但也會講一點點,我不會逐個名字去講
[00:00:49.000 --> 00:00:55.000]  但也會就著我這個名單觀察到的東西,體會到的東西跟大家分享
[00:00:55.000 --> 00:01:00.000]  但也要讀一點點聖經,幫助我們進入
[00:01:00.000 --> 00:01:01.000]  我們讀一讀吧
[00:01:01.000 --> 00:01:02.000]  由第一節開始
[00:01:02.000 --> 00:01:22.000]  「這些是從秘魯之地上來的省民,巴比倫王尼布格尼撒將他們擄到巴比倫,他們重返耶路撒冷和猶大,各歸本城,他們和所羅巴伯耶穌、尼希米、西萊瓦、利萊瓦、末底改、必山米斯、匹比格瓦、伊利宏、巴拿一起回來的」
[00:01:22.000 --> 00:01:26.000]  放心,名單讀到這裡就完了,後面的我不會繼續讀
[00:01:26.000 --> 00:01:29.000]  「以色列百姓人數如下」
[00:01:29.000 --> 00:01:33.000]  我們跳60節的經文,我們到64
[00:01:33.000 --> 00:01:40.000]  「全會中共有42,360名,此外還有他們的瀑被7,337名」
[00:01:40.000 --> 00:01:44.000]  你計算一下,加起來應該也不錯
[00:01:44.000 --> 00:01:49.000]  因為42,000人有7,000個瀑北,平均6個人有一個瀑被,也不錯
[00:01:49.000 --> 00:02:00.000]  「又有歌唱的男女200名,還有736匹馬,245匹雷子,435匹駱駝,6,720匹驢」
[00:02:00.000 --> 00:02:01.000]  很多數字
[00:02:01.000 --> 00:02:03.000]  68了
[00:02:03.000 --> 00:02:11.000]  「有些族長去到耶路撒冷耶和華的殿,為上帝的殿金心獻上禮物,要在原有的根基上重新建造
[00:02:11.000 --> 00:02:20.000]  他們量力捐獻入宮城的庫房,有61000達尼克金紙,5000尼蘭銀紙和100件祭司的禮服」
[00:02:20.000 --> 00:02:22.000]  已經做好了禮服
[00:02:22.000 --> 00:02:30.000]  「於是祭司、利未人、百姓中的一些人,歌唱的門口的守衛,奠翼各住在自己的城裡
[00:02:30.000 --> 00:02:34.000]  以色列眾人都住在自己的城裡」
[00:02:34.000 --> 00:02:37.000]  讀完了,70節經文
