
[00:00:00.000 --> 00:00:05.400]  很感恩有機會跟大家分享訊息
[00:00:05.400 --> 00:00:12.040]  大家對於情緒健康教會這個系列
[00:00:12.040 --> 00:00:13.480]  不知道還有沒有印象呢?
[00:00:13.480 --> 00:00:16.560]  有些人點頭有
[00:00:16.560 --> 00:00:18.720]  點得很大力的是我太太
[00:00:18.720 --> 00:00:24.520]  情緒健康教會我們已經講了六講
[00:00:24.520 --> 00:00:26.360]  今天是第七講
[00:00:26.360 --> 00:00:31.680]  不知道過去對於之前的六講大家還有沒有印象?
[00:00:31.680 --> 00:00:39.640]  不要緊,如果你們未必有印象的話
[00:00:39.640 --> 00:00:43.840]  一會兒我會再跟大家有回顧
[00:00:43.840 --> 00:00:46.480]  今天是最後一講,第七講
[00:00:46.480 --> 00:00:47.920]  表裡一致
[00:00:47.920 --> 00:00:50.960]  在網上我找到這一句話
[00:00:50.960 --> 00:00:55.400]  「真君子表裡如一,言行一致」
[00:00:55.400 --> 00:01:00.400]  偽君子表裡不一,行不淺然
[00:01:00.400 --> 00:01:04.160]  不知道大家聽完這句話之後有什麼感受?
[00:01:04.160 --> 00:01:09.400]  我在想,其實我們每個人都想做真君子
[00:01:09.400 --> 00:01:11.080]  沒有人想做偽君子
[00:01:11.080 --> 00:01:19.400]  但問題在於我們可否貫徹始終去做一個真君子
[00:01:19.400 --> 00:01:22.600]  可能有些事衝擊我們的時候
[00:01:22.600 --> 00:01:28.200]  我們發現我們很難去真正做到表裡一致這件事情
[00:01:28.200 --> 00:01:31.080]  我們很多時候做基督徒
[00:01:31.080 --> 00:01:32.400]  我們想做一個好人
[00:01:32.400 --> 00:01:37.360]  我們想對方得著滿足
[00:01:37.360 --> 00:01:43.320]  很多時候因為這樣我們會跟著別人的期望去做事
[00:01:43.320 --> 00:01:47.320]  漸漸可能拿捏得不好的話
[00:01:47.320 --> 00:01:50.080]  就會變成討好別人
[00:01:50.080 --> 00:01:55.280]  將自己真正的感受放下
[00:01:55.280 --> 00:02:00.480]  在不同的人面前我們可能戴著不同的面具去生活
[00:02:00.480 --> 00:02:05.880]  真正覺得舒服的自己已經放在一邊
[00:02:05.880 --> 00:02:08.000]  在這樣的情況下
[00:02:08.000 --> 00:02:12.000]  很多時候我們有一些情緒抑壓在裡面
[00:02:12.000 --> 00:02:16.480]  情緒壓力就會在某一個位置爆發出來
[00:02:16.480 --> 00:02:18.880]  最受罪的是誰呢?
[00:02:18.880 --> 00:02:22.280]  很多時候是你身邊最愛的人
[00:02:22.280 --> 00:02:25.480]  或者我聽過有人跟我說
[00:02:25.480 --> 00:02:28.880]  Raymond 做人假假地才好
[00:02:28.880 --> 00:02:32.480]  你太真實的話很容易受傷害
[00:02:32.480 --> 00:02:38.880]  我心想可能你真的經歷很多傷害
[00:02:38.880 --> 00:02:44.080]  但同時也讓我感受到他對人失去信任
[00:02:44.080 --> 00:02:48.680]  對世界失去盼望的那種灰暗
[00:02:48.680 --> 00:02:50.480]  那種暗淡無光
[00:02:50.480 --> 00:02:53.280]  或者如果這樣想這樣做事情
[00:02:53.280 --> 00:02:56.880]  我們可能避過了一些問題
[00:02:56.880 --> 00:03:03.280]  但同時我們其實是被世界的世情帶著走
[00:03:03.280 --> 00:03:05.080]  在事情未發生之前
[00:03:05.080 --> 00:03:09.480]  其實你已經先害怕了
[00:03:09.480 --> 00:03:14.080]  又或者你會不會都經歷過一些
[00:03:14.080 --> 00:03:17.880]  你很崇拜很尊敬的人
[00:03:17.880 --> 00:03:22.480]  他是給了一個表裡一致的榜樣給你看
[00:03:22.480 --> 00:03:26.280]  幾個星期前我去沙田圍堂講道
[00:03:26.280 --> 00:03:33.080]  在會中席當中坐了我的神學院老師
[00:03:33.080 --> 00:03:38.280]  在未開始崇拜之前我走過去打招呼
[00:03:38.280 --> 00:03:42.080]  他很開心見到我
[00:03:42.080 --> 00:03:44.080]  他說Raymond 你講道啊?
[00:03:44.080 --> 00:03:48.080]  之後有一個尷尬的笑容
[00:03:48.080 --> 00:03:53.880]  我坐在台下會不會令你感覺到有壓力?
[00:03:53.880 --> 00:03:57.480]  我跟他說 老師 當然不會
[00:03:57.480 --> 00:04:01.880]  你在這裡 我感覺被愛包圍
[00:04:01.880 --> 00:04:04.480]  這個真的不是去討好他
[00:04:04.480 --> 00:04:07.880]  為什麼?因為過去四年跟他一起
[00:04:07.880 --> 00:04:11.680]  他教導我經歷的事情
[00:04:11.680 --> 00:04:14.280]  教我所做的事情
[00:04:14.280 --> 00:04:18.080]  其實我很清楚他的生命
[00:04:18.080 --> 00:04:22.280]  就是在走在一個表裡一致的道路上
[00:04:22.280 --> 00:04:25.680]  所以這些神學院老師也好
[00:04:25.680 --> 00:04:27.480]  可能是你的驅牧也好
[00:04:27.480 --> 00:04:29.680]  可能是你的組長也好
[00:04:29.680 --> 00:04:31.480]  他一個表裡一致
[00:04:31.480 --> 00:04:37.680]  一個活在一個表裡一致的生命裏的信徒
