
[00:00:00.000 --> 00:00:03.200]  亭軒姐妹大家好
[00:00:03.200 --> 00:00:06.800]  今天天氣不似預期
[00:00:06.800 --> 00:00:11.200]  但也要讀聖經的
[00:00:11.200 --> 00:00:14.200]  今天先介紹自己
[00:00:14.200 --> 00:00:16.800]  看完後不堂青少年區目
[00:00:16.800 --> 00:00:18.200]  我是Kim叔
[00:00:18.200 --> 00:00:22.000]  今天跟大家分享的題目是
[00:00:22.000 --> 00:00:23.800]  互為之體之道
[00:00:23.800 --> 00:00:27.200]  今天的副題
[00:00:27.200 --> 00:00:30.200]  留意
[00:00:30.200 --> 00:00:33.200]  本來是來自《加泰書五章》十三節
[00:00:33.200 --> 00:00:35.200]  不過我加多一節就是十四節
[00:00:35.200 --> 00:00:36.600]  這時候不如邀請大家
[00:00:36.600 --> 00:00:38.200]  無論你在網上還是現場
[00:00:38.200 --> 00:00:40.200]  一起讀一讀這兩節經文
[00:00:40.200 --> 00:00:41.200]  1 2 3
[00:00:41.200 --> 00:00:45.200]  弟兄們,你們蒙召是要得自由
[00:00:45.200 --> 00:00:50.200]  只是不可把這自由當作放縱情慾的機會
[00:00:50.200 --> 00:00:53.200]  總要用愛心互相服侍
[00:00:53.200 --> 00:00:58.200]  因為全部律法都包括在《愛倫如紀》這句話之內
[00:00:58.200 --> 00:01:04.200]  這兩節經文出自保羅的口
[00:01:04.200 --> 00:01:06.200]  或者他的手
[00:01:06.200 --> 00:01:08.200]  很簡單的
[00:01:08.200 --> 00:01:11.200]  整段經文很想告訴加泰的信徒
[00:01:11.200 --> 00:01:16.200]  你們不要屈服在煽動者的要求
[00:01:16.200 --> 00:01:18.200]  那些煽動者的要求是什麼呢
[00:01:18.200 --> 00:01:22.200]  就是要那些加泰信徒行國禮
[00:01:22.200 --> 00:01:25.200]  其實當說到這時
[00:01:25.200 --> 00:01:30.200]  就涉及到一些那個年代的信仰議題和爭議
[00:01:30.200 --> 00:01:32.200]  不過保羅真正關心的地方
[00:01:32.200 --> 00:01:35.200]  不是想討論這些問題
[00:01:35.200 --> 00:01:39.200]  他真正關注的地方是
[00:01:39.200 --> 00:01:41.200]  有沒有行國禮並不重要
[00:01:41.200 --> 00:01:43.200]  不過是那些煽動者
[00:01:43.200 --> 00:01:49.200]  他們覺得你行國禮就是一個上帝的祝福
[00:01:49.200 --> 00:01:54.200]  這個記號你才可以稱你是上帝的人
[00:01:54.200 --> 00:01:59.200]  其實這個傳統在阿伯拉罕時代已經開始
[00:01:59.200 --> 00:02:01.200]  不是剛剛才發生
[00:02:01.200 --> 00:02:03.200]  由傳到荷蘭摩西
[00:02:03.200 --> 00:02:05.200]  甚至到現在的猶太人
[00:02:05.200 --> 00:02:07.200]  都是遵守這個律法
[00:02:07.200 --> 00:02:09.200]  不過保羅就很有趣
[00:02:09.200 --> 00:02:11.200]  他在整封信的論證
[00:02:11.200 --> 00:02:13.200]  他非常清晰地說
[00:02:13.200 --> 00:02:16.200]  外邦的信徒不需要遵守
[00:02:16.200 --> 00:02:19.200]  這些猶太人的律法都可以得救
[00:02:19.200 --> 00:02:23.200]  因為信心的來源就是我們的耶穌基督
[00:02:23.200 --> 00:02:25.200]  不是那些國禮
[00:02:25.200 --> 00:02:28.200]  所以今天我想和大家看看保羅
[00:02:28.200 --> 00:02:33.200]  保羅他怎樣用一個自由和愛
[00:02:33.200 --> 00:02:36.200]  去理解基督教的信仰
