
[00:00:00.000 --> 00:00:02.000]  明天已經是2月了
[00:00:02.000 --> 00:00:04.000]  新年快到了
[00:00:04.000 --> 00:00:06.000]  好吧
[00:00:06.000 --> 00:00:08.000]  今天繼續是
[00:00:08.000 --> 00:00:12.000]  「發現恩典」廣告系列
[00:00:12.000 --> 00:00:14.000]  在開始之前
[00:00:14.000 --> 00:00:16.000]  我想先問大家
[00:00:16.000 --> 00:00:18.000]  一些問題
[00:00:18.000 --> 00:00:20.000]  最近你們有沒有遇到
[00:00:20.000 --> 00:00:22.000]  什麼令你煩惱的事
[00:00:22.000 --> 00:00:24.000]  很大壓力?有沒有?
[00:00:24.000 --> 00:00:26.000]  沒有嗎?大家這麼平安
[00:00:26.000 --> 00:00:28.000]  喂,真的
[00:00:28.000 --> 00:00:30.000]  也有的
[00:00:30.000 --> 00:00:32.000]  好吧
[00:00:32.000 --> 00:00:34.000]  當你真的陷入了
[00:00:34.000 --> 00:00:36.000]  這些困難和壓力
[00:00:36.000 --> 00:00:38.000]  你會第一個想起
[00:00:38.000 --> 00:00:40.000]  可以求助的對象
[00:00:40.000 --> 00:00:42.000]  是誰?
[00:00:42.000 --> 00:00:44.000]  會是你
[00:00:44.000 --> 00:00:46.000]  最親密的朋友
[00:00:46.000 --> 00:00:48.000]  有事就打電話給他
[00:00:48.000 --> 00:00:50.000]  很慘啊,最近發生什麼事
[00:00:50.000 --> 00:00:52.000]  還是你覺得
[00:00:52.000 --> 00:00:54.000]  找一些可靠的前輩
[00:00:54.000 --> 00:00:56.000]  師長
[00:00:56.000 --> 00:00:58.000]  找他
[00:00:58.000 --> 00:01:00.000]  「叔叔,你有時間嗎?」
[00:01:00.000 --> 00:01:02.000]  「我想跟你談談人生的問題」
[00:01:02.000 --> 00:01:04.000]  還是
[00:01:04.000 --> 00:01:06.000]  想社交媒體
[00:01:06.000 --> 00:01:08.000]  例如Thread
[00:01:08.000 --> 00:01:10.000]  是不是讀Thread
