
[00:00:00.000 --> 00:00:03.720]  好,又再見大家,大家好
[00:00:03.720 --> 00:00:05.720]  很久沒見過大家
[00:00:05.720 --> 00:00:10.080]  今天我又來到當中講道
[00:00:10.080 --> 00:00:12.080]  願主祝福大家
[00:00:12.080 --> 00:00:16.720]  今天的講題就是重建關係
[00:00:16.720 --> 00:00:20.720]  讓我重開PowerPoint
[00:00:20.720 --> 00:00:22.720]  對了
[00:00:22.720 --> 00:00:24.720]  讓我重新下載
[00:00:24.720 --> 00:00:26.720]  原來有很多頁
[00:00:28.720 --> 00:00:30.720]  咦,不是嗎
[00:00:30.720 --> 00:00:32.720]  這麼出相
[00:00:32.720 --> 00:00:34.720]  糟糕了
[00:00:34.720 --> 00:00:39.720]  證明我們年紀大了
[00:00:39.720 --> 00:00:46.720]  AI的東西真是難搞
[00:00:46.720 --> 00:00:49.720]  電腦的東西難搞
[00:00:49.720 --> 00:00:51.720]  上個月有嗎
[00:00:51.720 --> 00:00:53.720]  對了
[00:00:53.720 --> 00:00:55.720]  重建關係的系列
[00:00:55.720 --> 00:00:58.720]  我與社會的關係,社會文化
[00:00:58.720 --> 00:01:01.720]  我一收到這個講題就糟糕了
[00:01:01.720 --> 00:01:04.720]  我的文化在我六七十年
[00:01:04.720 --> 00:01:06.720]  不要說得這麼早
[00:01:06.720 --> 00:01:08.720]  七八十年代
[00:01:08.720 --> 00:01:10.720]  七八十年代還在笑
[00:01:10.720 --> 00:01:14.720]  你們二千年後的
[00:01:14.720 --> 00:01:16.720]  我真是拗頭了
[00:01:16.720 --> 00:01:18.720]  現在什麼文化呢
[00:01:18.720 --> 00:01:20.720]  我真是不知道怎麼說
[00:01:20.720 --> 00:01:22.720]  不過不要緊的
[00:01:22.720 --> 00:01:24.720]  希望我能夠進入大家的世界
[00:01:24.720 --> 00:01:26.720]  看看
[00:01:26.720 --> 00:01:28.720]  我們看看
[00:01:28.720 --> 00:01:32.720]  社會的文化是怎樣呢
[00:01:32.720 --> 00:01:36.720]  社會其實就是一個群體聚集的地方
[00:01:36.720 --> 00:01:38.720]  就是一個社會
[00:01:38.720 --> 00:01:40.720]  整群人聚集在這裡
[00:01:40.720 --> 00:01:42.720]  裡面包括一些制度
[00:01:42.720 --> 00:01:44.720]  當然要有制度
[00:01:44.720 --> 00:01:46.720]  如果一個群體裡面沒有制度會怎樣
[00:01:46.720 --> 00:01:48.720]  很混亂的
[00:01:48.720 --> 00:01:51.720]  有時候混亂到殺人放火都可以
[00:01:51.720 --> 00:01:54.720]  當然是有規矩的
[00:01:54.720 --> 00:01:56.720]  還有穩定的社會
[00:01:56.720 --> 00:01:59.720]  還有一些秩序在當中
[00:01:59.720 --> 00:02:02.720]  而文化是什麼呢
[00:02:02.720 --> 00:02:07.720]  文化就是由人互動而發展出來的
[00:02:07.720 --> 00:02:09.720]  有什麼呢
[00:02:09.720 --> 00:02:11.720]  與你對話都是文化
[00:02:11.720 --> 00:02:13.720]  語言的文化
[00:02:13.720 --> 00:02:15.720]  生活的方式
[00:02:15.720 --> 00:02:17.720]  生活的價值觀
[00:02:17.720 --> 00:02:20.720]  而聖經裡面
[00:02:20.720 --> 00:02:23.720]  人可不可以獨居的
[00:02:23.720 --> 00:02:25.720]  不行的
[00:02:25.720 --> 00:02:27.720]  聖經也說了
[00:02:27.720 --> 00:02:28.720]  男人獨居不好
[00:02:28.720 --> 00:02:30.720]  不只是男人
[00:02:30.720 --> 00:02:32.720]  我們經常說男人獨居不好
[00:02:32.720 --> 00:02:34.720]  女人可以獨居一個人
[00:02:34.720 --> 00:02:36.720]  女人更加要群體的
[00:02:36.720 --> 00:02:38.720]  可以聊天可以說話
[00:02:38.720 --> 00:02:39.720]  笑話
[00:02:39.720 --> 00:02:41.720]  聊天
[00:02:41.720 --> 00:02:43.720]  女生最喜歡聊天
[00:02:43.720 --> 00:02:48.720]  正正現今的文化是怎樣影響我們呢
[00:02:48.720 --> 00:02:51.720]  進入罪的時候
[00:02:51.720 --> 00:02:54.720]  文化就會有很大的改變
[00:02:54.720 --> 00:03:00.720]  在罪裡面甚至產生了不好的文化
[00:03:00.720 --> 00:03:03.720]  然而我們作為基督徒
[00:03:03.720 --> 00:03:07.720]  我們屬於這個世界的時候
[00:03:07.720 --> 00:03:10.720]  大聖經裡面說什麼
