
[00:00:00.000 --> 00:00:05.640]  歡迎大家收看我們青少年崇拜的直播
[00:00:05.640 --> 00:00:09.160]  今天來到一個新的系列
[00:00:09.160 --> 00:00:12.800]  也是一個我十分期待的系列
[00:00:12.800 --> 00:00:15.640]  這個系列叫In a Relationship
[00:00:15.640 --> 00:00:21.400]  是關於關係上的事情
[00:00:21.400 --> 00:00:24.600]  這個系列是講什麼的呢?
[00:00:24.600 --> 00:00:28.400]  我寫了一段文字去介紹這個系列
[00:00:28.400 --> 00:00:31.440]  這個系列是講感情關係
[00:00:31.440 --> 00:00:34.800]  感情關係是人生一個很大的領域
[00:00:34.800 --> 00:00:37.040]  有些人如魚得水
[00:00:37.040 --> 00:00:40.000]  但也有些人舉步維艱
[00:00:40.000 --> 00:00:43.240]  過去教會對於戀愛的教導
[00:00:43.240 --> 00:00:45.040]  給人的感覺都是很多傳統
[00:00:45.040 --> 00:00:47.600]  或者很多限制、禁制
[00:00:47.600 --> 00:00:50.400]  但事實又是不是這樣呢?
[00:00:50.400 --> 00:00:56.600]  這個系列希望青少年在信仰的基礎下
[00:00:56.600 --> 00:00:58.000]  能夠預備好自己
[00:00:58.000 --> 00:01:00.240]  進入一段親密的關係
[00:01:00.240 --> 00:01:02.560]  而在感情不同的階段
[00:01:02.560 --> 00:01:06.640]  希望這個系列能夠幫助大家得到一個造就
[00:01:06.640 --> 00:01:11.040]  發現自己、發現對方和上帝更多
[00:01:11.040 --> 00:01:13.400]  不過戴一點頭盔
[00:01:13.400 --> 00:01:20.800]  這個系列只能夠憑我們對於聖經的理解
[00:01:20.800 --> 00:01:22.600]  我們自己的經驗
[00:01:22.600 --> 00:01:25.600]  甚至是聖靈的帶領去宣講
[00:01:25.600 --> 00:01:29.800]  但若果大家真的遇見一些困難
[00:01:29.800 --> 00:01:34.000]  或者需要一些解決問題的方法
[00:01:34.000 --> 00:01:36.240]  只聽這個系列是不行的
[00:01:36.240 --> 00:01:39.640]  可以尋求目者的傾談
[00:01:39.640 --> 00:01:44.840]  甚至是需要找一些專業的輔導幫助大家
[00:01:44.840 --> 00:01:47.240]  這個系列總共有八講
[00:01:47.240 --> 00:01:50.840]  今天是第一講是關於一吟之樂
[00:01:50.840 --> 00:01:55.640]  往後會牽涉到感情關係不同的階段
[00:01:55.640 --> 00:01:59.240]  盼望大家在這些講道中
[00:01:59.240 --> 00:02:01.440]  能夠找到適合自己的
[00:02:01.440 --> 00:02:03.440]  在不同的階段中
[00:02:03.440 --> 00:02:07.640]  有什麼是值得我們學習和幫助我們的呢?
[00:02:07.640 --> 00:02:09.240]  今天講一吟之樂
[00:02:09.240 --> 00:02:14.640]  很明顯就是對單身的弟兄姊妹去講
[00:02:14.640 --> 00:02:16.640]  很可能在過去幾天
[00:02:16.640 --> 00:02:20.440]  大家拜年的時候都有經歷過
[00:02:20.440 --> 00:02:26.440]  可能很多親戚朋友都會去問候大家
[00:02:26.440 --> 00:02:28.440]  可能是這些問題
[00:02:28.440 --> 00:02:29.840]  什麼時候拍拖?
