
[00:00:00.000 --> 00:00:05.000]  再有誰是爸爸的? 請舉手
[00:00:05.000 --> 00:00:09.000]  你有口福了
[00:00:09.000 --> 00:00:13.000]  母親節有淘交
[00:00:13.000 --> 00:00:15.000]  你猜今天是甚麼?
[00:00:15.000 --> 00:00:17.000]  先不說了
[00:00:17.000 --> 00:00:23.000]  今天是母親的祝福
[00:00:23.000 --> 00:00:26.000]  這是一個相關的說話
[00:00:26.000 --> 00:00:30.000]  除了借著今天的訊息
[00:00:30.000 --> 00:00:34.000]  好像你們待會可以享用的東西
[00:00:34.000 --> 00:00:39.000]  是一個禮物、祝福之外
[00:00:39.000 --> 00:00:47.000]  我更想透過聖經分享父親給子女的祝福是甚麼
[00:00:47.000 --> 00:00:49.000]  我有兩個女兒
[00:00:49.000 --> 00:00:52.000]  一個在讀小學,一個在讀幼稚園
[00:00:52.000 --> 00:00:56.000]  我明白今天做爸爸很不容易
[00:00:56.000 --> 00:00:58.000]  跟上一代的爸爸比較
[00:00:58.000 --> 00:01:00.000]  要我們十項全能
[00:01:00.000 --> 00:01:04.000]  要我們工作上又上進又拼搏
[00:01:04.000 --> 00:01:07.000]  回家又可以懂得親子互動
[00:01:07.000 --> 00:01:10.000]  又可以配搭我們的太太
[00:01:10.000 --> 00:01:12.000]  就像這幅圖
[00:01:12.000 --> 00:01:14.000]  在公司是很厲害的
[00:01:14.000 --> 00:01:16.000]  有一隻牛很牛逼
[00:01:16.000 --> 00:01:18.000]  回家可以扮牛
[00:01:18.000 --> 00:01:20.000]  又不怕骯髒
[00:01:20.000 --> 00:01:22.000]  可以跟子女玩
[00:01:22.000 --> 00:01:25.000]  也可以進入子女的世界
[00:01:25.000 --> 00:01:28.000]  我眼裡都說到十隻八隻Pokemon的名字
[00:01:28.000 --> 00:01:31.000]  也要解鎖很多技能
[00:01:31.000 --> 00:01:34.000]  我曾經想學習Elsa變魔
[00:01:34.000 --> 00:01:35.000]  放棄了
[00:01:35.000 --> 00:01:38.000]  大家幫我吹長頭髮
[00:01:38.000 --> 00:01:40.000]  我很有一手
[00:01:40.000 --> 00:01:42.000]  隨時隨地都睡得著
[00:01:42.000 --> 00:01:44.000]  太累了
[00:01:44.000 --> 00:01:47.000]  最近我不知道有沒有爸爸
[00:01:47.000 --> 00:01:49.000]  不能去啟德看球賽
[00:01:49.000 --> 00:01:51.000]  要在家裡看
[00:01:51.000 --> 00:01:55.000]  特別在座的爸爸
[00:01:55.000 --> 00:02:01.000]  你還要照顧你的高堂
[00:02:01.000 --> 00:02:04.000]  可能是你父母或我父母
[00:02:04.000 --> 00:02:06.000]  我相信你的擔子更重
[00:02:06.000 --> 00:02:08.000]  有沒有這樣的爸爸在場?
[00:02:08.000 --> 00:02:10.000]  不敢
[00:02:10.000 --> 00:02:12.000]  沒有理由的
[00:02:12.000 --> 00:02:15.000]  你不敢認不要緊
[00:02:15.000 --> 00:02:22.000]  旁邊的爸爸又要照顧兒子和父母
[00:02:22.000 --> 00:02:24.000]  你打他肩膀
[00:02:24.000 --> 00:02:26.000]  你給他一個低
[00:02:26.000 --> 00:02:28.000]  不容易的
[00:02:28.000 --> 00:02:31.000]  所以
[00:02:31.000 --> 00:02:34.000]  這些對弟兄的欣賞
[00:02:34.000 --> 00:02:36.000]  在教會就有
[00:02:36.000 --> 00:02:38.000]  出到社會沒有
