
[00:00:00.000 --> 00:00:03.400]  大英姐妹各位平安
[00:00:03.400 --> 00:00:09.400]  都是一月份,2024年新的一年
[00:00:09.400 --> 00:00:16.000]  今日都是第一次在小力園堂新的一年跟大家分享訊息
[00:00:16.000 --> 00:00:24.000]  在這裡祝福大家在新的一年更多的經歷上帝與主親近
[00:00:24.000 --> 00:00:37.400]  在新的一年我、Karen和Raymond會一起跟大家分享一個新的港島系列
[00:00:37.400 --> 00:00:40.000]  就是摩西十誡這個系列
[00:00:40.000 --> 00:00:47.000]  今日是第一講,題目是當你快要慌張酬賬的時候
[00:00:47.000 --> 00:00:52.000]  經文是記載在《出口及記》20章1至3節
[00:00:52.000 --> 00:00:56.000]  我們很熟悉摩西十誡第一誡
[00:00:56.000 --> 00:01:00.000]  就是不可有別臣這一段經文
[00:01:00.000 --> 00:01:05.000]  在開始的時候也分享一下我自己的一些經歷
[00:01:05.000 --> 00:01:11.000]  我未全職侍奉之前是一位物理治療師
[00:01:11.000 --> 00:01:15.000]  也做了一段時間物理治療的工作
[00:01:15.000 --> 00:01:25.000]  回想當年輕讀中學,考試,然後選科的時候
[00:01:25.000 --> 00:01:31.000]  我當時就開始想將來的工作應該是怎樣的呢?
[00:01:31.000 --> 00:01:34.000]  我就定了一些條件
[00:01:34.000 --> 00:01:39.000]  第一個條件就是我不想坐在辦公室對著電腦那麼悶
[00:01:39.000 --> 00:01:45.000]  我又想上班的時候可以做到一些幫到人的事情
[00:01:45.000 --> 00:01:48.000]  另外第三個條件是什麼呢?
[00:01:48.000 --> 00:01:55.000]  特別是我小時候,自己家庭屬於基層一點
[00:01:55.000 --> 00:01:57.000]  不是很富有的
[00:01:57.000 --> 00:02:02.000]  我很想將來的生活比較安穩
[00:02:02.000 --> 00:02:09.000]  工作的收入,薪水,都讓我有一個安穩的日子
[00:02:09.000 --> 00:02:12.000]  我記得當我選科的時候
[00:02:12.000 --> 00:02:17.000]  當時新聞報道是鋪天蓋地說
[00:02:17.000 --> 00:02:21.000]  香港的人口將來會老化得很厲害
[00:02:21.000 --> 00:02:24.000]  醫護人員是請不到的
[00:02:24.000 --> 00:02:30.000]  於是乎我看到這一份物理治療的科
[00:02:30.000 --> 00:02:33.000]  我當時就想如果我能夠進去就好了
[00:02:33.000 --> 00:02:35.000]  又可以在上班的時候幫到人
[00:02:35.000 --> 00:02:39.000]  二來起碼不用怕失業
[00:02:39.000 --> 00:02:47.000]  誰知道當我讀完書畢業的時候發生什麼事呢?
[00:02:47.000 --> 00:02:52.000]  香港當時就遇著亞洲金融風暴
[00:02:52.000 --> 00:02:56.000]  美國那邊就911有一個恐怖襲擊
[00:02:56.000 --> 00:02:58.000]  如果頂梓梅你有些印象
[00:02:58.000 --> 00:03:03.000]  香港的經濟在高峰突然間在那幾年跌得很厲害
[00:03:03.000 --> 00:03:07.000]  我記得當我畢業的時候
[00:03:07.000 --> 00:03:12.000]  一份四分之一的兼職物理治療工作
[00:03:12.000 --> 00:03:17.000]  有兩屆的畢業同學一起去見工一起去爭
[00:03:17.000 --> 00:03:21.000]  不過很感恩的
[00:03:21.000 --> 00:03:23.000]  當我畢業的時候
[00:03:23.000 --> 00:03:27.000]  很快就可以進入一間政府醫院
[00:03:27.000 --> 00:03:30.000]  做到物理治療的工作
[00:03:30.000 --> 00:03:32.000]  當時也很開心
[00:03:32.000 --> 00:03:35.000]  誰知道過完一關之後
[00:03:35.000 --> 00:03:36.000]  第二關又來了
[00:03:36.000 --> 00:03:38.000]  第二關是什麼呢?
[00:03:38.000 --> 00:03:40.000]  就是再過幾年的時候
[00:03:40.000 --> 00:03:44.000]  香港就經歷了03、04年沙士
[00:03:44.000 --> 00:03:46.000]  當時經濟很差
[00:03:46.000 --> 00:03:48.000]  再差的時候就去到一個地步
[00:03:48.000 --> 00:03:50.000]  就是政府不夠錢
[00:03:50.000 --> 00:03:52.000]  政府醫院也受不了
[00:03:52.000 --> 00:03:54.000]  就要cut budget
[00:03:54.000 --> 00:04:00.000]  有一天醫院的人事部找我
[00:04:00.000 --> 00:04:03.000]  Michael過來聊聊天
[00:04:03.000 --> 00:04:04.000]  沒有咖啡喝
[00:04:04.000 --> 00:04:07.000]  不過就聊聊天
[00:04:07.000 --> 00:04:11.000]  人事部當時的同事就跟我說
[00:04:11.000 --> 00:04:13.000]  Michael不好意思
[00:04:13.000 --> 00:04:17.000]  接下來你的合約半年之後
[00:04:17.000 --> 00:04:20.000]  醫院再沒有錢續約
[00:04:20.000 --> 00:04:22.000]  要cut人手
[00:04:22.000 --> 00:04:24.000]  所以你在這半年時間裡
[00:04:24.000 --> 00:04:27.000]  你快點自己準備一下
[00:04:27.000 --> 00:04:29.000]  你找工作吧
[00:04:29.000 --> 00:04:33.000]  當時收到這個消息的時候
[00:04:33.000 --> 00:04:36.000]  真的是晴天霹靂
[00:04:36.000 --> 00:04:38.000]  不知道怎麼辦
[00:04:38.000 --> 00:04:40.000]  很難接受
[00:04:40.000 --> 00:04:41.000]  當時心裡就覺得
[00:04:41.000 --> 00:04:42.000]  整個部門這麼多人
[00:04:42.000 --> 00:04:44.000]  為什麼要cut我
[00:04:44.000 --> 00:04:45.000]  不是cut其他人
[00:04:45.000 --> 00:04:47.000]  為什麼要選我
[00:04:47.000 --> 00:04:49.000]  很多很多的問題
[00:04:49.000 --> 00:04:50.000]  另外就是
[00:04:50.000 --> 00:04:53.000]  當時我也想
[00:04:53.000 --> 00:04:54.000]  我原先這份工作
[00:04:54.000 --> 00:04:57.000]  很想有一個很安穩
[00:04:57.000 --> 00:05:00.000]  穩定的工作和生活
[00:05:00.000 --> 00:05:03.000]  不過真的突然間面對失業
[00:05:03.000 --> 00:05:05.000]  其實真的面對前景
[00:05:05.000 --> 00:05:06.000]  很多不清楚
[00:05:06.000 --> 00:05:07.000]  很多不確定
[00:05:07.000 --> 00:05:09.000]  特別當時就是
[00:05:09.000 --> 00:05:11.000]  如果政府醫院都沒有錢請人
[00:05:11.000 --> 00:05:12.000]  其實基本上
[00:05:12.000 --> 00:05:14.000]  我也很難在外面的市場
