
[00:00:00.000 --> 00:00:06.000]  多謝敬拜隊帶領我們來到上帝的面前
[00:00:06.000 --> 00:00:12.000]  今天我們會是最後一次講One Thing這個系列
[00:00:12.000 --> 00:00:18.000]  我們總共講了四次,今次是第五次
[00:00:18.000 --> 00:00:21.000]  是一個小小的回顧
[00:00:21.000 --> 00:00:25.000]  之前我們有分享到幾個題目
[00:00:25.000 --> 00:00:31.000]  第一講是反客為主,我們問了一個問題
[00:00:31.000 --> 00:00:34.000]  究竟誰是主,誰是客呢?
[00:00:34.000 --> 00:00:40.000]  當然耶穌是主,但很多時候我們主呀主呀
[00:00:40.000 --> 00:00:46.000]  這樣講,但其實我們都沒有把主人的位置交給他
[00:00:46.000 --> 00:00:50.000]  第二講就是麥玉坤傳道說的
[00:00:50.000 --> 00:00:52.000]  錢多是不是真的好呢?
[00:00:52.000 --> 00:00:56.000]  其中有一個金句就是我有錢所以我優秀
[00:00:56.000 --> 00:00:59.000]  通常就是我沒有錢所以我優秀
[00:00:59.000 --> 00:01:05.000]  但原來去到耶穌面前,錢反而成為了我們一個障礙
[00:01:05.000 --> 00:01:06.000]  跟隨他的障礙
[00:01:06.000 --> 00:01:12.000]  第三講是朱先生分享,尋找清心禱告的人
[00:01:12.000 --> 00:01:17.000]  當中提及到公義原來就是恢復上帝的創造
[00:01:17.000 --> 00:01:22.000]  上帝創造我們是怎樣,上帝創造這個世界
[00:01:22.000 --> 00:01:24.000]  這個社會的秩序是怎樣呢?
[00:01:24.000 --> 00:01:28.000]  我們應該恢復原本上帝創造的樣子,就是公義
[00:01:28.000 --> 00:01:32.000]  上次也是蘇木去分享,大踏步
[00:01:32.000 --> 00:01:35.000]  除了記得是小路寶的主題曲之外
[00:01:35.000 --> 00:01:40.000]  也說了雖然面前我們充滿挑戰
[00:01:40.000 --> 00:01:43.000]  但我們仍然要有一個態度
[00:01:43.000 --> 00:01:46.000]  就是大踏步向前走去面對這個挑戰
[00:01:46.000 --> 00:01:48.000]  向著標竿直跑
[00:01:48.000 --> 00:01:53.000]  今天我分享的經文是來自耶利米蘇七章二十三節
[00:01:53.000 --> 00:01:56.000]  那裡說,我只吩咐他們這一件事
[00:01:56.000 --> 00:02:00.000]  說,你們當聽從我的話,我就作你們的神
[00:02:00.000 --> 00:02:02.000]  你們也作我的指紋
[00:02:02.000 --> 00:02:07.000]  你們行走我所吩咐的一切道路,就可以得福
[00:02:07.000 --> 00:02:10.000]  是來自耶利米蘇的一段經文
[00:02:10.000 --> 00:02:13.000]  也成為我們這個瘟疫的總結
[00:02:13.000 --> 00:02:16.000]  今天的題目叫做「聽而不從」
[00:02:16.000 --> 00:02:21.000]  就是反映一群百姓的狀態
[00:02:21.000 --> 00:02:25.000]  究竟耶利米蘇這段經文的背景是什麼呢?
[00:02:25.000 --> 00:02:29.000]  為什麼上帝會這樣講他這句話呢?
[00:02:29.000 --> 00:02:34.000]  原來在第七章是整個的聖殿講章
[00:02:34.000 --> 00:02:40.000]  是由上帝的話臨到耶利米蘇
[00:02:40.000 --> 00:02:41.000]  叫他去哪裡呢?
[00:02:41.000 --> 00:02:45.000]  就是說,你當站在耶和華殿的門口
[00:02:45.000 --> 00:02:48.000]  在那裡宣講這話說
[00:02:48.000 --> 00:02:52.000]  所有從這些門進來敬拜耶和華的猶太人
[00:02:52.000 --> 00:02:56.000]  當聽耶和華的話,萬君知耶和華以色列的神如此說
[00:02:56.000 --> 00:02:59.000]  你們要改正你們的所作所為
[00:02:59.000 --> 00:03:02.000]  我就使你們仍然居住這地
[00:03:02.000 --> 00:03:04.000]  要依靠虛方的話說
[00:03:04.000 --> 00:03:08.000]  這是耶和華的殿,是耶和華的殿,是耶和華的殿
[00:03:08.000 --> 00:03:13.000]  整篇的信息,七章其實都是在講一個聖殿講章
[00:03:13.000 --> 00:03:19.000]  原因是因為當天上帝叫耶利米蘇去到聖殿的門口
[00:03:19.000 --> 00:03:24.000]  向那裡一些前來敬拜耶和華的猶太人
[00:03:24.000 --> 00:03:26.000]  去宣講以下的信息
[00:03:26.000 --> 00:03:30.000]  其實以現代的處境來看
