
[00:00:00.000 --> 00:00:03.000]  今天我們有一個全新的系列
[00:00:03.000 --> 00:00:06.000]  就是《發現恩典》
[00:00:06.000 --> 00:00:09.000]  今天的講題是對焦的練習
[00:00:09.000 --> 00:00:12.000]  在講之前想問問大家
[00:00:12.000 --> 00:00:14.000]  這裡有多少人有回年終祈禱會?
[00:00:14.000 --> 00:00:18.000]  好像也有幾個
[00:00:18.000 --> 00:00:20.000]  不知道有沒有人記得年終祈禱會的時候
[00:00:20.000 --> 00:00:22.000]  朱友牧師有提過
[00:00:22.000 --> 00:00:25.000]  今年2026年教會的主題是甚麼年?
[00:00:25.000 --> 00:00:27.000]  有沒有人回答到我?
[00:00:27.000 --> 00:00:32.000]  大聲一點說
[00:00:32.000 --> 00:00:33.000]  恩典年
[00:00:33.000 --> 00:00:34.000]  真的有人回答到
[00:00:34.000 --> 00:00:37.000]  今年的主題是恩典年
[00:00:37.000 --> 00:00:39.000]  這是今年教會的方向主題
[00:00:39.000 --> 00:00:42.000]  數算恩典迎向未來
[00:00:42.000 --> 00:00:44.000]  就是今年的標語
[00:00:44.000 --> 00:00:46.000]  說起恩典
[00:00:46.000 --> 00:00:48.000]  我不知道大家會想到甚麼
[00:00:48.000 --> 00:00:49.000]  我想到的就是
[00:00:49.000 --> 00:00:51.000]  通常我們會說的感恩
[00:00:51.000 --> 00:00:55.000]  不知道感恩對你來說難不難?
[00:00:55.000 --> 00:00:58.000]  通常你甚麼時候會感恩呢?
[00:00:58.000 --> 00:01:01.000]  有好事發生的時候?
[00:01:01.000 --> 00:01:05.000]  還是在困難中你也會感恩呢?
[00:01:05.000 --> 00:01:08.000]  我常常在開組的時候
[00:01:08.000 --> 00:01:10.000]  也會問大家
[00:01:10.000 --> 00:01:12.000]  有沒有甚麼是你感恩的?
[00:01:12.000 --> 00:01:16.000]  通常我不知道組長會不會也聽到這些答案
[00:01:16.000 --> 00:01:18.000]  就是沒有甚麼特別
[00:01:18.000 --> 00:01:20.000]  沒有甚麼要感恩
[00:01:20.000 --> 00:01:22.000]  經常聽到這些說話
[00:01:22.000 --> 00:01:25.000]  究竟對你來說感恩難不難呢?
[00:01:25.000 --> 00:01:28.000]  今年教會是一個恩典年
[00:01:28.000 --> 00:01:31.000]  所以訂了一個新的系列
[00:01:31.000 --> 00:01:33.000]  就是關於恩典
[00:01:33.000 --> 00:01:36.000]  但當說恩典、感恩的時候
[00:01:36.000 --> 00:01:40.000]  我就想如果感恩對大家來說是很難的話
[00:01:40.000 --> 00:01:43.000]  我純粹說為何要感恩的時候
[00:01:43.000 --> 00:01:46.000]  好像變成只是形式、slogan
[00:01:46.000 --> 00:01:47.000]  沒有甚麼意義
[00:01:47.000 --> 00:01:50.000]  如果這是對大家來說很難的話
[00:01:50.000 --> 00:01:52.000]  不如我們一起想想
[00:01:52.000 --> 00:01:54.000]  我們如何能夠做到
[00:01:54.000 --> 00:01:56.000]  以及為何要發現這些恩典
[00:01:56.000 --> 00:01:59.000]  於是就設計了這個系列
[00:01:59.000 --> 00:02:02.000]  因為剛才的問題
[00:02:02.000 --> 00:02:04.000]  於是我就參考了一本書
