
[00:00:00.000 --> 00:00:03.400]  大家好,好不好?
[00:00:03.400 --> 00:00:08.000]  好,謝謝敬拜隊,謝謝你們
[00:00:08.000 --> 00:00:11.600]  很漂亮的制服,除了我,大家都穿了
[00:00:11.600 --> 00:00:16.400]  我先介紹自己,我叫蘇平欣,大家叫我Benny
[00:00:16.400 --> 00:00:20.400]  今天的題目是在這個系列,「濟與唔濟」之間
[00:00:20.400 --> 00:00:23.600]  系列已經到了第四講,轉眼又是七月了
[00:00:23.600 --> 00:00:27.200]  很快,過了半年,到了第四講,中間之後
[00:00:27.200 --> 00:00:32.600]  題目叫「萬事都互相效力」,經常聽這句經文
[00:00:32.600 --> 00:00:35.600]  在開始之先,想大家看一段短片
[00:00:35.600 --> 00:00:40.000]  大家留意一下,誰是第一個去幫助其他人
[00:00:40.000 --> 00:00:41.000]  先看片段
[00:00:42.000 --> 00:00:46.000]  (音樂)
[00:00:46.000 --> 00:00:51.000]  (音樂)
[00:00:51.000 --> 00:00:56.000]  (音樂)
[00:00:56.000 --> 00:01:01.000]  (音樂)
[00:01:01.000 --> 00:01:06.000]  (音樂)
[00:01:06.000 --> 00:01:11.000]  (音樂)
[00:01:11.000 --> 00:01:16.000]  (音樂)
[00:01:16.000 --> 00:01:21.000]  (音樂)
[00:01:21.000 --> 00:01:26.000]  (音樂)
[00:01:26.000 --> 00:01:31.000]  (音樂)
[00:01:31.000 --> 00:01:36.000]  (音樂)
[00:01:36.000 --> 00:01:41.000]  (音樂)
[00:01:41.000 --> 00:01:46.000]  (音樂)
[00:01:46.000 --> 00:01:51.000]  (音樂)
[00:01:51.000 --> 00:01:56.000]  (音樂)
[00:01:56.000 --> 00:02:01.000]  (音樂)
[00:02:01.000 --> 00:02:06.000]  (音樂)
[00:02:06.000 --> 00:02:11.000]  (音樂)
[00:02:11.000 --> 00:02:16.000]  (音樂)
[00:02:16.000 --> 00:02:21.000]  (音樂)
[00:02:21.000 --> 00:02:26.000]  (音樂)
[00:02:26.000 --> 00:02:31.000]  (音樂)
[00:02:31.000 --> 00:02:36.000]  (音樂)
[00:02:36.000 --> 00:02:41.000]  (音樂)
[00:02:41.000 --> 00:02:46.000]  (音樂)
[00:02:46.000 --> 00:02:51.000]  (音樂)
[00:02:51.000 --> 00:02:56.000]  (音樂)
[00:02:56.000 --> 00:03:01.000]  (音樂)
[00:03:01.000 --> 00:03:06.000]  (音樂)
[00:03:06.000 --> 00:03:08.000]  (音樂)
[00:03:08.000 --> 00:03:10.000]  誰是第一個幫助別人?
[00:03:10.000 --> 00:03:13.000]  就是最後被幫助的人,看到嗎?
[00:03:13.000 --> 00:03:14.000]  穿著橙色背心的
[00:03:14.000 --> 00:03:16.000]  萬事都互相效力
[00:03:16.000 --> 00:03:18.000]  有時候做些事,好像幫了別人
[00:03:18.000 --> 00:03:20.000]  其實繞了一圈,是在幫自己
[00:03:20.000 --> 00:03:25.000]  我們今天看看經文在羅馬書八章十六至三十節讀給大家聽
