
[00:00:00.000 --> 00:00:02.000]  好 大家好
[00:00:02.000 --> 00:00:04.920]  大家很精神
[00:00:04.920 --> 00:00:07.000]  我則一般般
[00:00:07.000 --> 00:00:10.520]  對了 你們看著我 知道嗎
[00:00:10.520 --> 00:00:12.520]  令我精神一點
[00:00:12.520 --> 00:00:14.520]  讓我記得我在說道
[00:00:14.520 --> 00:00:19.360]  今天主題是「追求主內安穩的生命」
[00:00:19.360 --> 00:00:21.360]  說什麼呢
[00:00:21.360 --> 00:00:23.760]  主內又安穩
[00:00:23.760 --> 00:00:25.760]  在主內自然安穩
[00:00:25.760 --> 00:00:27.760]  生命是什麼呢
[00:00:28.720 --> 00:00:34.800]  主題和經文是去年年底已經定了
[00:00:34.800 --> 00:00:37.880]  很特別地
[00:00:37.880 --> 00:00:41.160]  大家猜猜我這篇講章是何時完成的
[00:00:41.160 --> 00:00:48.200]  是六月初
[00:00:48.200 --> 00:00:49.800]  我已經完成了
[00:00:49.800 --> 00:00:52.560]  大部分的powerpoint都完成了
[00:00:52.560 --> 00:00:57.680]  這是對我來說很特別的事
[00:00:57.680 --> 00:01:00.280]  通常越早完成的事我會越擔心
[00:01:00.280 --> 00:01:03.160]  結果也是
[00:01:03.160 --> 00:01:05.160]  很多事情都發生了
[00:01:05.160 --> 00:01:10.080]  「追求主內安穩的生命」
[00:01:10.080 --> 00:01:11.600]  我想想如何開場
[00:01:11.600 --> 00:01:13.600]  有什麼故事分享呢
[00:01:13.600 --> 00:01:15.440]  最近有一個
[00:01:15.440 --> 00:01:17.440]  是我的中學同學聚會
[00:01:17.440 --> 00:01:20.360]  中學同學聚會在WhatsApp群組
[00:01:20.360 --> 00:01:22.200]  很多人都參加了
[00:01:22.200 --> 00:01:24.200]  去哪裡吃東西呢
[00:01:24.200 --> 00:01:27.320]  他們想在六月底
[00:01:27.320 --> 00:01:28.720]  我一直都沒有回應
[00:01:28.720 --> 00:01:30.480]  因為我就是
[00:01:30.480 --> 00:01:32.000]  要講又要講到的
[00:01:32.000 --> 00:01:33.520]  就是要講英語崇拜
[00:01:33.520 --> 00:01:37.880]  通常都很為公事
[00:01:37.880 --> 00:01:39.480]  很自然地回答
[00:01:39.480 --> 00:01:41.480]  「我沒空」
[00:01:41.480 --> 00:01:43.840]  但是
[00:01:43.840 --> 00:01:46.680]  我想其實同學們很想我出現
[00:01:46.680 --> 00:01:48.120]  他們很想我出現
[00:01:48.120 --> 00:01:50.120]  因為很久沒有見過我
[00:01:50.120 --> 00:01:52.480]  現在的時勢
[00:01:52.480 --> 00:01:55.480]  見面可能不知道何時再見到我
[00:01:56.320 --> 00:01:59.440]  我就去祈禱
[00:01:59.440 --> 00:02:01.440]  神我怎樣呢
[00:02:01.440 --> 00:02:03.440]  大家會怎樣祈禱呢
[00:02:03.440 --> 00:02:04.880]  我想大家都會說
[00:02:04.880 --> 00:02:05.960]  當然是快點祈禱
