
[00:00:00.000 --> 00:00:07.000]  (安息)
[00:00:07.000 --> 00:00:09.000]  午安各位
[00:00:09.000 --> 00:00:11.000]  午安
[00:00:11.000 --> 00:00:13.000]  感謝主
[00:00:13.000 --> 00:00:21.000]  我們今天繼續《柔弱節期》看敬拜的講道系列
[00:00:21.000 --> 00:00:23.000]  我們今天會講安息日
[00:00:23.000 --> 00:00:33.000]  其實本人正在放安息櫃,剛剛踏入十月放,但今天回來說安息日
[00:00:33.000 --> 00:00:36.000]  這件事也挺有趣
[00:00:36.000 --> 00:00:46.000]  在這麼多節期裡,大家聽這個系列也聽了好幾個星期
[00:00:46.000 --> 00:00:52.000]  相對之下安息日應該是一個你不太陌生的節日
[00:00:52.000 --> 00:00:59.000]  其實和其他節日也不一樣,安息日是一個星期就有一次
[00:00:59.000 --> 00:01:08.000]  如果用影響力來說,相比一年一次如月節、修葛節、五旬節
[00:01:08.000 --> 00:01:18.000]  安息日應該更大程度地塑造了以色列人、猶太人的生命、生活和信仰
[00:01:18.000 --> 00:01:28.000]  好,問問大家,我不知道你們是如何理解安息的呢?
[00:01:28.000 --> 00:01:35.000]  我準備這篇訊息的時候就在想
[00:01:35.000 --> 00:01:39.000]  近年我不知道你們有沒有和我一樣留意到現象
[00:01:39.000 --> 00:01:44.000]  無論在教會內或教會外,可能十多年前
[00:01:44.000 --> 00:01:47.000]  都會流行「Work-Life Balance」
[00:01:47.000 --> 00:01:52.000]  到現在越來越多人說要休息、要歇息
[00:01:52.000 --> 00:01:57.000]  在市面上出到去或在都會乘搭電梯時
[00:01:57.000 --> 00:02:03.000]  經常有些廣告,你經常看到不同類型的沉浸式休息體驗
[00:02:03.000 --> 00:02:07.000]  經常推銷拉筋書展新展課程
[00:02:07.000 --> 00:02:13.000]  靜心慢活工作坊、書壓小組、體驗班
[00:02:13.000 --> 00:02:19.000]  全部都在說我們要停下來,要走開,要休息
[00:02:19.000 --> 00:02:24.000]  我相信大部分在座的,你未參加過,起碼都聽過
[00:02:24.000 --> 00:02:32.000]  如果你真的參加過,我也相信班長這麼久,教了這麼多次
[00:02:32.000 --> 00:02:35.000]  應該去的人都會去得挺享受
[00:02:35.000 --> 00:02:39.000]  我相信我們需要這種停下來、離開的休息
[00:02:39.000 --> 00:02:42.000]  但我不知道你們有沒有發覺
[00:02:42.000 --> 00:02:45.000]  我不知道你們有沒有發覺這種思維、這種想法
[00:02:45.000 --> 00:02:52.000]  其實慢慢滲入我們的教會,我們每個星期的崇拜裏面
[00:02:52.000 --> 00:03:00.000]  No offense,但我們會稱我們的崇拜有時候是一個療癒的空間
[00:03:00.000 --> 00:03:03.000]  一個休息的空間
[00:03:03.000 --> 00:03:07.000]  我們會用在崇拜裏面能否休息到
[00:03:07.000 --> 00:03:11.000]  去判斷一個崇拜是否好或不好
[00:03:11.000 --> 00:03:14.000]  我們預備崇拜的弟兄姊妹會按著
[00:03:14.000 --> 00:03:18.000]  弟兄姊妹來到會否休息到來預備崇拜
[00:03:18.000 --> 00:03:22.000]  我們會說崇拜有沒有幫我充電
[00:03:22.000 --> 00:03:25.000]  崇拜之後我覺得自己有沒有休息到
