
[00:00:00.000 --> 00:00:03.000]  好,各位影帝姊妹平安
[00:00:03.000 --> 00:00:06.000]  剛剛今天穿成這樣的時候
[00:00:06.000 --> 00:00:09.000]  有人問我是不是又加油起事呢?
[00:00:09.000 --> 00:00:13.000]  稍後我會分享的,跟港獨也有關係
[00:00:13.000 --> 00:00:16.000]  首先,七天之後就很快到了
[00:00:16.000 --> 00:00:19.000]  先跟大家拜個早年
[00:00:19.000 --> 00:00:20.000]  恭喜恭喜
[00:00:20.000 --> 00:00:21.000]  你可以跟隔壁的
[00:00:21.000 --> 00:00:22.000]  我給你十秒時間
[00:00:22.000 --> 00:00:26.000]  你想一句對他是一個適合的祝賀語
[00:00:26.000 --> 00:00:28.000]  在農年的時間
[00:00:28.000 --> 00:00:32.000]  十秒而已,你對你隔壁那個
[00:00:32.000 --> 00:00:34.000]  我聽到新年快樂
[00:00:34.000 --> 00:00:36.000]  給點創意
[00:00:36.000 --> 00:00:40.000]  有個農字的
[00:00:40.000 --> 00:00:44.000]  有沒有呢?
[00:00:44.000 --> 00:00:47.000]  Vicky,你有什麼祝賀語呢?
[00:00:47.000 --> 00:00:50.000]  農年,跟農年有關
[00:00:50.000 --> 00:00:51.000]  給點創意
[00:00:51.000 --> 00:00:55.000]  接下來會有很多農年的金句
[00:00:55.000 --> 00:00:57.000]  有沒有?Hazel有沒有想到?
[00:00:57.000 --> 00:00:59.000]  快高長大
[00:00:59.000 --> 00:01:06.000]  要跟農字,有沒有人答出農字的金句?
[00:01:06.000 --> 00:01:09.000]  虎躍龍門,龍精虎猛
[00:01:09.000 --> 00:01:11.000]  接下來很多都是農字
[00:01:11.000 --> 00:01:14.000]  說起新年的時候
[00:01:14.000 --> 00:01:17.000]  今年這個topic就看看
[00:01:17.000 --> 00:01:19.000]  這樣下
[00:01:19.000 --> 00:01:24.000]  叫做糾正強加的假我
[00:01:24.000 --> 00:01:28.000]  本身這個topic就問原設計者
[00:01:28.000 --> 00:01:31.000]  Kim和欣宇共同創作
[00:01:31.000 --> 00:01:33.000]  他們來自一本書
[00:01:33.000 --> 00:01:34.000]  楊綺的一本書
[00:01:34.000 --> 00:01:39.000]  叫做以生命回應神的呼喚
[00:01:39.000 --> 00:01:42.000]  這個題目也是書中其中一個題目
[00:01:42.000 --> 00:01:46.000]  他說當人的內心扭曲了
[00:01:46.000 --> 00:01:48.000]  或者有些黑暗的時候
[00:01:48.000 --> 00:01:53.000]  未能夠活出上帝所創造真正的自我
[00:01:53.000 --> 00:01:55.000]  所以今天就跟大家分享
[00:01:55.000 --> 00:01:57.000]  你見圖中這個
[00:01:57.000 --> 00:01:58.000]  也不是最新的
[00:01:58.000 --> 00:01:59.000]  已經是前幾年
[00:01:59.000 --> 00:02:01.000]  一個3D編輯的技術
[00:02:01.000 --> 00:02:03.000]  數碼編輯的時候
[00:02:03.000 --> 00:02:05.000]  其實已經是編得很真實
[00:02:05.000 --> 00:02:07.000]  你見到左右兩邊的時候
[00:02:07.000 --> 00:02:13.000]  他就將自己的image上傳給那個編輯
[00:02:13.000 --> 00:02:15.000]  他就可以去編輯
[00:02:15.000 --> 00:02:16.000]  你要什麼表情都有
[00:02:16.000 --> 00:02:18.000]  你要正正經經也有
[00:02:18.000 --> 00:02:20.000]  要笑臉
[00:02:20.000 --> 00:02:22.000]  要不同的喜怒哀樂也有
[00:02:22.000 --> 00:02:24.000]  你帶上去的時候
[00:02:24.000 --> 00:02:26.000]  基本上也分不出來
[00:02:26.000 --> 00:02:28.000]  可能有些學生的課金就是上課
[00:02:28.000 --> 00:02:29.000]  如果是睡覺的時候
[00:02:29.000 --> 00:02:31.000]  編的時候編一張很精神
[00:02:31.000 --> 00:02:33.000]  你就不用上課了
[00:02:33.000 --> 00:02:36.000]  老師就以為你是很精神奕奕
[00:02:36.000 --> 00:02:38.000]  其實內心是沒有人知道的
[00:02:38.000 --> 00:02:42.000]  在創造真我的時候
[00:02:42.000 --> 00:02:45.000]  我就想起這個
[00:02:45.000 --> 00:02:48.000]  我本身為什麼要穿成這樣呢
