
[00:00:00.000 --> 00:00:02.000]  通常有些東西要setup的時間
[00:00:02.000 --> 00:00:03.000]  我都會先說說
[00:00:03.000 --> 00:00:05.000]  在進入經文之前
[00:00:05.000 --> 00:00:07.000]  先分享一下最近的事情
[00:00:07.000 --> 00:00:10.000]  話說最近有一個日子叫2月14號
[00:00:10.000 --> 00:00:12.000]  先說一下
[00:00:12.000 --> 00:00:13.000]  不是我的故事
[00:00:13.000 --> 00:00:15.000]  是集大家
[00:00:15.000 --> 00:00:16.000]  不是大家
[00:00:16.000 --> 00:00:17.000]  很多人和我說
[00:00:17.000 --> 00:00:19.000]  我不知道為什麼很多人和我說故事
[00:00:19.000 --> 00:00:21.000]  首先我聽到一個年輕人和我說
[00:00:21.000 --> 00:00:25.000]  他女朋友早上上班錄IG
[00:00:25.000 --> 00:00:26.000]  看到很多花
[00:00:26.000 --> 00:00:29.000]  然後就message男朋友說
[00:00:29.000 --> 00:00:31.000]  你會不會送花給我
[00:00:31.000 --> 00:00:37.000]  男朋友就馬上買花
[00:00:37.000 --> 00:00:39.000]  下班的時候就送給他
[00:00:39.000 --> 00:00:42.000]  我又聽到另一對情侶
[00:00:42.000 --> 00:00:44.000]  他們覺得不要破費
[00:00:44.000 --> 00:00:46.000]  晚上不如吃壽司
[00:00:46.000 --> 00:00:48.000]  吃壽司要排隊的
[00:00:48.000 --> 00:00:49.000]  男朋友都很聰明
[00:00:49.000 --> 00:00:52.000]  下班就馬上去女朋友公司樓下那間
[00:00:52.000 --> 00:00:54.000]  排隊拿票
[00:00:54.000 --> 00:00:55.000]  怎料女朋友說要OT
[00:00:55.000 --> 00:00:56.000]  不是很多
[00:00:56.000 --> 00:00:58.000]  OT30分鐘
[00:00:58.000 --> 00:01:00.000]  他們就等了三個小時
[00:01:00.000 --> 00:01:04.000]  在座各位
[00:01:04.000 --> 00:01:07.000]  情人節不是拍拖才有故事
[00:01:07.000 --> 00:01:10.000]  沒有拍拖的人更多故事
[00:01:10.000 --> 00:01:12.000]  有年輕人和我說
[00:01:12.000 --> 00:01:14.000]  情人節晚上做什麼呢
[00:01:14.000 --> 00:01:16.000]  爸爸媽媽丟下他
[00:01:16.000 --> 00:01:17.000]  原來他吃好東西
[00:01:17.000 --> 00:01:18.000]  看回照片
[00:01:18.000 --> 00:01:20.000]  多不開心
