
[00:00:00.000 --> 00:00:04.800]  各位影音姐妹好,朋友及網上的朋友好
[00:00:04.800 --> 00:00:08.000]  網上有一個地點是看不到特色的
[00:00:08.000 --> 00:00:11.000]  剛才特別是在pre-worship練習的時候
[00:00:11.000 --> 00:00:14.800]  我看到一個奇特的情況要和大家分享
[00:00:14.800 --> 00:00:17.400]  不知道是否就著我今天的講題
[00:00:17.400 --> 00:00:18.800]  Fitness
[00:00:18.800 --> 00:00:22.000]  剛才我看到其中一位的樂手
[00:00:22.000 --> 00:00:24.000]  不是vocal,他就是這樣的動作
[00:00:24.000 --> 00:00:25.600]  大家解讀一下
[00:00:25.600 --> 00:00:28.200]  現在你知道有時是作者而死
[00:00:28.200 --> 00:00:29.800]  或者讀者為中心
[00:00:29.800 --> 00:00:30.800]  他會這樣做
[00:00:30.800 --> 00:00:37.000]  我是在電視螢光幕看到的這個動作
[00:00:37.000 --> 00:00:40.600]  我剛好留意到,不知為何全場只有他這樣做
[00:00:40.600 --> 00:00:42.000]  他做完這個動作的時候
[00:00:42.000 --> 00:00:47.600]  但其他人呢
[00:00:47.600 --> 00:00:49.600]  好像說有人離去一個
[00:00:49.600 --> 00:00:51.400]  中間那兩個沒有人離去
[00:00:51.400 --> 00:00:53.800]  我當時也很奇怪這個動作是甚麼來的
[00:00:53.800 --> 00:00:56.000]  難道今天要做fitness操練
[00:00:56.000 --> 00:00:58.600]  難道是清善版的讚美操
[00:00:58.600 --> 00:01:01.400]  我也很期待,我自己本身也很喜歡讚美操
[00:01:01.400 --> 00:01:03.800]  後來Angel就解說了
[00:01:03.800 --> 00:01:06.800]  原來他後來做了真正版的
[00:01:06.800 --> 00:01:08.600]  是因為他的咪高峰頂住了他
[00:01:08.600 --> 00:01:11.600]  所以他就要拿開手做這個三明動作
[00:01:11.600 --> 00:01:13.400]  應該是拍手動作
[00:01:13.400 --> 00:01:15.800]  但我第一次見到,原來你玩三角鈴
[00:01:15.800 --> 00:01:17.600]  所以這個網上的看不到
[00:01:17.600 --> 00:01:19.400]  所以鼓勵大家多點來實體
[00:01:19.400 --> 00:01:21.400]  說起fitness
[00:01:21.400 --> 00:01:23.200]  剛好巧合了
[00:01:23.200 --> 00:01:27.000]  這個講題是清善童宮我們度身訂做
[00:01:27.000 --> 00:01:30.000]  每年特別為不同的港島安排
[00:01:30.000 --> 00:01:31.600]  特別來到小聯堂的時候
[00:01:31.600 --> 00:01:33.400]  當然有些特別安排
[00:01:33.400 --> 00:01:37.000]  這個原作者就是Kim叔和欣宇
[00:01:37.000 --> 00:01:39.000]  在合不同的童宮特別設計
[00:01:39.000 --> 00:01:42.000]  我問他為何你會訂了這個fitness
[00:01:42.000 --> 00:01:44.600]  是否你看完可能想推銷沙札木本
[00:01:44.600 --> 00:01:45.800]  《幾份進訓書》
[00:01:45.800 --> 00:01:47.800]  如果大家是在上《幾份進訓》
[00:01:47.800 --> 00:01:49.000]  或者完成了的時候
[00:01:49.000 --> 00:01:52.600]  新的版本已經不是近時的橙色藍色
[00:01:52.600 --> 00:01:55.000]  現在是橙色啡色
[00:01:55.000 --> 00:01:58.000]  他有一個練習做健身
[00:01:58.000 --> 00:02:00.000]  我是否出自fitness呢
[00:02:00.000 --> 00:02:02.000]  不單止這樣
[00:02:02.000 --> 00:02:04.400]  他們本身是出自一本書
[00:02:04.400 --> 00:02:05.600]  楊醫的書
[00:02:05.600 --> 00:02:08.600]  就是以一個生命回應神的呼喚
[00:02:08.600 --> 00:02:12.000]  今天這個講題是最後一集,第八集
[00:02:12.000 --> 00:02:15.600]  他很希望能夠歸納到這個福音書
[00:02:15.600 --> 00:02:18.000]  能夠歸納到門徒觀念
[00:02:18.000 --> 00:02:20.200]  能夠是照明的真諦
[00:02:20.200 --> 00:02:23.200]  所以今天讓我實踐門徒真諦的時候
[00:02:23.200 --> 00:02:24.200]  和大家一起分享
[00:02:24.200 --> 00:02:28.000]  說起實踐門徒真諦的時候
[00:02:28.000 --> 00:02:32.000]  令我想起一個神學教義的問答
