
[00:00:00.000 --> 00:00:05.120]  各位弟兄姊妹,晚安
[00:00:05.120 --> 00:00:11.680]  很高興可以在復活節跟大家分享
[00:00:11.680 --> 00:00:16.360]  我很想看看在這麼特別的日子裡
[00:00:16.360 --> 00:00:19.680]  雖然我們很多人去了旅行
[00:00:19.680 --> 00:00:22.080]  比平時疏落了一點
[00:00:22.080 --> 00:00:27.920]  不過有沒有人帶了親朋戚友來
[00:00:27.920 --> 00:00:31.040]  有沒有第一次來我們教會的
[00:00:31.040 --> 00:00:34.480]  有沒有
[00:00:34.480 --> 00:00:37.040]  似乎沒有
[00:00:37.040 --> 00:00:40.040]  可能我們真的去玩了
[00:00:40.040 --> 00:00:41.440]  不要緊
[00:00:41.440 --> 00:00:43.440]  我們今天也去思考一下
[00:00:43.440 --> 00:00:45.800]  復活節對我們基督徒來說
[00:00:45.800 --> 00:00:51.000]  是一個很重要的時節
[00:00:51.000 --> 00:00:56.120]  今天我選了《約翰福音》19章28到30節
[00:00:56.120 --> 00:00:59.160]  這是其中一個片段
[00:00:59.160 --> 00:01:00.680]  我給了一個主題
[00:01:00.680 --> 00:01:02.680]  走上勝利的路
[00:01:02.680 --> 00:01:06.120]  不如讓我們先讀短短的經文
[00:01:06.120 --> 00:01:08.320]  稍後會繼續讀
[00:01:08.320 --> 00:01:11.440]  我們預備好一切
[00:01:11.440 --> 00:01:16.720]  「這是以後耶穌知道各樣的事已經成了」
[00:01:16.720 --> 00:01:22.240]  「就為使經上的華應驗就說我學了」
[00:01:22.240 --> 00:01:27.520]  「有一個滿了槽的貫子在那裡」
[00:01:27.520 --> 00:01:31.360]  「他們就拿海綿揸滿了槽」
[00:01:31.360 --> 00:01:36.000]  「綁在牛七草上送到他嘴邊」
[00:01:36.000 --> 00:01:39.880]  「耶穌上了那槽說成了」
[00:01:39.880 --> 00:01:42.640]  「就低下頭斷了氣」
[00:01:42.640 --> 00:01:44.760]  在讀經文之前
[00:01:44.760 --> 00:01:47.840]  很想問大家一個問題
[00:01:47.840 --> 00:01:50.360]  如果在生命裡有些道路
[00:01:50.360 --> 00:01:52.360]  不知道你會選擇什麼道路
[00:01:52.360 --> 00:01:57.520]  你喜歡平平順順地走你的道路
[00:01:57.520 --> 00:01:59.320]  還是喜歡挑戰型的
[00:01:59.320 --> 00:02:00.920]  有些是高峰
[00:02:00.920 --> 00:02:03.320]  會看看美景
[00:02:03.320 --> 00:02:05.320]  隨著年紀的轉變
[00:02:05.320 --> 00:02:07.560]  又隨著自己受過傷
[00:02:07.560 --> 00:02:11.480]  現在行山我又喜歡平平順順地走
[00:02:11.480 --> 00:02:14.200]  不過最近去一個婚禮
[00:02:14.200 --> 00:02:18.720]  看到新娘子和新郎
[00:02:18.720 --> 00:02:21.760]  他們為了拍攝美景的婚紗照
[00:02:21.760 --> 00:02:24.680]  上山下海很厲害
[00:02:24.680 --> 00:02:26.680]  但那些景色真的很美
[00:02:26.680 --> 00:02:28.440]  在森林裡
[00:02:28.440 --> 00:02:30.440]  在雪山裡
[00:02:30.440 --> 00:02:34.280]  那一刻也挺有衝動
[00:02:34.280 --> 00:02:37.680]  去走一些挑戰型的道路
[00:02:37.680 --> 00:02:41.280]  平時選擇就比較容易
[00:02:41.280 --> 00:02:44.360]  但在人生裡選擇你的道路時
[00:02:44.360 --> 00:02:48.760]  我不知道你是喜歡平順的還是怎樣
[00:02:48.760 --> 00:02:50.360]  作為父母的話
[00:02:50.360 --> 00:02:53.600]  我們通常會為子女斬驚
[00:02:53.600 --> 00:02:55.600]  全部都砍掉
[00:02:55.600 --> 00:02:59.280]  讓他們平平順順地過他們的生活
[00:02:59.280 --> 00:03:02.280]  我們也是為了這樣去搏鬥
[00:03:02.280 --> 00:03:04.840]  不過我們很難去體會
[00:03:04.840 --> 00:03:07.840]  耶穌基督是選擇一條
[00:03:07.840 --> 00:03:11.200]  非常非常我們不會選擇的道路
[00:03:11.200 --> 00:03:14.200]  正因為那份愛
[00:03:14.200 --> 00:03:18.800]  他選擇了十架必死的路
[00:03:18.800 --> 00:03:21.440]  還是死得很辛苦的路
[00:03:21.440 --> 00:03:23.440]  剛才我們讀的經文
[00:03:23.440 --> 00:03:27.120]  就是耶穌基督在十字架上
[00:03:27.120 --> 00:03:30.320]  釘生的對話
[00:03:30.320 --> 00:03:31.640]  其中的片段
[00:03:31.640 --> 00:03:34.760]  我們看回四個福音裡
[00:03:34.760 --> 00:03:38.040]  我們知道耶穌在十字架上
[00:03:38.040 --> 00:03:40.840]  去救贖的時候說了七句話
[00:03:40.840 --> 00:03:44.600]  並定為十架七言
[00:03:44.600 --> 00:03:48.000]  我們看到前面的三句
[00:03:48.000 --> 00:03:51.200]  是在耶穌基督九點開始
[00:03:51.200 --> 00:03:52.800]  釘上十字架
[00:03:52.800 --> 00:03:56.200]  到他中午時段上午時段說出
[00:03:56.200 --> 00:03:58.200]  下半節四句
[00:03:58.200 --> 00:04:02.320]  就是他臨終的時候說的話
[00:04:02.320 --> 00:04:03.840]  我們先看看第一句
[00:04:03.840 --> 00:04:05.840]  第一句他說什麼呢
[00:04:05.840 --> 00:04:07.440]  正正就是那時候
