
[00:00:00.000 --> 00:00:03.000]  多謝童工,多謝敬拜隊
[00:00:03.000 --> 00:00:06.000]  很開心,今天其實是颳風的
[00:00:06.000 --> 00:00:09.000]  為什麼颳風也這麼多人,很奇怪
[00:00:09.000 --> 00:00:12.000]  是神的恩典讓大家走在一起
[00:00:12.000 --> 00:00:19.000]  所以這幾年我喜歡跟會眾互動的港島
[00:00:19.000 --> 00:00:25.000]  因為這幾年大家都很悶,互動一下
[00:00:25.000 --> 00:00:28.000]  不如跟別人說,颳風也見到你
[00:00:28.000 --> 00:00:30.000]  我們是戰友
[00:00:30.000 --> 00:00:35.000]  求神向我們說話
[00:00:35.000 --> 00:00:38.000]  求神向我們說話,三句
[00:00:38.000 --> 00:00:45.000]  大會的總標題就是破繭重生
[00:00:45.000 --> 00:00:46.000]  如果我沒有記錯
[00:00:46.000 --> 00:00:52.000]  這幾年都很艱難,特別是2019年暑假到現在
[00:00:52.000 --> 00:00:56.000]  無論你是什麼立場,什麼看法都好
[00:00:56.000 --> 00:00:59.000]  這幾年香港都有很多挑戰
[00:00:59.000 --> 00:01:03.000]  我們未必要重覆這幾年各種挑戰
[00:01:03.000 --> 00:01:05.000]  很多很多挑戰
[00:01:05.000 --> 00:01:11.000]  最近有個感受,最慘是未來可能越走越難
[00:01:11.000 --> 00:01:14.000]  因為政府為例,似乎很多財赤
[00:01:14.000 --> 00:01:16.000]  每年都一千億財赤
[00:01:16.000 --> 00:01:19.000]  但我個人,應該不是政治敏感
[00:01:19.000 --> 00:01:23.000]  我個人覺得在財赤裡還要投資在北都會
[00:01:23.000 --> 00:01:27.000]  我覺得未必是最經濟的決定
[00:01:27.000 --> 00:01:30.000]  我都很謹慎,多說一點都開始擇界
[00:01:30.000 --> 00:01:35.000]  在在公務員,如果投資太多錢在那裡
[00:01:35.000 --> 00:01:39.000]  會不會兩三年後,三四年後公務員要減薪呢
[00:01:39.000 --> 00:01:41.000]  我不清楚
