
[00:00:00.000 --> 00:00:05.480]  我想唱到最後的時候心裡的感覺是
[00:00:05.480 --> 00:00:12.480]  有時候我們去一些很大規模的聚會
[00:00:12.480 --> 00:00:15.000]  很開心的
[00:00:15.000 --> 00:00:22.880]  但有時候我覺得不只是人數
[00:00:22.880 --> 00:00:25.080]  而是生命裡有不同的狀況
[00:00:25.080 --> 00:00:26.880]  例如John帶我們去祈禱
[00:00:26.880 --> 00:00:31.200]  在世界裡我們看到不同的狀況
[00:00:31.200 --> 00:00:35.320]  這個星期來不及的當然是土耳其地震
[00:00:35.320 --> 00:00:40.480]  看到世界上有天災、有戰爭
[00:00:40.480 --> 00:00:42.360]  或者像John所說的
[00:00:42.360 --> 00:00:46.080]  有些不公義的事情
[00:00:46.080 --> 00:00:48.680]  在這些日子裡
[00:00:48.680 --> 00:00:52.600]  你會繼續去敬拜嗎?
[00:00:52.600 --> 00:00:58.960]  所以不一定多點惡氣就是邪惡
[00:00:58.960 --> 00:01:03.000]  少點惡氣就是浮誇
[00:01:03.000 --> 00:01:05.880]  少點惡氣就是很純粹
[00:01:05.880 --> 00:01:08.280]  其實我覺得未必是
[00:01:08.280 --> 00:01:12.120]  反而是生命裡遇到不同狀況的時候
[00:01:12.120 --> 00:01:15.800]  你會繼續去敬拜嗎?
[00:01:15.800 --> 00:01:17.560]  今天說一個信息
[00:01:17.560 --> 00:01:18.560]  「玻璃海」
[00:01:18.560 --> 00:01:21.120]  當然因為這是一個詩歌系列
[00:01:21.120 --> 00:01:23.160]  我知道在《YouthX》裡
[00:01:23.160 --> 00:01:27.120]  我們有機會就著不同的詩歌去說
[00:01:27.120 --> 00:01:29.480]  當大家問我出的哪一篇
[00:01:29.480 --> 00:01:31.760]  我想起我唱的「玻璃海」
[00:01:31.760 --> 00:01:33.720]  因為很少人說
[00:01:33.720 --> 00:01:36.520]  特別是說到啟示錄裡的敬拜
[00:01:36.520 --> 00:01:39.920]  但我覺得當說啟示錄裡的敬拜的時候
[00:01:39.920 --> 00:01:43.480]  重點不是耶穌何時回來
[00:01:43.480 --> 00:01:44.720]  何時迪基督出來
[00:01:44.720 --> 00:01:46.640]  拿個水晶球出來,很幸運
[00:01:46.640 --> 00:01:48.200]  其實不是這些
[00:01:48.200 --> 00:01:50.120]  其實是說什麼呢?
[00:01:50.120 --> 00:01:52.120]  就是剛才說的那些
[00:01:52.120 --> 00:01:56.240]  我想啟示錄的重點不是告訴我們
[00:01:56.240 --> 00:01:59.320]  我們能夠預測到何時發生災禍
[00:01:59.320 --> 00:02:00.520]  何時發生什麼事
[00:02:00.520 --> 00:02:01.440]  因為耶穌說
[00:02:01.440 --> 00:02:04.840]  其實那些日子、時辰沒有人知道
[00:02:04.840 --> 00:02:05.680]  那又說?
[00:02:05.680 --> 00:02:07.720]  那說來幹嘛呢?
[00:02:07.720 --> 00:02:12.280]  說來其實是要讓我們生命裡有個預備
[00:02:12.280 --> 00:02:13.240]  這個預備是什麼呢?
[00:02:13.240 --> 00:02:15.720]  就是剛才那番話
[00:02:15.720 --> 00:02:19.720]  我們很爽地敬拜有事
[00:02:19.720 --> 00:02:22.400]  但有時候你要用力
[00:02:22.400 --> 00:02:24.840]  這個力不只是唱歌的力
[00:02:24.840 --> 00:02:28.040]  用信心、堅持
[00:02:28.040 --> 00:02:30.640]  選擇繼續去敬拜
[00:02:30.640 --> 00:02:32.640]  「玻璃海前的敬拜」
[00:02:32.640 --> 00:02:33.640]  是怎樣的呢?
[00:02:33.640 --> 00:02:39.040]  我們看看聖經啟示錄第四章一至十一節
[00:02:39.040 --> 00:02:40.520]  讀給大家聽
[00:02:40.520 --> 00:02:42.520]  「這時以後我觀看
[00:02:42.520 --> 00:02:46.320]  見到天上有一道門打開了
[00:02:46.320 --> 00:02:49.520]  我第一次聽到那些好像吹號的聲音
[00:02:49.520 --> 00:02:51.520]  對我說:「你上這裡來
[00:02:51.520 --> 00:02:56.640]  我要將此後必須發生的事指給你看」
[00:02:56.640 --> 00:02:58.840]  「於是我立刻被聖靈感動
[00:02:58.840 --> 00:03:01.640]  見到有一個寶座安置在天上
[00:03:01.640 --> 00:03:03.640]  有一位坐在寶座上
[00:03:03.640 --> 00:03:07.440]  那個坐著的看來好像碧玉和紅寶石
[00:03:07.440 --> 00:03:09.920]  又有彩虹圍著寶座
[00:03:09.920 --> 00:03:12.320]  光彩好像綠寶石
[00:03:12.320 --> 00:03:14.720]  寶座的周圍有二十四個座位
[00:03:14.720 --> 00:03:16.640]  上面坐了二十四個長老
[00:03:16.640 --> 00:03:19.720]  身穿著白衣,頭上戴著金冠面
[00:03:19.720 --> 00:03:23.320]  有閃電聲音雷轟在寶座發出來
[00:03:23.320 --> 00:03:25.720]  在寶座前點著七支火炬
[00:03:25.720 --> 00:03:27.720]  就是上帝的七靈
