
[00:00:00.000 --> 00:00:04.400]  各位網上的頂子妹,各位朋友,大家好
[00:00:04.400 --> 00:00:07.640]  我們今天也開始一個新的系列
[00:00:07.640 --> 00:00:11.080]  這個系列是出自吾標牧師的一本書
[00:00:11.080 --> 00:00:13.600]  叫《朝政者的人生》
[00:00:13.600 --> 00:00:17.200]  在吾標牧師的傳說中
[00:00:17.200 --> 00:00:19.640]  他會見到在以色列的民族當中
[00:00:19.640 --> 00:00:22.280]  其實充滿了很多旅程的觀念
[00:00:22.280 --> 00:00:27.680]  以色列的時候,他們出埃及,過紅海,在曠野當中
[00:00:27.680 --> 00:00:30.560]  然後準備進入英許之地
[00:00:30.560 --> 00:00:36.200]  之後被擄,亡國,回歸
[00:00:36.200 --> 00:00:39.000]  當中的時候,上帝的回眸和他們同在
[00:00:39.000 --> 00:00:41.160]  亦有一段時間,他們在當中迷失
[00:00:41.160 --> 00:00:43.360]  其實當時是在漂泊
[00:00:43.360 --> 00:00:46.960]  我一看的時候,其實跟我們香港人也很相似
[00:00:46.960 --> 00:00:52.080]  我們香港人經常被描述為一個無根的地方
[00:00:52.080 --> 00:00:53.720]  我們究竟的根在哪裡?
[00:00:53.720 --> 00:00:56.080]  我們可能經常走來走去
[00:00:56.080 --> 00:00:57.880]  會去到不同的地方
[00:00:57.880 --> 00:01:00.280]  所以今天希望能夠藉著這個系列
[00:01:00.280 --> 00:01:01.720]  《朝聖者的人生》的時候
[00:01:01.720 --> 00:01:06.120]  我們每一個其實都是朝向著上帝繼續奔跑
[00:01:06.120 --> 00:01:10.280]  究竟我們如何能夠在當中得到一個得力的訊息呢?
[00:01:10.280 --> 00:01:12.600]  我訂了一個題目,就是這個題目
[00:01:12.600 --> 00:01:15.600]  怎樣才能夠活得爽快?
[00:01:15.600 --> 00:01:18.800]  我們很多時候都會誤解爽快
[00:01:18.800 --> 00:01:21.760]  其實就是來自自己的定義或其他文化
[00:01:21.760 --> 00:01:23.000]  我們就看下去吧
[00:01:23.000 --> 00:01:26.000]  第一個,我分享一下自己的故事
[00:01:26.000 --> 00:01:33.240]  我在中學的時候,我覺得爽快當然是沒有人管
[00:01:33.240 --> 00:01:36.440]  爺爺奶奶沒有管我,父母也沒有管我
[00:01:36.440 --> 00:01:39.480]  當時我中學的時候,是有一個選擇的
[00:01:39.480 --> 00:01:42.840]  父母就在某個地方住
[00:01:42.840 --> 00:01:45.320]  爺爺奶奶就在另一個地方住
[00:01:45.320 --> 00:01:48.200]  有一天,不是一天,是累積了
[00:01:48.200 --> 00:01:51.640]  就跟媽媽吵架,就是生活的處理細節
[00:01:51.640 --> 00:01:54.080]  那時候我爺爺就找我
[00:01:54.080 --> 00:01:57.720]  他說:家仔,你想不想回來跟爺爺奶奶住?
[00:01:57.720 --> 00:01:59.160]  你考慮一下吧
[00:01:59.160 --> 00:02:02.080]  那時候我就想,很棒啊,回去跟爺爺奶奶住
[00:02:02.080 --> 00:02:04.200]  爺爺奶奶就中我的
[00:02:04.200 --> 00:02:06.640]  媽媽那邊就管得很嚴的
[00:02:06.640 --> 00:02:08.640]  大家都知道結果我選擇了
[00:02:08.640 --> 00:02:11.000]  結果我就回去跟爺爺奶奶住
[00:02:11.000 --> 00:02:14.480]  第一件事,我想做的是通宵打遊戲機
[00:02:14.480 --> 00:02:18.680]  因為在媽媽嚴密的監控之下,我是做不到這件事的
[00:02:18.680 --> 00:02:21.560]  我曾經試過,幾晚
[00:02:21.560 --> 00:02:23.800]  媽媽,我不用吃飯了,麻煩你
[00:02:23.800 --> 00:02:26.880]  因為我趕著上網,其實那時候已經很慢了
[00:02:26.880 --> 00:02:29.520]  但我說,上網的時候有一個Avengers的遊戲
[00:02:29.520 --> 00:02:32.320]  關到我要打,隊友在等著我
[00:02:32.320 --> 00:02:36.000]  玩著玩著,第二天的時候,通宵打蛋
