
[00:00:00.000 --> 00:00:07.120]  很開心能夠在一個三號風球的日子
[00:00:07.120 --> 00:00:10.600]  可以跟大家一起分享神的話語
[00:00:10.600 --> 00:00:14.280]  無論是現場的、網上的
[00:00:14.280 --> 00:00:15.080]  頂姊妹
[00:00:15.080 --> 00:00:20.440]  我們都一起用神的話語來帶領我們
[00:00:20.440 --> 00:00:23.560]  今天我的講題是
[00:00:23.560 --> 00:00:26.480]  我們在小力園堂裏面的一個
[00:00:26.480 --> 00:00:29.360]  天開了的系列的其中一講第五講
[00:00:29.360 --> 00:00:31.360]  就是《新的視野》
[00:00:31.360 --> 00:00:38.440]  之前在四講裏面都有講天開了的狀況
[00:00:38.440 --> 00:00:44.080]  今天我們就在《士同人傳》的十章的一到二十四節裏面
[00:00:44.080 --> 00:00:48.440]  去看看當中天開了的狀況是怎樣
[00:00:48.440 --> 00:00:52.760]  請聽我讀出以下的經文
[00:00:52.760 --> 00:00:58.360]  在凱撒尼亞有一個人名叫哥利留
[00:00:58.600 --> 00:01:01.520]  是意大利營的白夫長
[00:01:01.520 --> 00:01:03.520]  他是個虔誠人
[00:01:03.520 --> 00:01:05.760]  他和全家都敬畏神
[00:01:05.760 --> 00:01:07.760]  他多多周濟百姓
[00:01:07.760 --> 00:01:09.760]  常常向神禱告
[00:01:09.760 --> 00:01:13.600]  有一天約在下午三點鐘
[00:01:13.600 --> 00:01:18.880]  他在異象中清楚看見神的一個使者進來
[00:01:18.880 --> 00:01:21.840]  道他男女對他說
[00:01:21.840 --> 00:01:23.000]  哥利留
[00:01:23.000 --> 00:01:26.880]  哥利留定睜看他驚惶地說
[00:01:26.880 --> 00:01:28.280]  主啊 什麼事
[00:01:28.600 --> 00:01:29.880]  天使對他說
[00:01:29.880 --> 00:01:34.080]  你的禱告和你的周濟已達到神面前
[00:01:34.080 --> 00:01:35.760]  夢記念了
[00:01:35.760 --> 00:01:38.720]  現在你要派人往約帕去
