
[00:00:00.000 --> 00:00:02.000]  各位請坐
[00:00:02.000 --> 00:00:24.000]  今天繼續是信心的系列
[00:00:24.000 --> 00:00:26.000]  講題是住在主裡面
[00:00:26.000 --> 00:00:30.000]  基本來自約翰福音15章1至11節
[00:00:30.000 --> 00:00:34.000]  在講到之前有些事想跟大家一起做
[00:00:34.000 --> 00:00:37.000]  就是檢視一下我們自己的生命究竟是怎樣
[00:00:37.000 --> 00:00:39.000]  我會問一些問題
[00:00:39.000 --> 00:00:41.000]  你不需要公開地回答我
[00:00:41.000 --> 00:00:44.000]  自己知道就可以了
[00:00:44.000 --> 00:00:46.000]  首先問一下第一題
[00:00:46.000 --> 00:00:49.000]  你認為你自己對神有沒有信心呢?
[00:00:49.000 --> 00:00:50.000]  你可以想一下
[00:00:50.000 --> 00:00:53.000]  你認為你自己對神有沒有信心呢?
[00:00:53.000 --> 00:00:56.000]  通常你可能會說當然有
[00:00:56.000 --> 00:00:59.000]  問題就沒那麼簡單
[00:00:59.000 --> 00:01:01.000]  如果給你評分
[00:01:01.000 --> 00:01:03.000]  0分到10分
[00:01:03.000 --> 00:01:04.000]  你屬於多少分呢?
[00:01:04.000 --> 00:01:07.000]  可能5分在中間覺得還可以
[00:01:07.000 --> 00:01:09.000]  但間中都會沒什麼信心
[00:01:09.000 --> 00:01:12.000]  或者你覺得自己對神的信心是爆棚
[00:01:12.000 --> 00:01:13.000]  你可以給10分
[00:01:13.000 --> 00:01:16.000]  或者你發現其實都不是很多
[00:01:16.000 --> 00:01:17.000]  你就給低分一點
[00:01:17.000 --> 00:01:18.000]  你自己給一個分數
[00:01:18.000 --> 00:01:22.000]  究竟你對神的信心有多少呢?
[00:01:22.000 --> 00:01:24.000]  第二個問題就是
[00:01:24.000 --> 00:01:26.000]  你認為你對神的親近程度是多少呢?
[00:01:26.000 --> 00:01:27.000]  如果要你評分
[00:01:27.000 --> 00:01:34.000]  你認為你對神的親近程度是多少呢?
[00:01:34.000 --> 00:01:36.000]  接下來不用評分了
[00:01:36.000 --> 00:01:37.000]  你可以想一下
[00:01:37.000 --> 00:01:40.000]  通常你什麼時候對神的親近程度是多少呢?
[00:01:40.000 --> 00:01:44.000]  是不是每一刻都覺得跟神很親近呢?
[00:01:44.000 --> 00:01:46.000]  還是某些時間才會是呢?
[00:01:46.000 --> 00:01:50.000]  通常是什麼時候呢?
[00:01:50.000 --> 00:01:52.000]  當你遇到困難
[00:01:52.000 --> 00:01:57.000]  或者一些不如意的事情發生的時候
