
[00:00:00.000 --> 00:00:06.280]  好 各位收看直播的大型節目 大家好
[00:00:06.280 --> 00:00:10.960]  今天很開心有機會再一次跟大家分享訊息
[00:00:10.960 --> 00:00:15.960]  不知道各位朋友 大型節目近來心情如何
[00:00:15.960 --> 00:00:19.400]  當你每一天有機會看到新聞報道的時候
[00:00:19.400 --> 00:00:22.800]  你見到疫情第三波越來越嚴重
[00:00:22.800 --> 00:00:24.320]  心裏面都有一沉
[00:00:24.320 --> 00:00:28.320]  可能你剛剛也看完衛生署的記者會的時候
[00:00:28.320 --> 00:00:31.120]  當你見到今天的確診數字又飆升的時候
[00:00:31.120 --> 00:00:33.120]  你心裏面都很難過
[00:00:33.120 --> 00:00:36.320]  有時當我們面對心靈裏面有很多不同的處境
[00:00:36.320 --> 00:00:37.920]  很多的逆境的時候
[00:00:37.920 --> 00:00:41.600]  悲傷難過的心情是難免的
[00:00:41.600 --> 00:00:45.920]  但今天我們如何在聖經的位裏面學習
[00:00:45.920 --> 00:00:47.720]  一同去被提醒
[00:00:47.720 --> 00:00:50.920]  究竟在一個充滿患難 充滿挑戰的世代裏面
[00:00:50.920 --> 00:00:55.520]  我們如何能夠將一份悲傷能夠化為力量
[00:00:55.520 --> 00:01:00.520]  今天在當中跟大家分享登山寶訓的訊息
[00:01:00.520 --> 00:01:04.120]  說到第二幅 我相信很多人都認識的
[00:01:04.120 --> 00:01:09.720]  登山寶訓當中的對象是一群散落在耶路撒冷的猶太人
[00:01:09.720 --> 00:01:14.520]  同樣他們都是面對充滿挑戰壓迫患難的環境裏面
[00:01:14.520 --> 00:01:17.720]  但耶穌基督透過登山寶訓要教導他們
[00:01:17.720 --> 00:01:21.720]  沒錯 外在的環境是充滿挑戰是充滿困難
[00:01:21.720 --> 00:01:25.720]  但我們如何靠著上帝的恩典去領受從上帝而來的福氣
[00:01:25.720 --> 00:01:29.720]  讓我們有能力去面對當下的處境
[00:01:29.720 --> 00:01:33.720]  盼望藉著馬太福音的經文和另一段約翰福音的經文
[00:01:33.720 --> 00:01:38.120]  讓我們一同去學習如何化悲傷能夠成為力量
[00:01:38.120 --> 00:01:40.720]  請大家先聽我讀出當中的經文
[00:01:40.720 --> 00:01:43.120]  經文裏面這樣說
[00:01:43.120 --> 00:01:47.720]  他說哀悼的人有福了 因為他們必得安慰
[00:01:47.720 --> 00:01:52.120]  另外在約翰福音第十一章裏面這樣記載
[00:01:52.120 --> 00:01:56.720]  瑪利亞到了耶穌那裏 看見祂就俯伏在祂腳前
[00:01:56.720 --> 00:02:01.720]  對祂說 主啊 祢若早在這裏 我弟弟就不會死了
[00:02:01.720 --> 00:02:06.720]  耶穌看見祂哭 並看見與祂同來的猶太人也哭
[00:02:06.720 --> 00:02:09.720]  就心裏悲嘆 又甚憂愁
[00:02:09.720 --> 00:02:12.720]  就說你們把他安放在那裏
[00:02:12.720 --> 00:02:15.720]  他們對祂說 主啊 請你來害
