
[00:00:00.000 --> 00:00:03.480]  各位兄弟姐妹,新年快樂
[00:00:03.480 --> 00:00:09.080]  2024年第一次的週六崇拜
[00:00:09.080 --> 00:00:12.520]  今年教會有一個新的主題
[00:00:12.520 --> 00:00:15.680]  我不知道你們知不知道今年教會有一個新的主題
[00:00:15.680 --> 00:00:19.160]  叫作「作主門徒」
[00:00:19.160 --> 00:00:20.600]  我們有一句slogan的
[00:00:20.600 --> 00:00:23.480]  就是行主道,就要怎樣?
[00:00:23.480 --> 00:00:25.480]  作門徒
[00:00:25.480 --> 00:00:28.080]  今年會跟大家分享一個系列的訊息
[00:00:28.080 --> 00:00:29.880]  叫作「作門徒的代價」
[00:00:29.880 --> 00:00:32.560]  透過不同的使徒的生命裏面
[00:00:32.560 --> 00:00:38.360]  讓我們如何學習成為上帝所差派的門徒
[00:00:38.360 --> 00:00:42.040]  每個使徒的生命裏面都有他做得不好的地方
[00:00:42.040 --> 00:00:45.360]  甚至乎有需要被上帝重建的地方
[00:00:45.360 --> 00:00:47.600]  正如今天的主角一樣
[00:00:47.600 --> 00:00:50.800]  今天的題目叫作「拆毀與重建」
[00:00:50.800 --> 00:00:54.680]  當人生命裏面能夠經歷上帝那份的拆毀
[00:00:54.680 --> 00:00:56.280]  是很痛的
[00:00:56.280 --> 00:01:00.160]  但當這個拆毀之後能夠被重建
[00:01:00.160 --> 00:01:04.000]  整個人的生命將會活得不再一樣
[00:01:04.000 --> 00:01:08.560]  究竟今天我們的生命裏面如何能夠成為主所愛的門徒呢?
[00:01:08.560 --> 00:01:12.320]  《盧家福音》第22章31至34節
[00:01:12.320 --> 00:01:15.680]  今年裏面有七個港島
[00:01:15.680 --> 00:01:20.200]  七個港島裏面透過這七個我們很熟悉的門徒或者使徒
[00:01:20.200 --> 00:01:21.120]  在他們的生命裏面
[00:01:21.120 --> 00:01:24.440]  他們都有需要在當中更新改變的地方
[00:01:24.440 --> 00:01:26.960]  當他們在生命裏面遇見耶穌的時候
[00:01:26.960 --> 00:01:29.280]  生命就帶來很大的改變
[00:01:29.280 --> 00:01:33.560]  盼望今天你和我的生命裏面都能夠被上帝親自的改變
[00:01:33.560 --> 00:01:35.240]  讓我先為大家讀出今天的經文
[00:01:35.240 --> 00:01:38.440]  《盧家福音》第22章31至34節
[00:01:38.440 --> 00:01:42.240]  今天我們的主角是彼得
[00:01:42.240 --> 00:01:43.560]  聖經裏面這樣說
[00:01:43.560 --> 00:01:45.520]  主又說西門西門
[00:01:45.520 --> 00:01:47.520]  撒旦要得著你們
[00:01:47.520 --> 00:01:49.760]  好西你們像西物質的一樣
[00:01:49.760 --> 00:01:51.920]  但我已經為你祈求
[00:01:51.920 --> 00:01:54.360]  使你不至於失去信心
[00:01:54.360 --> 00:01:58.280]  你回頭以後要兼顧你的弟兄
[00:01:58.280 --> 00:01:59.160]  彼得對他說
[00:01:59.160 --> 00:02:02.720]  主啊我已經準備好要和你坐牢
[00:02:02.720 --> 00:02:04.200]  與你同死
[00:02:04.200 --> 00:02:06.880]  耶穌說彼得我告訴你
[00:02:06.880 --> 00:02:09.560]  今日雞還沒叫的時候
[00:02:09.560 --> 00:02:13.240]  你要三次說不認得我
[00:02:13.240 --> 00:02:14.640]  我想彼得的生命裏面
[00:02:14.640 --> 00:02:18.240]  我們知道是其中一個很重要的使徒
[00:02:18.240 --> 00:02:21.320]  當然在他生命裏面其中一個最大的污點
[00:02:21.320 --> 00:02:23.320]  知道是什麼嗎
[00:02:23.320 --> 00:02:25.320]  三次不認著
[00:02:25.320 --> 00:02:27.320]  對他整個人生命裏面
[00:02:27.320 --> 00:02:29.320]  帶來一個很大很大的衝擊
[00:02:29.320 --> 00:02:32.680]  我相信也是相當痛苦的一個經歷
[00:02:32.680 --> 00:02:35.680]  但當他經歷過這個事件的時候
[00:02:35.680 --> 00:02:38.680]  他生命是被完全的拆毀
[00:02:38.680 --> 00:02:42.120]  但同一時間耶穌要再一次重建他的生命
[00:02:42.120 --> 00:02:43.480]  結果在初期教會
[00:02:43.480 --> 00:02:45.000]  特別你看使徒行傳
[00:02:45.000 --> 00:02:48.320]  彼得是當時一個相當重要的使徒
[00:02:48.320 --> 00:02:50.920]  特別在初期教會建立的年代
[00:02:50.920 --> 00:02:54.320]  彼得發揮了一個非常重要的功用
[00:02:54.320 --> 00:02:56.920]  沒錯彼得經歷過拆毀
[00:02:56.920 --> 00:03:00.280]  但同樣他的生命能夠經歷被重建
[00:03:00.280 --> 00:03:03.320]  之前有一篇文章就說
[00:03:03.320 --> 00:03:06.240]  今時今日的人上教會抱著什麼心態
[00:03:06.240 --> 00:03:09.680]  結果就有一個名詞叫做宗教消費者
[00:03:09.680 --> 00:03:12.120]  其實你看過名詞一看就知道
[00:03:12.120 --> 00:03:14.120]  一定是講負面的
[00:03:14.120 --> 00:03:17.480]  很多人上教會就好像一個消費者的角度
[00:03:17.480 --> 00:03:18.280]  什麼叫消費者
[00:03:18.280 --> 00:03:19.280]  就是我有給錢
[00:03:19.280 --> 00:03:22.080]  請你提供一些好的服務給我
[00:03:22.080 --> 00:03:22.680]  什麼叫給錢
[00:03:22.680 --> 00:03:24.320]  就是我有奉獻
[00:03:24.320 --> 00:03:26.960]  請你教會要有最好的敬拜
[00:03:26.960 --> 00:03:28.360]  有最好的講道
[00:03:28.360 --> 00:03:31.280]  當中最好有更好的服務
[00:03:31.280 --> 00:03:33.480]  顧客至上的心態
[00:03:33.480 --> 00:03:38.480]  今天上帝要讓我們不是要成為一個
[00:03:38.480 --> 00:03:41.280]  去拜宗教服務的一個人
[00:03:41.280 --> 00:03:43.880]  上帝呼召人要做些什麼
[00:03:43.880 --> 00:03:46.280]  如果你還記得《馬達福音》第28章
[00:03:46.280 --> 00:03:47.680]  大使命的吩咐
[00:03:47.680 --> 00:03:50.280]  他說要使馬民做什麼
[00:03:50.280 --> 00:03:53.080]  作主的門徒
[00:03:53.080 --> 00:03:54.880]  不單止讓你回教會
[00:03:54.880 --> 00:03:57.080]  你要今天成為主的門徒
[00:03:57.080 --> 00:03:59.680]  究竟一些所謂的宗教消費者
[00:03:59.680 --> 00:04:00.680]  他怎樣形容
[00:04:00.680 --> 00:04:02.080]  他說對他們來說
[00:04:02.080 --> 00:04:04.480]  聖經不再是用來改變信徒
[00:04:04.480 --> 00:04:06.480]  致敬歸向上帝
[00:04:06.480 --> 00:04:09.880]  它只是成了市場上一件的產品
[00:04:09.880 --> 00:04:12.080]  甚至乎我們希望透過
[00:04:12.080 --> 00:04:13.880]  聖經扭曲經文
[00:04:13.880 --> 00:04:17.480]  來當中對自己的罪惡作出一些支持
[00:04:17.480 --> 00:04:20.080]  簡單來說就是對自己所做的一切
