
[00:00:00.000 --> 00:00:04.400]  不可殺人 不可偷渡 不可雕刻偶像
[00:00:04.400 --> 00:00:08.200]  神頒佈給以色列人的十誡
[00:00:08.200 --> 00:00:12.200]  到今天仍然經常被人掛在後面
[00:00:12.200 --> 00:00:18.200]  這一集Dr Wong和大家分享幾個十誡相關的冷知識
[00:00:18.200 --> 00:00:30.200]  (音樂)
[00:00:30.200 --> 00:00:32.200]  Dr Wong 根據聖經記載
[00:00:32.200 --> 00:00:35.200]  神是藉著兩塊法板去頒佈十誡
[00:00:35.200 --> 00:00:37.200]  我看到網上有人問
[00:00:37.200 --> 00:00:40.200]  是不是一份給神保留 一份給摩西保留
[00:00:40.200 --> 00:00:44.200]  那兩塊石板不是一塊給神 一塊給摩西
[00:00:44.200 --> 00:00:47.200]  因為我們知道從春夏及記三十二章
[00:00:47.200 --> 00:00:51.200]  摩西下山時是拿著兩塊石板
[00:00:51.200 --> 00:00:57.200]  亦是那三十二章跟我們說那塊石板是前後都寫了
[00:00:57.200 --> 00:01:00.200]  這些就像古代中東的石板
[00:01:00.200 --> 00:01:04.200]  我們找到的石板很多時候都是前後寫的
[00:01:04.200 --> 00:01:08.200]  還有一樣東西關於十誡很多人可能有個錯覺
[00:01:08.200 --> 00:01:11.200]  因為我們經常想著十誡
[00:01:11.200 --> 00:01:16.200]  不可有別的神 要孝敬父母
[00:01:16.200 --> 00:01:20.200]  十個句子很短的就完
[00:01:20.200 --> 00:01:24.200]  但實在大家看聖經是長很多的
[00:01:24.200 --> 00:01:26.200]  有些解釋
[00:01:26.200 --> 00:01:32.200]  加起來希伯來文字是有二百個字
[00:01:32.200 --> 00:01:37.200]  兩塊石板就前後寫了那二百個字
[00:01:37.200 --> 00:01:43.200]  還有另一樣東西就是那兩塊石板應該不是太大
[00:01:43.200 --> 00:01:47.200]  因為如果太大的話
[00:01:47.200 --> 00:01:49.200]  兩塊石板摩西八十歲
[00:01:49.200 --> 00:01:53.200]  第一次就要拿下山
[00:01:53.200 --> 00:01:57.200]  第二次就要整兩塊石板拿上去再拿下來
[00:01:57.200 --> 00:02:00.200]  亦都不需要因為只有二百個字
[00:02:00.200 --> 00:02:04.200]  細塊一點都應該可以寫得完
[00:02:04.200 --> 00:02:08.200]  在舊約見到神要以色列人遵守他的律例典章
[00:02:08.200 --> 00:02:11.200]  究竟指的是否十誡呢?
[00:02:11.200 --> 00:02:14.200]  當然不是 十誡哪裏夠?
[00:02:14.200 --> 00:02:18.200]  我們摩西五經裏面有很多條誡命
[00:02:18.200 --> 00:02:22.200]  在猶太人傳統有613條誡命
[00:02:22.200 --> 00:02:24.200]  不過他們計算出來的時候
[00:02:24.200 --> 00:02:26.200]  有些誡命我們不覺得是誡命
[00:02:26.200 --> 00:02:27.200]  他們都覺得是誡命
[00:02:27.200 --> 00:02:29.200]  所以當然是多過十誡
[00:02:29.200 --> 00:02:33.200]  我們見到天主教 猶太教 基督教的十誡
[00:02:33.200 --> 00:02:35.200]  是有不同次序之分
[00:02:35.200 --> 00:02:38.200]  有些又會有兩條融合成一條等等的情況
[00:02:38.200 --> 00:02:41.200]  究竟為何會有這樣的分別呢?
[00:02:41.200 --> 00:02:48.200]  基本上是頭幾個句子是怎樣分類的
[00:02:48.200 --> 00:02:53.200]  第一個句子「我要華是你們的神」
[00:02:53.200 --> 00:02:55.200]  是否第一條誡命呢?
[00:02:55.200 --> 00:02:58.200]  在猶太教這個就是第一條誡命
[00:02:58.200 --> 00:03:02.200]  按我所知羅馬天主教都是這樣說的
[00:03:02.200 --> 00:03:04.200]  但新教就不是了
[00:03:05.200 --> 00:03:07.200]  但當他跟你說十誡的時候
[00:03:07.200 --> 00:03:08.200]  是甚麼十誡呢?
[00:03:08.200 --> 00:03:10.200]  如果你看他的聖經
[00:03:10.200 --> 00:03:13.200]  他的聖經都會說所有我們看到的東西
[00:03:13.200 --> 00:03:17.200]  不過他就覺得那兩條誡命是一條誡命
[00:03:17.200 --> 00:03:22.200]  他說了那個就是你覺得不准做偶像
[00:03:22.200 --> 00:03:23.200]  就不可以有別的神
[00:03:23.200 --> 00:03:25.200]  是同一樣東西
[00:03:25.200 --> 00:03:27.200]  但猶太人來說
[00:03:27.200 --> 00:03:31.200]  按我所知猶太人或我們都是兩樣東西
[00:03:31.200 --> 00:03:35.200]  因為他是不准做耶和華的偶像
[00:03:35.200 --> 00:03:39.200]  但他們覺得是別的神的偶像
[00:03:39.200 --> 00:03:42.200]  不是和不可敬拜的別的神一樣
[00:03:42.200 --> 00:03:44.200]  去到最後實在
[00:03:44.200 --> 00:03:47.200]  他就應該如果我沒有記錯
[00:03:47.200 --> 00:03:50.200]  去到最後的貪戀別人那裏
[00:03:50.200 --> 00:03:52.200]  他應該是分開就變成兩條誡命
[00:03:52.200 --> 00:03:55.200]  決定了這三個句子之後
[00:03:55.200 --> 00:03:57.200]  其他的就跟著下去
[00:03:57.200 --> 00:04:02.200]  但實在那些字基本上都是那一堆東西
[00:04:02.200 --> 00:04:06.200]  古老的十誡法板究竟今天去了哪裏?
[00:04:06.200 --> 00:04:09.200]  十誡和我們基督徒又有甚麼關係?
[00:04:09.200 --> 00:04:11.200]  記住留意下集
[00:04:11.200 --> 00:04:13.200]  十誡冷知識
[00:04:14.200 --> 00:04:16.200]  (字幕製作:貝爾)
[00:04:17.200 --> 00:04:19.200]  (字幕製作:貝爾)
[00:04:19.200 --> 00:04:21.200]  (字幕製作:貝爾)

