
[00:00:00.000 --> 00:00:05.520]  在領受上帝的話前,我們一起禱告
[00:00:05.520 --> 00:00:09.760]  有半分鐘時間,我們在現有的位置
[00:00:09.760 --> 00:00:14.680]  我們一起合上眼睛,求主打開我們的心
[00:00:14.680 --> 00:00:16.680]  請你為自己禱告
[00:00:16.680 --> 00:00:44.280]  (無聲)
[00:00:44.280 --> 00:00:47.360]  我們一起同心禱告
[00:00:47.360 --> 00:00:51.320]  各位主,我們今年經歷了很多事情
[00:00:51.320 --> 00:00:54.640]  不論是疫症、社會的事
[00:00:54.640 --> 00:01:02.000]  或者我們在社會制度下一個大的轉變
[00:01:02.000 --> 00:01:05.920]  都令到我們每一個人都有不同的體會
[00:01:05.920 --> 00:01:09.920]  或者我們現在當中的弟兄姊妹
[00:01:09.920 --> 00:01:17.600]  父母都考慮移民,或者送我們去外國
[00:01:17.600 --> 00:01:21.120]  甚或我們一班在職的
[00:01:21.120 --> 00:01:23.120]  心裏面都有很多疑惑
[00:01:23.120 --> 00:01:28.080]  究竟留在香港的情況會是怎樣呢?
[00:01:28.080 --> 00:01:32.560]  心裏面我們都很不安、很惶恐
[00:01:32.560 --> 00:01:35.640]  因為我們真的不知道未來如何
[00:01:35.640 --> 00:01:38.320]  因此我們求上帝你恩待我們
[00:01:38.320 --> 00:01:42.720]  求你賜信心、平安給我們
[00:01:42.720 --> 00:01:48.400]  叫我們在你的裏面得著一個指引
[00:01:48.400 --> 00:01:52.200]  以致我們能夠降伏於你
[00:01:52.200 --> 00:01:55.720]  我們祈禱奉耶穌基督,阿們
[00:01:55.720 --> 00:01:58.520]  今日和大家分享一個題目
[00:01:58.520 --> 00:02:00.520]  「江湖新秩序」
[00:02:01.240 --> 00:02:05.400]  基本上這個題目是來自
[00:02:05.400 --> 00:02:09.200]  因為我們見到中國的宗教政策
[00:02:09.200 --> 00:02:17.520]  在2018年前開始草擬一個新的條例
[00:02:17.520 --> 00:02:21.120]  之後在2018年2月就實施
[00:02:21.120 --> 00:02:26.600]  我們都留意到會否對我們香港有些影響
[00:02:26.600 --> 00:02:32.120]  或者我們先了解一下中國對宗教政策的看法
[00:02:32.120 --> 00:02:35.120]  在憲法裏面
[00:02:35.120 --> 00:02:41.400]  我們中國人民共和國是強調
[00:02:41.400 --> 00:02:45.800]  保證我們在憲法上是有宗教自由的
[00:02:45.800 --> 00:02:48.440]  但在宗教自由裏面
[00:02:48.440 --> 00:02:51.440]  其實當中同時間有幾個規定
[00:02:51.440 --> 00:02:52.640]  第一個規定就是
[00:02:52.640 --> 00:02:55.840]  國家要保護正常的宗教活動
[00:02:55.840 --> 00:03:03.720]  第二就是不得強迫公民信宗教和不信宗教
