
[00:00:00.000 --> 00:00:03.720]  各位網上的朋友,各位電影姊妹好
[00:00:03.720 --> 00:00:08.000]  當你在網上的時候,跟我們都是一重的結連
[00:00:08.000 --> 00:00:10.520]  所以你不需要太介懷,好像不在這裡
[00:00:10.520 --> 00:00:12.360]  其實我們的心都是同在的
[00:00:12.360 --> 00:00:16.720]  願每一個人都能夠從今天經歷神
[00:00:16.720 --> 00:00:18.400]  在今天這個題目的時候
[00:00:18.400 --> 00:00:21.320]  亦延續了清善的講道系列
[00:00:21.320 --> 00:00:24.760]  究竟何謂主內的肢體關係呢?
[00:00:24.760 --> 00:00:27.000]  我們有時聽得多,或是聖經見得多
[00:00:27.000 --> 00:00:29.560]  究竟怎樣才算是主內的肢體關係呢?
[00:00:29.560 --> 00:00:31.160]  我設計了這個系列
[00:00:31.160 --> 00:00:34.600]  我們有不同的清晨和同工去分享
[00:00:34.600 --> 00:00:35.360]  今天到我了
[00:00:35.360 --> 00:00:38.520]  分享的時候,到了成熟的地步
[00:00:38.520 --> 00:00:41.640]  你應該有這個舉動
[00:00:41.640 --> 00:00:44.560]  「認督」,得字
[00:00:44.560 --> 00:00:46.800]  經文我們一會兒就會打開
[00:00:46.800 --> 00:00:49.680]  先問一下DSE
[00:00:49.680 --> 00:00:50.880]  剛剛完結
[00:00:50.880 --> 00:00:52.400]  今天有哪個DSE完結的?
[00:00:52.400 --> 00:00:55.360]  否認自己的身份
[00:00:55.360 --> 00:00:57.200]  以為自己還未完成
[00:00:57.200 --> 00:00:58.520]  恭喜你
[00:00:58.520 --> 00:00:59.680]  已經出埃及了
[00:00:59.680 --> 00:01:03.360]  可能網上有些DSE都在等待放榜
[00:01:03.360 --> 00:01:04.480]  已經考完了
[00:01:04.480 --> 00:01:06.080]  問一下DSE這個問題
[00:01:06.080 --> 00:01:07.280]  大家都可以回答
[00:01:07.280 --> 00:01:11.320]  有什麼物品在淘寶買不到的?
[00:01:11.320 --> 00:01:14.920]  啊?
[00:01:14.920 --> 00:01:15.320]  愛?
[00:01:15.320 --> 00:01:16.760]  哇,這個很好
[00:01:16.760 --> 00:01:18.360]  哇,真的
[00:01:18.360 --> 00:01:19.440]  除了愛
[00:01:19.440 --> 00:01:22.000]  有什麼物品在淘寶買不到的?
[00:01:22.000 --> 00:01:24.520]  因為我身邊的人玩淘寶的老婆
