
[00:00:00.000 --> 00:00:05.320]  大家好,今天再一次來到青少年的崇拜
[00:00:05.320 --> 00:00:08.640]  無論是現場的,網上的,電影節目的朋友們,平安
[00:00:08.640 --> 00:00:11.720]  這個系列來自戈龍標牧師的一本書
[00:00:11.720 --> 00:00:13.720]  叫《朝聖者的人生》
[00:00:13.720 --> 00:00:18.440]  他描述在《聖經》中的描述中
[00:00:18.440 --> 00:00:20.440]  有一個旅程的觀念
[00:00:20.440 --> 00:00:23.720]  不斷向著一個致勝者,不斷的朝往
[00:00:23.720 --> 00:00:25.720]  在今生的一個客女一直走向
[00:00:25.720 --> 00:00:28.600]  所以他就寫成這本書《朝聖者的人生》
[00:00:28.600 --> 00:00:33.960]  而今天的主題是究竟以什麼去籌劃、計劃呢?
[00:00:33.960 --> 00:00:38.360]  在近期可能你正在想一些計劃
[00:00:38.360 --> 00:00:42.160]  相信這篇信息非常合適你去聆聽
[00:00:42.160 --> 00:00:45.440]  可能也是神透過這篇信息向你說話
[00:00:45.440 --> 00:00:50.120]  以至解答到你心中的疑問或憂慮或不安
[00:00:50.120 --> 00:00:54.840]  在說這個題目的時候,我會說一點自己的故事
[00:00:54.840 --> 00:00:57.800]  在過去的時候,我還不知道自己的性格
[00:00:57.800 --> 00:01:00.840]  因為我以前是INTJ,所以還沒有做這些性格
[00:01:00.840 --> 00:01:03.840]  在小時候就跟著原生家庭
[00:01:03.840 --> 00:01:06.840]  看看父母的計劃是如何
[00:01:06.840 --> 00:01:11.320]  我自己的母親是焦慮的,是操控性的
[00:01:11.320 --> 00:01:15.160]  她是很快的,基本上是很快就要做
[00:01:15.160 --> 00:01:18.760]  所以如果我學母親的話,我是很快速的
[00:01:18.760 --> 00:01:21.400]  但我父親是完全相反的
[00:01:21.400 --> 00:01:24.800]  是很慢調時理,慢活人生的
[00:01:24.800 --> 00:01:26.800]  基本上是不會計劃未來的
[00:01:26.800 --> 00:01:30.440]  我看到父母有時候會有衝突
