
[00:00:00.000 --> 00:00:04.000]  既然敬拜隊搬了台在前面,我也沒理由站在台上
[00:00:04.000 --> 00:00:08.000]  幸好有一個portable的keyboard
[00:00:08.000 --> 00:00:13.000]  我可以從後面看
[00:00:13.000 --> 00:00:18.000]  聽到嗎?有聲音嗎?
[00:00:18.000 --> 00:00:23.000]  在進入今天的訊息正題之前,我猜這裡應該沒有人…
[00:00:23.000 --> 00:00:28.000]  再介紹一下自己,我是來自後一堂的欣宇
[00:00:29.000 --> 00:00:31.000]  上一次在這裡說過…
[00:00:31.000 --> 00:00:34.000]  之前說過一次,這裡是一生的恩惠
[00:00:34.000 --> 00:00:38.000]  在進入正題之前,可以幫我去一下第一版嗎?
[00:00:38.000 --> 00:00:40.000]  要我自己去嗎?
[00:00:40.000 --> 00:00:42.000]  有的,好
[00:00:42.000 --> 00:00:45.000]  等一下,我知道為什麼我要在上面
[00:00:45.000 --> 00:00:52.000]  等一下,我猜這裡應該沒有人聽過這首歌
[00:00:52.000 --> 00:01:02.000]  所以,為了讓我不會太尷尬,我就邀請PA幫我播一播這首歌給大家聽
[00:01:02.000 --> 00:01:04.000]  讓大家有些概念,謝謝PA
[00:01:05.000 --> 00:01:07.000]  (音樂)
[00:01:08.000 --> 00:01:10.000]  (音樂)
[00:01:11.000 --> 00:01:13.000]  (音樂)
[00:01:37.000 --> 00:01:42.000]  (電裡 榮光 招搖)
[00:01:42.000 --> 00:01:49.000]  (前排像你的人不少)
[00:01:49.000 --> 00:01:57.000]  (我失梳 在一個假裝我不存在)
[00:01:57.000 --> 00:02:06.000]  (我害怕看見 你癡目的微妙)
[00:02:07.000 --> 00:02:12.000]  (你仍然不看我)
[00:02:12.000 --> 00:02:18.000]  (世上人也偏失落)
[00:02:18.000 --> 00:02:25.000]  (我的存在 竟收容你我)
[00:02:25.000 --> 00:02:32.000]  (你不願面相我)
[00:02:33.000 --> 00:02:38.000]  (我知道我所犯的錯)
[00:02:38.000 --> 00:02:47.000]  (但我盡力了 仍無力悔過)
[00:02:47.000 --> 00:02:55.000]  (我沒法睜眼 仰望聖殿裡的塔)
[00:02:55.000 --> 00:03:02.000]  (也沒法開口 痛歌呼喊我驚怕)
[00:03:03.000 --> 00:03:06.000]  (你自成尊貴嗎)
[00:03:06.000 --> 00:03:11.000]  (我在罪中打滾掙扎)
[00:03:11.000 --> 00:03:16.000]  (世上眾生凌雷)
[00:03:16.000 --> 00:03:22.000]  (我算是最燦爛的嗎)
[00:03:22.000 --> 00:03:29.000]  (你在自告處了 看軟弱裡的他)
[00:03:30.000 --> 00:03:36.000]  (你願意拭去我 再擁抱我心嗎)
[00:03:36.000 --> 00:03:39.000]  (聖殿裡不再怕)
[00:03:39.000 --> 00:03:45.000]  (我在你光中有指怕)
[00:03:45.000 --> 00:03:52.000]  (永恆裡總可以忘記)
[00:03:52.000 --> 00:03:59.000]  (你溫柔如初的笑臉)
[00:04:00.000 --> 00:04:04.000]  (永恆裡總可以忘記)
[00:04:04.000 --> 00:04:09.000]  (有多少人在聽之前聽過這首歌)
[00:04:09.000 --> 00:04:10.000]  (有沒有人聽過)
[00:04:10.000 --> 00:04:11.000]  (沒有 太好了)
[00:04:11.000 --> 00:04:14.000]  (有人聽過 太好了)
[00:04:14.000 --> 00:04:15.000]  (有兩個)
[00:04:15.000 --> 00:04:19.000]  (是不是可以控制我的PowerPoint)
[00:04:19.000 --> 00:04:23.000]  (今天跟大家繼續講詩歌系列)
[00:04:23.000 --> 00:04:26.000]  (猜到大家應該沒有聽過這首歌)
[00:04:26.000 --> 00:04:28.000]  (這首歌是)
[00:04:28.000 --> 00:04:29.000]  (先說回)
[00:04:29.000 --> 00:04:33.000]  (好像是最後一講的詩歌系列)
