
[00:00:00.000 --> 00:00:04.000]  歡迎大家回到青少年的崇拜
[00:00:04.000 --> 00:00:10.320]  今天繼續一個「心照一生」的系列
[00:00:10.320 --> 00:00:14.480]  上次蘇牧師提到建設之言
[00:00:14.480 --> 00:00:18.200]  就是向我們的朋友或弟兄姊妹
[00:00:18.200 --> 00:00:25.080]  有勇氣或愛心地說一些真誠的建設說話
[00:00:25.080 --> 00:00:27.800]  今天是幫助的手
[00:00:28.240 --> 00:00:30.680]  簡介一下這個系列
[00:00:30.680 --> 00:00:35.720]  其實這個系列在沙田圍堂年尾的時候會再說
[00:00:35.720 --> 00:00:41.040]  我和Jimmy問他
[00:00:41.040 --> 00:00:43.080]  這個系列挺不錯
[00:00:43.080 --> 00:00:46.320]  不如我拿來在小力園分享
[00:00:46.320 --> 00:00:48.720]  但我改了它的名字
[00:00:48.720 --> 00:00:50.840]  我改了它的名字叫「心照一生」
[00:00:50.840 --> 00:00:53.600]  為什麼呢?因為是Wyber Band的歌
[00:00:53.600 --> 00:00:56.800]  是講述一些兄弟情
[00:00:56.800 --> 00:01:00.200]  一些關係上的事情
[00:01:00.200 --> 00:01:05.560]  我自己覺得教會裡雖然我們會稱兄道弟
[00:01:05.560 --> 00:01:07.960]  或者稱呼大家為弟兄姊妹
[00:01:07.960 --> 00:01:10.800]  而且以上帝的團契
[00:01:10.800 --> 00:01:13.120]  三一的團契為我們的目標
[00:01:13.120 --> 00:01:16.320]  但實際上我們很多弟兄姊妹
[00:01:16.320 --> 00:01:18.800]  我們的關係一點都不親密
[00:01:18.800 --> 00:01:20.800]  甚至可以說是陌生
[00:01:20.800 --> 00:01:22.240]  經常見面的
[00:01:22.240 --> 00:01:25.680]  但連隔壁的名字是什麼都不知道
[00:01:25.680 --> 00:01:29.200]  有時也會因為不同的誤會而造成傷害
[00:01:29.200 --> 00:01:32.280]  原本很好的關係會反目成仇
[00:01:32.280 --> 00:01:34.280]  以致不再往來
[00:01:34.280 --> 00:01:39.320]  所以希望這個系列能夠教會我們怎樣跟別人相處
[00:01:39.320 --> 00:01:42.280]  怎樣建立關係
[00:01:42.280 --> 00:01:44.920]  亦都改變我們自己在關係上
[00:01:44.920 --> 00:01:46.920]  希望受傷的帶來醫治
