
[00:00:00.000 --> 00:00:03.920]  稍後再介紹一下我自己
[00:00:03.920 --> 00:00:10.400]  我也是在教會裡偶爾會來UFES講道
[00:00:10.400 --> 00:00:13.240]  我先回到我的訊息
[00:00:13.240 --> 00:00:16.760]  今天我在訊息前加了一件事
[00:00:16.760 --> 00:00:17.880]  是什麼呢?
[00:00:17.880 --> 00:00:20.760]  就是年輕人聊天
[00:00:20.760 --> 00:00:24.440]  今天給我的題目是《必定是鳳爺和華》
[00:00:24.440 --> 00:00:28.360]  我知道是你們在說《藥書》《阿記》裡
[00:00:28.360 --> 00:00:30.120]  去到最後的兩章
[00:00:30.120 --> 00:00:31.560]  可能你也不太記得了
[00:00:31.560 --> 00:00:33.240]  總之說了一段時間
[00:00:33.240 --> 00:00:36.440]  今天去到年尾也要總結了
[00:00:36.440 --> 00:00:39.200]  不過我想說《必定是鳳爺和華》
[00:00:39.200 --> 00:00:41.760]  有時候是在說出來的時候
[00:00:41.760 --> 00:00:42.920]  那是什麼意思呢?
[00:00:42.920 --> 00:00:45.080]  我就要和你一起
[00:00:45.080 --> 00:00:47.720]  年輕人聊天
[00:00:47.720 --> 00:00:52.080]  提到我想有一個年輕人
[00:00:52.080 --> 00:00:58.400]  這個年輕人在一個從來沒有走過的路上
[00:00:58.400 --> 00:01:02.720]  神就叫他帶著一批人去冒險
[00:01:02.720 --> 00:01:07.320]  於是這個年輕人聽了一句被鼓勵的話
[00:01:07.320 --> 00:01:09.440]  他就要起鬧去了
[00:01:09.440 --> 00:01:14.000]  我們今天就看看23至24章
[00:01:14.000 --> 00:01:18.240]  我先在這裡和大家讀一下這段經文
[00:01:18.240 --> 00:01:20.880]  但這段經文是1至15節
[00:01:20.880 --> 00:01:23.040]  之後23章
[00:01:23.040 --> 00:01:25.160]  然後24章又有太多了
[00:01:25.160 --> 00:01:27.600]  我會用我的方式來讀
[00:01:27.600 --> 00:01:30.600]  你需要在裡面特別停留
[00:01:30.600 --> 00:01:34.600]  去知道這兩章有什麼重要關鍵的東西
[00:01:34.600 --> 00:01:37.880]  是神跟你有份說的
[00:01:37.880 --> 00:01:39.360]  我停留的就讀
[00:01:39.360 --> 00:01:41.480]  其他的我就隨便說說
[00:01:41.480 --> 00:01:43.440]  我就不說了
[00:01:43.440 --> 00:01:44.400]  不過我鼓勵
[00:01:44.400 --> 00:01:49.000]  聖經的話是很值得我們去看的
[00:01:49.000 --> 00:01:51.960]  所以你有機會就真的去看
[00:01:51.960 --> 00:01:54.160]  容許我和大家先讀
[00:01:54.160 --> 00:01:56.320]  第23章第一節
[00:01:56.320 --> 00:02:01.520]  耶和華使以色列人從四處所有的仇敵中得享安寧
[00:02:01.520 --> 00:02:03.880]  已經有好一段日子了
[00:02:03.880 --> 00:02:05.600]  耶穌也年紀老邁
[00:02:05.600 --> 00:02:12.720]  就照了全以色列的中長老、領袖、審判官和官長來對他們說
[00:02:12.720 --> 00:02:15.400]  我已經年紀老邁
[00:02:15.400 --> 00:02:17.440]  然後這三、四、五節都是
[00:02:17.440 --> 00:02:20.160]  耶和華你們的上帝
[00:02:20.160 --> 00:02:21.480]  去到第六節了
[00:02:21.480 --> 00:02:23.120]  你們要大大壯膽
[00:02:23.120 --> 00:02:26.920]  謹守遵行寫在摩西律法書上的一切話
[00:02:26.920 --> 00:02:28.640]  不可偏離左右
[00:02:28.640 --> 00:02:32.800]  不可與你們中間所剩下的這些國家往來
[00:02:32.800 --> 00:02:35.720]  你們不可提他們神明的名
[00:02:35.720 --> 00:02:37.920]  不可指著他們起誓
[00:02:37.920 --> 00:02:39.520]  不可侍奉他們
[00:02:39.520 --> 00:02:42.360]  也不可敬拜他們
[00:02:42.360 --> 00:02:44.520]  於是第八節至十一節繼續
