
[00:00:00.000 --> 00:00:05.540]  今日有機會同大家繼續去睇
[00:00:05.540 --> 00:00:07.540]  睇尼希米記
[00:00:07.540 --> 00:00:10.540]  今日我哋睇尼希米記嘅時候
[00:00:10.540 --> 00:00:12.540]  就已經係第二章
[00:00:12.540 --> 00:00:14.540]  第二章其實就係講緊
[00:00:14.540 --> 00:00:19.580]  異象由我自己去到我哋成個群體
[00:00:19.580 --> 00:00:22.780]  今日當我哋講緊異象嘅時候先唔好問
[00:00:22.780 --> 00:00:25.980]  我嘅異象同你異象有幾多嘅分別
[00:00:25.980 --> 00:00:29.680]  而係我相信異象喺神嘅裏面
[00:00:29.680 --> 00:00:33.120]  好似俾我哋係一個好個人嘅領袖
[00:00:33.120 --> 00:00:37.440]  但如果呢個異象係同整個嘅世界有關嘅話
[00:00:37.440 --> 00:00:41.120]  一定會喺我哋個人嗰啲嘅領袖裏面
[00:00:41.120 --> 00:00:44.240]  一路一路同到其他人去分享
[00:00:44.240 --> 00:00:48.320]  同埋係分享到呢份上帝嘅喜樂
[00:00:48.320 --> 00:00:52.160]  所以今日我想用一個小小嘅例子去帶出
[00:00:52.160 --> 00:00:54.160]  喺法國有一個爸爸
[00:00:54.160 --> 00:00:57.360]  呢個嘅爸爸佢就因為個女
[00:00:57.360 --> 00:01:00.800]  係一個比較長期嘅病患裏面
[00:01:00.800 --> 00:01:05.600]  就已經喺個抗癌嘅過程用哂佢自己啲假
[00:01:05.600 --> 00:01:07.600]  其實作為一個爸爸
[00:01:07.600 --> 00:01:10.560]  一方面你要養家
[00:01:10.560 --> 00:01:14.560]  你停咗工作嘅時候可能你就冇咗嗰個生計
[00:01:14.560 --> 00:01:17.360]  但另一方面就個女咁難得
[00:01:17.360 --> 00:01:21.840]  喺一個抗癌嘅路上面可以進入一個康復期
[00:01:21.840 --> 00:01:23.360]  又好想陪伴
[00:01:23.360 --> 00:01:26.720]  於是乎呢一個嘅新聞就提到
[00:01:26.720 --> 00:01:29.280]  佢呢位爸爸嘅同事
[00:01:29.280 --> 00:01:32.800]  大家都將嗰啲假期捐咗出嚟
[00:01:32.800 --> 00:01:38.480]  就讓到佢可以享用到一年365日咁嘅假期
[00:01:38.480 --> 00:01:41.200]  成年都係放緊一個有薪嘅假
[00:01:41.200 --> 00:01:47.840]  當我睇到呢一個簡單用中文去翻譯咗嘅報道嘅時候
[00:01:47.840 --> 00:01:50.560]  我自己覺得最奇妙嘅
[00:01:50.560 --> 00:01:54.560]  可能都未必係每一個人願意捐個假出嚟
[00:01:54.560 --> 00:01:58.080]  而係當你願意捐嗰樣嘢出嚟嘅時候
[00:01:58.080 --> 00:02:02.240]  如果喺我哋今日咁現代嘅處境外知道
[00:02:02.240 --> 00:02:04.720]  勞工法例未必我肯捐
[00:02:04.720 --> 00:02:06.960]  嗰樣嘢就成到事
[00:02:06.960 --> 00:02:12.320]  係需要喺個制度裏面都去容許呢件事去發生
[00:02:12.320 --> 00:02:17.760]  如果唔係可能好容易就變咗係一種會唔會有人都用緊呢一啲嘅
[00:02:17.760 --> 00:02:20.080]  捐嘢嘅價值觀念
[00:02:20.080 --> 00:02:23.680]  其實都係成為咗個利益嘅輸送
[00:02:23.680 --> 00:02:26.160]  我睇返呢一段嘅報道就提到
[00:02:26.160 --> 00:02:31.120]  原來2014年嘅時候法國就已經有呢一個嘅條例開通咗
[00:02:31.120 --> 00:02:34.880]  讓到真係有需要嘅人當佢直屬嘅家人
[00:02:34.880 --> 00:02:39.920]  係一個比較係嘔腸嘅病患裏面需要陪伴
[00:02:39.920 --> 00:02:44.160]  呢一個嘅假期嘅捐獻就係成立咗
[00:02:44.160 --> 00:02:47.520]  所以當我睇到呢個新聞嘅時候
[00:02:47.520 --> 00:02:50.880]  讓我都再要預備呢篇嘅講章
[00:02:50.880 --> 00:02:52.880]  我就諗起呢段新聞
[00:02:52.880 --> 00:02:54.880]  有啲嘅感動
[00:02:54.880 --> 00:02:56.880]  有啲嘅諗法
[00:02:56.880 --> 00:02:58.880]  可能喺我哋好個人裏面
[00:02:58.880 --> 00:03:00.880]  係覺得我好願意行多步
[00:03:00.880 --> 00:03:03.680]  我好願意獻出嚟
[00:03:03.680 --> 00:03:08.240]  但係要成個群體能夠嗡到呢一樣嘢
[00:03:08.240 --> 00:03:10.240]  其實都係要時機
[00:03:10.240 --> 00:03:13.120]  今日我哋睇嘅李希米記
[00:03:13.120 --> 00:03:15.920]  我哋就會進入到第二章
[00:03:15.920 --> 00:03:17.520]  喺第一章嘅時候
[00:03:17.520 --> 00:03:19.520]  麥牧師同我哋去分享到
[00:03:19.520 --> 00:03:21.520]  一個比較好仔細嘅背景
[00:03:21.520 --> 00:03:24.640]  今日我將呢個背景拉返嚟第二章
[00:03:24.640 --> 00:03:27.920]  我哋從呢一個位開始去睇
[00:03:27.920 --> 00:03:30.720]  究竟李希米收到異象時候
[00:03:30.720 --> 00:03:33.680]  點樣從自己去到整個嘅群體
[00:03:33.680 --> 00:03:37.280]  當時就發生緊喺呢一個阿達舌西王
[00:03:37.280 --> 00:03:40.480]  已經執掌咗20年嘅經驗
