
[00:00:00.000 --> 00:00:04.000]  今天我很感恩有機會跟大家一起講道
[00:00:04.000 --> 00:00:08.000]  特別今天我被安排講的題目是
[00:00:08.000 --> 00:00:14.000]  舊約聖經節期學敬拜贖罪日
[00:00:14.000 --> 00:00:18.000]  大家覺得節期對你們來說是什麼意思?
[00:00:18.000 --> 00:00:28.000]  生命季節有四時,人生有喜福,恩典在腳前,等候你行動
[00:00:28.000 --> 00:00:33.000]  為什麼這樣說呢?原來在舊約裡面,我們常常有一個看法
[00:00:33.000 --> 00:00:37.000]  原來舊約的敬拜從來都不是坐在那裡的
[00:00:37.000 --> 00:00:41.000]  有沒有人去過猶太的地方,即是耶路撒冷?
[00:00:41.000 --> 00:00:45.000]  有沒有去過會堂,或者看過錄影片?
[00:00:45.000 --> 00:00:48.000]  沒有椅子的,猶太很多人沒有椅子的
[00:00:48.000 --> 00:00:53.000]  那他怎樣?來到那一個小時就站立,一路站那一個小時
[00:00:53.000 --> 00:00:56.000]  不是的,走來走去的,真的走來走去的
[00:00:56.000 --> 00:00:59.000]  他有很多事情要做的,今天我們會講這個敬拜裡面
[00:00:59.000 --> 00:01:04.000]  特別是講到贖罪日,走來走去的
[00:01:04.000 --> 00:01:08.000]  走來走去對你對我來說有什麼意思?為什麼要這樣做呢?
[00:01:08.000 --> 00:01:13.000]  今天很想我們一起來進入這個節期裡面
[00:01:13.000 --> 00:01:18.000]  前面的那些我不講了,我相信上一首的童功已經講了很多不同的節期
[00:01:18.000 --> 00:01:23.000]  今天我會講的節期就是日的per,日的per
[00:01:23.000 --> 00:01:26.000]  日的per,這個字是贖罪日的意思
[00:01:26.000 --> 00:01:32.000]  贖罪日是什麼意思呢?就是沿著大祭司每年有一個的節日叫贖罪日
[00:01:32.000 --> 00:01:39.000]  是進入致勝所,在舊日裡面大家知不知道哪個是致勝所?
[00:01:39.000 --> 00:01:42.000]  放什麼的?
[00:01:42.000 --> 00:01:47.000]  還有什麼呢?
[00:01:47.000 --> 00:01:49.000]  不知道怎麼辦
[00:01:49.000 --> 00:01:57.000]  致勝所就是由會幕開始有三層的,一個叫外院,一個叫內院
[00:01:57.000 --> 00:02:00.000]  內院再走進去的那個叫致勝所
[00:02:00.000 --> 00:02:08.000]  今天就不是那個時候講座,但是接下來你可以抓住Hidy,回中,Jimmy,牧師再教你多一點
[00:02:08.000 --> 00:02:12.000]  到底整個教會裡面的敬拜是什麼呢?每一個環節是什麼意思呢?
[00:02:12.000 --> 00:02:15.000]  贖罪日裡面大祭司做什麼呢?
[00:02:15.000 --> 00:02:26.000]  他們穿著一件白色的禮服,為自己和眾的會眾獻上一個公牛或者公山羊的贖罪祭
[00:02:26.000 --> 00:02:32.000]  然後就將那些血帶入致勝所裡面,在神面前彈在致勝所裡面
[00:02:32.000 --> 00:02:39.000]  成為一個為自己、眾祭司和眾罪業的一個潔淨的禮儀
[00:02:39.000 --> 00:02:42.000]  我們先讀一下經文
[00:02:42.000 --> 00:02:49.000]  7月初十是贖罪日,你們要守為聖會,並要刻苦己心
[00:02:49.000 --> 00:02:56.000]  也要將火祭獻給耶華,這一天什麼都不准做,因為這個是贖罪日
[00:02:56.000 --> 00:03:05.000]  要在耶華神面前贖罪,當這一天凡不刻苦己心的人,必在民眾剪除大件事
[00:03:05.000 --> 00:03:10.000]  如果你那天贖罪,不刻苦心,就拜拜了,玩完了
[00:03:10.000 --> 00:03:19.000]  還有凡在裡面做什麼工作,我就要驅除,贖罪日不准上班,贖罪日不准種貨
[00:03:19.000 --> 00:03:24.000]  無論明天是交project,那天都不准做,是不是這麼厲害呢?
[00:03:24.000 --> 00:03:31.000]  我們一切的住處,作為世世代代永遠的定律,你們要守這個聖安息日
[00:03:31.000 --> 00:03:39.000]  並要刻苦己心,從這月初九日晚上到次日的晚上,守為安息日
[00:03:39.000 --> 00:03:48.000]  贖罪日原來是安息日,贖罪日竟然是聖安息日,是至神聖的一天
[00:03:48.000 --> 00:03:50.000]  是安息日裡面的安息日,什麼意思呢?
[00:03:50.000 --> 00:03:58.000]  什麼都不准做,要守聖會,要認罪,蒙灰,禱告,禁食,刻苦己心
[00:03:58.000 --> 00:04:03.000]  嘩,很大件事,這個關你什麼事?
[00:04:03.000 --> 00:04:06.000]  有沒有人還要做這件事?
[00:04:06.000 --> 00:04:16.000]  有誰頂姐妹你帶羊回教會?帶白鴿回教會?帶鵪鶉回教會?
[00:04:16.000 --> 00:04:21.000]  那真的不關你的事,到底關我們什麼事?不如我們先看片段
