
[00:00:00.000 --> 00:00:02.000]  各位親愛的姐妹平安!
[00:00:02.000 --> 00:00:06.000]  祝大家新年快樂!
[00:00:06.000 --> 00:00:16.000]  下星期又是農曆新年,新的一年又快要開始了!
[00:00:16.000 --> 00:00:20.000]  新的一年裡面有新的開始,教會也有新的開始!
[00:00:20.000 --> 00:00:24.000]  2023年是一個充滿盼望的一年!
[00:00:24.000 --> 00:00:32.000]  其中一個很重要的盼望就是,今天我們很多的防疫政策都開始慢慢放寬了!
[00:00:32.000 --> 00:00:36.000]  也看到很多不同的弟兄姐妹都有機會再次回來!
[00:00:36.000 --> 00:00:42.000]  當全世界或者全港都在講復常的時候,其實教會也是一樣!
[00:00:42.000 --> 00:00:47.000]  但當我們經常在講復常的時候,不只是我們搞一個聚會那麼簡單!
[00:00:47.000 --> 00:00:54.000]  不只是復常實體的聚會,更加復常我們跟上帝的關係!
[00:00:54.000 --> 00:00:58.000]  所以今年教會定了一個主題叫做「回家」!
[00:00:58.000 --> 00:01:03.000]  如果你在門口,旁邊有大大量的字叫做「回家」!
[00:01:03.000 --> 00:01:06.000]  我們希望建立一個屬靈的家!
[00:01:06.000 --> 00:01:09.000]  當我們回來的時候,我們讓上帝的愛充滿我們!
[00:01:09.000 --> 00:01:15.000]  讓我們在世代裡面能夠彼此扶持,彼此守望,彼此關顧!
[00:01:15.000 --> 00:01:20.000]  更加重要的是,我們不只是自己,而是建立家的感覺!
[00:01:20.000 --> 00:01:26.000]  我們盼望世代裡面的人,有機會跟別人分享一份愛,進入到我們的家當中!
[00:01:26.000 --> 00:01:30.000]  所以今年我們有句口號,可能你也看到在旁邊的了!
[00:01:30.000 --> 00:01:32.000]  首先是要什麼?
[00:01:32.000 --> 00:01:34.000]  尋回你的初心!
[00:01:34.000 --> 00:01:39.000]  究竟當日你那份愛神愛人的心,是否仍然都仍在呢?
[00:01:39.000 --> 00:01:43.000]  還是因為過去幾天我們很多時候因為疫情也好,
[00:01:43.000 --> 00:01:46.000]  甚至乎再早一點的政治爭拗,
[00:01:46.000 --> 00:01:49.000]  或者近來我們經常面對的移民潮,
[00:01:49.000 --> 00:01:52.000]  或者說少了,讓我們的心也冷淡了呢?
[00:01:52.000 --> 00:01:54.000]  今天我們會否再一次提起這個心,
[00:01:54.000 --> 00:01:57.000]  重拾上帝給我們的使命方向和目標,
[00:01:57.000 --> 00:02:00.000]  我們有一個很重要的指望是什麼呢?
[00:02:00.000 --> 00:02:05.000]  那裡看不看到四個字?
