
[00:00:00.000 --> 00:00:07.560]  今天我們在阿摩斯書的講道系列裏
[00:00:07.560 --> 00:00:11.000]  我們已經去到第七講
[00:00:11.000 --> 00:00:15.320]  當我們回顧過去六講
[00:00:15.320 --> 00:00:17.320]  即是頭六講裏面
[00:00:17.320 --> 00:00:19.320]  我們都討論了很多
[00:00:19.320 --> 00:00:24.520]  就是在當時阿摩斯所身處的時代
[00:00:24.520 --> 00:00:28.040]  即是南國和北國分裂出來的時候
[00:00:28.040 --> 00:00:37.200]  當時北國以色列人一直在做很多遠離上帝心意的事情
[00:00:37.200 --> 00:00:41.080]  而今天我們去到第七章的經文
[00:00:41.080 --> 00:00:43.080]  亦是第七講的內容裏面
[00:00:43.080 --> 00:00:46.760]  我們就試試換上另一個角度
[00:00:46.760 --> 00:00:49.400]  就是試試由一個阿摩斯
[00:00:49.400 --> 00:00:52.680]  這個侍奉者的角度
[00:00:52.680 --> 00:00:56.640]  一起去理解一下這一段經文
[00:00:56.640 --> 00:00:58.640]  特別是靈姐妹
[00:00:58.640 --> 00:01:00.640]  當我們回到自己的生命
[00:01:00.640 --> 00:01:02.640]  或者我們今天所面對的
[00:01:02.640 --> 00:01:04.640]  我們都有不同的角色
[00:01:04.640 --> 00:01:06.640]  我們有不同的崗位
[00:01:06.640 --> 00:01:09.640]  我們有不同的侍奉
[00:01:09.640 --> 00:01:12.640]  可能是在我們教會的侍奉
[00:01:12.640 --> 00:01:15.640]  在我們的家庭的侍奉
[00:01:15.640 --> 00:01:19.640]  或者在我們工作很多不同的場景裏面
[00:01:19.640 --> 00:01:21.640]  我們如果說跟隨神、侍奉神
[00:01:21.640 --> 00:01:27.640]  其實我們都一定總會經歷到很多在侍奉裏面的逆境
[00:01:27.640 --> 00:01:34.640]  所以都很盼望我們今天一起藉著去認識思想
[00:01:34.640 --> 00:01:37.640]  阿摩斯他侍奉的生命
[00:01:37.640 --> 00:01:43.640]  都盼望他的侍奉都成為我們的鼓勵和提醒
[00:01:43.640 --> 00:01:45.640]  在一開始的時候
[00:01:45.640 --> 00:01:48.640]  都先看一看在阿摩斯書下七章
[00:01:48.640 --> 00:01:50.640]  一直到八章三節
[00:01:50.640 --> 00:01:52.640]  是有一個這樣的結構
[00:01:52.640 --> 00:01:55.640]  原來在這個範圍裏面
[00:01:55.640 --> 00:02:02.640]  一共記載了四個上帝給阿摩斯看到的異象
[00:02:02.640 --> 00:02:05.640]  而在這四個異象裏面
[00:02:05.640 --> 00:02:11.640]  中間夾了一段阿摩斯和伯特利
[00:02:11.640 --> 00:02:15.640]  祭司亞馬遮的一段對話
[00:02:15.640 --> 00:02:23.640]  開始的時候都讓我為大家讀出頭三個異象的經文
[00:02:23.640 --> 00:02:29.640]  就是七章一節到第九節的經文
[00:02:29.640 --> 00:02:33.640]  在聖經裏面記載第一個異象
[00:02:33.640 --> 00:02:37.640]  主耶和華指示阿摩斯一件事
[00:02:37.640 --> 00:02:39.640]  在春天作物講
[00:02:39.640 --> 00:02:41.640]  肝、腸出事
[00:02:41.640 --> 00:02:43.640]  看!主造了蝗蟲
[00:02:43.640 --> 00:02:47.640]  看!這是皇修國後長出的春天作物
[00:02:47.640 --> 00:02:50.640]  蝗蟲吃進那地青草的時候
[00:02:50.640 --> 00:02:53.640]  我說:主耶和華,求你赦免
[00:02:53.640 --> 00:02:57.640]  因為阿國藥少,他怎能暫立得住呢?
