
[00:00:00.000 --> 00:00:02.680]  不知不覺來到年尾
[00:00:02.680 --> 00:00:04.200]  又到聖誕了
[00:00:04.200 --> 00:00:07.680]  再一次祝大家聖誕節快樂
[00:00:07.680 --> 00:00:09.560]  我也很想知道
[00:00:09.560 --> 00:00:11.320]  在這麼大的日子裡
[00:00:11.320 --> 00:00:14.840]  我們有沒有帶新朋友來
[00:00:14.840 --> 00:00:17.080]  有沒有帶了新朋友來的
[00:00:17.080 --> 00:00:19.080]  舉手給我看看
[00:00:19.080 --> 00:00:20.920]  我們想送上一些禮物
[00:00:20.920 --> 00:00:22.960]  那邊有一個新朋友
[00:00:22.960 --> 00:00:25.040]  歡迎你
[00:00:25.040 --> 00:00:28.680]  還有沒有新朋友來到我們當中
[00:00:28.680 --> 00:00:30.240]  這邊也有
[00:00:30.240 --> 00:00:32.640]  歡迎你
[00:00:32.640 --> 00:00:34.440]  我們歡迎
[00:00:34.440 --> 00:00:36.840]  在一個普天同慶的日子裡
[00:00:36.840 --> 00:00:38.560]  我們很感謝主
[00:00:38.560 --> 00:00:43.240]  因為上帝的救恩臨在我們每一個人當中
[00:00:43.240 --> 00:00:46.520]  今天分享聖誕的訊息
[00:00:46.520 --> 00:00:50.680]  不知道大家今年的聖誕有沒有特別雀躍
[00:00:50.680 --> 00:00:53.560]  因為恢復了實體
[00:00:53.560 --> 00:00:57.240]  又恢復了人與人之間開派對
[00:00:57.240 --> 00:00:59.720]  去吃大餐玩很多的東西
[00:00:59.720 --> 00:01:02.160]  甚至飛出香港
[00:01:02.160 --> 00:01:06.760]  有沒有準備迎接主
[00:01:06.760 --> 00:01:11.840]  我曾經收過一份很有意思的禮物
[00:01:11.840 --> 00:01:18.280]  有沒有收過類似倒數聖誕盲盒的聖誕禮物
[00:01:18.280 --> 00:01:20.800]  由1至24
[00:01:20.800 --> 00:01:25.440]  1號就開始打開一個盒來看看是什麼禮物
[00:01:25.440 --> 00:01:28.280]  2號就打開一個2字
[00:01:28.280 --> 00:01:30.480]  打開到24號
[00:01:30.480 --> 00:01:33.280]  25號就是最大最大的禮物
[00:01:33.280 --> 00:01:34.120]  是誰呢?
[00:01:34.120 --> 00:01:35.840]  耶穌基督
