
[00:00:00.000 --> 00:00:07.000]  打完風,大家有什麼損傷嗎?
[00:00:07.000 --> 00:00:11.000]  這次算好很多了,我只是隔離失去了一棵樹
[00:00:11.000 --> 00:00:13.000]  我家裡的東西還可以
[00:00:13.000 --> 00:00:16.000]  上次山竹,我丟了一張桌子,在天台那張
[00:00:16.000 --> 00:00:21.000]  這次我已經綁緊了桌子,把玻璃帶回屋內
[00:00:21.000 --> 00:00:23.000]  因為上次我也不知道有沒有傷到人
[00:00:23.000 --> 00:00:26.000]  這次沒有,沒有飛走了
[00:00:26.000 --> 00:00:35.000]  感謝主,大家平安,特別是為了台灣的傷亡,為他們祈禱
[00:00:35.000 --> 00:00:38.000]  我先介紹自己,我叫蘇平恩,大家叫我Benny
[00:00:38.000 --> 00:00:44.000]  今天來到第五講,這個「濟與不濟」之間系列
[00:00:44.000 --> 00:00:47.000]  第五講,題目是「人算,天算」
[00:00:47.000 --> 00:00:50.000]  人是怎樣算呢?天又怎樣算呢?
[00:00:50.000 --> 00:00:52.000]  大家有沒有看YouTube?
[00:00:52.000 --> 00:00:54.000]  知道YouTube是什麼吧?
[00:00:54.000 --> 00:00:57.000]  這個世界是存在的
[00:00:57.000 --> 00:01:05.000]  全世界十大YouTube頻道訂閱最多的,有沒有你的訂閱呢?
[00:01:05.000 --> 00:01:10.000]  通常都不太認識,有些是美國,有些是俄羅斯
[00:01:10.000 --> 00:01:14.000]  最近的排第十位,有沒有看過?
[00:01:14.000 --> 00:01:19.000]  南韓的Kimpo,頭幾個韓文我都不認識,只認識類似英文的
[00:01:19.000 --> 00:01:21.000]  南韓的Kimpo,有沒有看過?
[00:01:21.000 --> 00:01:27.000]  我自己專登入去看,排第十位的訂閱,如果沒有數錯零
[00:01:27.000 --> 00:01:33.000]  是要一億訂閱才能排第十位,每天都在轉動
[00:01:33.000 --> 00:01:35.000]  差不多要一億訂閱才能排到這裡
[00:01:35.000 --> 00:01:38.000]  Kimpo我自己入去看,有什麼東西看呢?
[00:01:38.000 --> 00:01:44.000]  入去很常看的就是情景喜劇,Skit,有人笑,做一些話劇動作
[00:01:44.000 --> 00:01:49.000]  教人煮食,料理教學,都很多人看
[00:01:49.000 --> 00:01:56.000]  有很多挑戰,像是一個sidekick,踢到汽水蓋,拋起瓶子,不掉到地上
[00:01:56.000 --> 00:01:58.000]  那些有很多挑戰
[00:01:58.000 --> 00:02:03.000]  有一樣很多人看的,就是大胃王吃播,知道是什麼嗎?
[00:02:03.000 --> 00:02:06.000]  大胃王吃播,香港不太流行,但在內地都流行
[00:02:06.000 --> 00:02:11.000]  就是一個鏡頭拍著一個人,一個網紅
[00:02:11.000 --> 00:02:17.000]  一大盤食物,可能是雜扒餐,一大堆麵
[00:02:17.000 --> 00:02:28.000]  總之在鏡頭不剪下,不斷地吃,吃到一盤東西都沒了
[00:02:28.000 --> 00:02:31.000]  很多人喜歡看,大家有看嗎?
[00:02:31.000 --> 00:02:34.000]  香港不太流行,大陸也很流行
[00:02:34.000 --> 00:02:38.000]  我專門,大陸沒有YouTube,大家知道吧?
[00:02:38.000 --> 00:02:42.000]  是TikTok,小紅書那些,很多人看
[00:02:42.000 --> 00:02:50.000]  我看回這兩三年,有兩個大胃王死了,吃死了
[00:02:50.000 --> 00:02:55.000]  不是當場的,有些是吃到身體有病,太肥了
[00:02:55.000 --> 00:02:58.000]  看著他從瘦變到很肥,就吃死了
[00:02:58.000 --> 00:03:02.000]  有很多不同的,現在說有些造假,裝作不斷吐出來
[00:03:02.000 --> 00:03:04.000]  很多東西,吃的都不肥,尤其是那些
[00:03:04.000 --> 00:03:09.000]  很多人看,有南韓這個頻道,這個平台
[00:03:09.000 --> 00:03:14.000]  有人研究一下,為什麼南韓人這麼喜歡看大胃王吃播
[00:03:14.000 --> 00:03:20.000]  原來很多人在韓國搬到城市上班
[00:03:20.000 --> 00:03:23.000]  很多單身人住,一個人住
[00:03:23.000 --> 00:03:28.000]  晚上吃飯就一個人,一個人很悶
[00:03:28.000 --> 00:03:32.000]  所以開YouTube頻道,看著大胃王陪他們吃飯
[00:03:32.000 --> 00:03:38.000]  很多人很寂寞,陪著吃飯,會吃得開心一點
[00:03:38.000 --> 00:03:41.000]  我有一個韓國朋友,我問他是不是這樣
[00:03:41.000 --> 00:03:44.000]  他說不單單是這樣,有這樣的
[00:03:44.000 --> 00:03:49.000]  他說韓國的男性或女性都很著重身形
[00:03:49.000 --> 00:03:51.000]  身材漂亮不漂亮
[00:03:51.000 --> 00:03:54.000]  他們很怕肥,看韓劇也是,沒什麼肥的
[00:03:54.000 --> 00:03:57.000]  雖然看什麼劇都沒什麼肥
[00:03:57.000 --> 00:03:59.000]  選最漂亮的出來演
[00:03:59.000 --> 00:04:03.000]  他說真的,他們的同事都很著重身形
[00:04:03.000 --> 00:04:05.000]  所以他們不想肥
[00:04:05.000 --> 00:04:08.000]  有去過韓國買衣服嗎?我自己試過
[00:04:08.000 --> 00:04:13.000]  買T恤,給我3XL,他說沒有
[00:04:13.000 --> 00:04:17.000]  大家知不知道?全部都是均等,均尺寸
[00:04:17.000 --> 00:04:20.000]  沒得選,只有一種尺寸
[00:04:20.000 --> 00:04:23.000]  不過我現在穿得到,買回來,以前穿不到
[00:04:23.000 --> 00:04:28.000]  他們說不想肥
[00:04:28.000 --> 00:04:31.000]  所以保持身形,自己不吃那麼多
[00:04:31.000 --> 00:04:35.000]  開著一些頻道,看了當吃了
[00:04:35.000 --> 00:04:37.000]  看別人吃得那麼開心,真是太好了
[00:04:37.000 --> 00:04:39.000]  你肥就好,不關我的事
[00:04:39.000 --> 00:04:42.000]  我在這裡吃,你會肥,我就不會肥
[00:04:42.000 --> 00:04:46.000]  他們很著重身形的後果
[00:04:46.000 --> 00:04:48.000]  所以沒吃,喜歡看別人吃
[00:04:48.000 --> 00:04:52.000]  回到題目,肥算不算是醉呢?
[00:04:52.000 --> 00:04:57.000]  大家想想,天生肥又算不算是醉呢?
[00:04:57.000 --> 00:05:01.000]  天生的,我喝水都肥,不關我的事
[00:05:01.000 --> 00:05:05.000]  肥到身體不健康又算不算是醉呢?
[00:05:05.000 --> 00:05:11.000]  大陸那些吃到死了,你自己肯吃就這樣
[00:05:11.000 --> 00:05:13.000]  貪吃又算不算是醉呢?
[00:05:13.000 --> 00:05:16.000]  貪吃,很喜歡吃東西
[00:05:16.000 --> 00:05:21.000]  這幅圖畫很棒,我很多年了
[00:05:21.000 --> 00:05:25.000]  貪吃算不算是醉呢?我自己也問自己這個問題
[00:05:25.000 --> 00:05:28.000]  我真的很喜歡吃東西的人
[00:05:28.000 --> 00:05:32.000]  大家有沒有留意到我這套衣服合穿呢?
[00:05:32.000 --> 00:05:38.000]  因為之前快要爆了,我已經要求再訂新的
[00:05:38.000 --> 00:05:41.000]  已經不合穿了,肥到不合穿
[00:05:41.000 --> 00:05:46.000]  但我這半年瘦了二十多磅
[00:05:46.000 --> 00:05:50.000]  瘦了二十多磅,現在完全合身
