
[00:00:00.000 --> 00:00:25.000]  大家好,各位現場的頂指每位朋友,亦都在網上的朋友大家好
[00:00:25.000 --> 00:00:29.000]  在今天和大家分享的時候,就是一個新的系列
[00:00:29.000 --> 00:00:32.000]  這個系列是來自Shirley傳道的設計
[00:00:32.000 --> 00:00:36.000]  是來自一本書,叫《真音法牧師》,一個扎根於順
[00:00:36.000 --> 00:00:41.000]  相信接下來也會有不同的清禪的牧者和工都會和大家分享
[00:00:41.000 --> 00:00:47.000]  今天這個系列在這個話題上,不單止和大家一起分享
[00:00:47.000 --> 00:00:49.000]  亦都是對著我自己去分享
[00:00:49.000 --> 00:00:54.000]  我們究竟如何去面對迷惘的處境呢?
[00:00:54.000 --> 00:00:59.000]  在我自己過去的時候,有兩個情況都會遇到的
[00:00:59.000 --> 00:01:00.000]  迷惘時的選擇
[00:01:00.000 --> 00:01:04.000]  我那時候在微信之前,我以為神是不會理會的
[00:01:04.000 --> 00:01:06.000]  而且我也不太在意有沒有神在,就算有神在
[00:01:06.000 --> 00:01:10.000]  我也不覺得他會理會我那些芝麻綠豆的小事
[00:01:10.000 --> 00:01:14.000]  所以無論是感情關係,學業,就業
[00:01:14.000 --> 00:01:18.000]  我也不會覺得他是過敏或干涉的
[00:01:18.000 --> 00:01:20.000]  因為我也不覺得他是存在的
[00:01:20.000 --> 00:01:23.000]  結果那時候,我本身是讀電腦的
[00:01:23.000 --> 00:01:26.000]  可能大家都不太知道我的背景
[00:01:26.000 --> 00:01:28.000]  我讀電腦的時候,為什麼讀電腦呢?
[00:01:28.000 --> 00:01:30.000]  因為我很喜歡打機,在中學的時候
[00:01:30.000 --> 00:01:34.000]  到了大專的時候,覺得電腦成績已經是最好的
[00:01:34.000 --> 00:01:37.000]  無論是水泡科,或是拿分的搶分的時候
[00:01:37.000 --> 00:01:43.000]  我就想著,將來我要設計一個令我自己很喜歡狂打的電腦遊戲
[00:01:43.000 --> 00:01:45.000]  誰知到了大專的時候
[00:01:45.000 --> 00:01:49.000]  我就看到遊戲設計師的程式,走到軟件那邊
[00:01:49.000 --> 00:01:52.000]  他對著那裡打八百多項的程式
[00:01:52.000 --> 00:01:57.000]  我就開始想,難道我到時不是看別人打機,不是自己打機
[00:01:57.000 --> 00:02:00.000]  只是設計一些寫這些程式,我不想
[00:02:00.000 --> 00:02:02.000]  只是在設計這些程式
