
[00:00:00.000 --> 00:00:03.000]  多謝敬拜隊給我們好的預備
[00:00:03.000 --> 00:00:06.000]  每一次能夠去讓神的話
[00:00:06.000 --> 00:00:08.000]  進入我們的心
[00:00:08.000 --> 00:00:10.000]  每一次敬拜很重要
[00:00:10.000 --> 00:00:13.000]  敬拜是打開我們屬靈的胃口
[00:00:13.000 --> 00:00:18.000]  以致我們可以開口去嘗上帝的恩賢
[00:00:18.000 --> 00:00:20.000]  今天我自己在想
[00:00:20.000 --> 00:00:25.000]  很久沒有來週六的都會崇拜
[00:00:25.000 --> 00:00:26.000]  打個招呼
[00:00:26.000 --> 00:00:29.000]  晚安
[00:00:29.000 --> 00:00:34.000]  前面還有一些位置
[00:00:34.000 --> 00:00:36.000]  意思就是大家繼續要怎樣
[00:00:36.000 --> 00:00:39.000]  引導更多的人回來教會認識上帝
[00:00:39.000 --> 00:00:41.000]  今天我選了一個題目
[00:00:41.000 --> 00:00:45.000]  叫做服侍新一代GEN-C
[00:00:45.000 --> 00:00:47.000]  想起的時候
[00:00:47.000 --> 00:00:49.000]  大家想起什麼
[00:00:49.000 --> 00:00:51.000]  家裡有沒有GEN-C
[00:00:51.000 --> 00:00:56.000]  青少年或者是初職青那班
[00:00:56.000 --> 00:00:58.000]  或者30歲以下的班
[00:00:58.000 --> 00:01:00.000]  一想起他們一班青少年
[00:01:00.000 --> 00:01:02.000]  不同的弟兄姊妹
[00:01:02.000 --> 00:01:03.000]  想起什麼
[00:01:03.000 --> 00:01:06.000]  手機
[00:01:06.000 --> 00:01:08.000]  上學手機
[00:01:08.000 --> 00:01:09.000]  吃飯手機
[00:01:09.000 --> 00:01:12.000]  跟媽媽聊天都是用手機
[00:01:12.000 --> 00:01:15.000]  好像沒有手機他們就天下冧
[00:01:15.000 --> 00:01:17.000]  所以我們現在一班弟兄姊妹
[00:01:17.000 --> 00:01:18.000]  去帶攝影機
[00:01:18.000 --> 00:01:21.000]  通常第一個選擇就是那地方沒有WIFI
[00:01:21.000 --> 00:01:23.000]  沒有WIFI就不要去攝影機
[00:01:23.000 --> 00:01:25.000]  一定沒有人去
[00:01:25.000 --> 00:01:27.000]  我們發覺我們新一代
[00:01:27.000 --> 00:01:29.000]  我們對他們的誤解
[00:01:29.000 --> 00:01:32.000]  是不是他們只有手機
[00:01:32.000 --> 00:01:34.000]  我不知道你怎樣跟他們相處
[00:01:34.000 --> 00:01:36.000]  他們很有趣
[00:01:36.000 --> 00:01:38.000]  他們回答你一句
[00:01:38.000 --> 00:01:43.000]  Yeah No Emoji 完
[00:01:43.000 --> 00:01:47.000]  有時候我自己忘記我女兒的Emoji
[00:01:47.000 --> 00:01:49.000]  到底是什麼意思
[00:01:49.000 --> 00:01:50.000]  在笑
[00:01:50.000 --> 00:01:53.000]  到底你是想跟我吃飯還是不想跟我吃飯
[00:01:53.000 --> 00:01:54.000]  我真的不太明白
[00:01:54.000 --> 00:01:57.000]  我當時問他到底Emoji是什麼意思
[00:01:57.000 --> 00:02:00.000]  但我們在Banner上做了一個研究
[00:02:00.000 --> 00:02:01.000]  我覺得很有意思
[00:02:01.000 --> 00:02:05.000]  你會怎樣跟一班基督徒
[00:02:05.000 --> 00:02:07.000]  和不是基督徒的人
[00:02:07.000 --> 00:02:10.000]  聯繫一班GentZ的世代
[00:02:10.000 --> 00:02:11.000]  他出了一個研究
[00:02:11.000 --> 00:02:16.000]  他說有39%的GentZ世代
[00:02:16.000 --> 00:02:19.000]  我很想周圍的人
[00:02:19.000 --> 00:02:21.000]  用耳朵和我相處
[00:02:21.000 --> 00:02:24.000]  不要一開始就批判
[00:02:24.000 --> 00:02:27.000]  你不行,這樣不行,這樣不好
[00:02:27.000 --> 00:02:29.000]  可不可以真誠的告訴我
[00:02:29.000 --> 00:02:31.000]  不要未審先判
