
[00:00:00.000 --> 00:00:04.000]  大影姊妹午安
[00:00:04.000 --> 00:00:08.640]  每個星期六我們都很好
[00:00:08.640 --> 00:00:11.000]  有敬拜隊和我們一起敬拜
[00:00:11.000 --> 00:00:14.600]  但如果今天問你
[00:00:14.600 --> 00:00:19.840]  特別是你有在敬拜隊服侍的大影姊妹
[00:00:19.840 --> 00:00:23.240]  其實敬拜是甚麼呢?甚麼是敬拜呢?
[00:00:23.240 --> 00:00:29.440]  甚至我再轉換一下問題
[00:00:29.440 --> 00:00:32.640]  就是在每個禮拜的敬拜
[00:00:32.640 --> 00:00:34.640]  或者不要每個禮拜的敬拜
[00:00:34.640 --> 00:00:39.640]  在敬拜裏面有甚麼是不可或缺的呢?
[00:00:39.640 --> 00:00:44.640]  敬拜裏面有甚麼是不可或缺的呢?
[00:00:44.640 --> 00:00:49.240]  有甚麼是以下所說的東西是否可以沒有了呢?
[00:00:49.240 --> 00:00:51.640]  在敬拜裏面是否可以沒有了詩歌呢?
[00:00:51.640 --> 00:00:56.040]  在敬拜裏面是否可以沒有了音樂呢?
[00:00:56.040 --> 00:00:59.040]  是否可以沒有了歌詞呢?
[00:00:59.040 --> 00:01:04.840]  是否可以沒有了大敬拜的主令呢?
[00:01:04.840 --> 00:01:06.840]  是否可以沒有了樂手呢?
[00:01:06.840 --> 00:01:08.840]  是否可以沒有了燈光呢?
[00:01:08.840 --> 00:01:10.840]  沒有了燈光好像經常都是這樣
[00:01:10.840 --> 00:01:12.840]  黑漆漆的敬拜
[00:01:12.840 --> 00:01:14.840]  是否可以沒有了回眾呢?
[00:01:14.840 --> 00:01:19.840]  是否可以沒有了傳道,沒有了牧者,沒有了童工呢?
[00:01:19.840 --> 00:01:25.840]  敬拜最核心的是甚麼呢?敬拜的目的是甚麼呢?
[00:01:25.840 --> 00:01:33.640]  我這次跟大家開始的一個新的講道系列就是《舊約節期看敬拜》
[00:01:33.640 --> 00:01:37.840]  其實我們會連續八個星期
[00:01:37.840 --> 00:01:41.640]  我們做的不複雜的,很簡單的
[00:01:41.640 --> 00:01:47.640]  我們就是透過去學舊約裏面所教導的節期
[00:01:47.640 --> 00:01:51.640]  然後去反思我們今天作為一個現代信徒的敬拜生活
[00:01:51.640 --> 00:01:55.640]  又或者用另一句說話去講
[00:01:55.640 --> 00:02:00.640]  我們會去透過去學舊約裏面所教導的重要節期
[00:02:00.640 --> 00:02:04.640]  然後去豐富我們今天作為現代信徒的敬拜生活
[00:02:04.640 --> 00:02:09.640]  我們今天就會有一個以色列文的第一個節期
[00:02:09.640 --> 00:02:12.640]  剛才Hazel都跟大家
[00:02:12.640 --> 00:02:14.640]  其實已經滲漏出來
[00:02:14.640 --> 00:02:16.640]  可以說是以色列人裏面最重要的一個節期
[00:02:16.640 --> 00:02:19.640]  就是由如月節我們開始這個系列
[00:02:19.640 --> 00:02:23.640]  如月節是源自甚麼?第一次如月節是甚麼時候?
[00:02:23.640 --> 00:02:29.640]  以色列人準備出埃及的時候,大家不會陌生
[00:02:29.640 --> 00:02:32.640]  就是耶和華吩咐那班以色列人要守
[00:02:32.640 --> 00:02:36.640]  他們有史以來第一次的如月節
[00:02:36.640 --> 00:02:37.640]  那時候發生了甚麼事呢?
[00:02:37.640 --> 00:02:43.640]  就是以色列人已經在埃及寄居了430年
[00:02:43.640 --> 00:02:48.640]  在那段時間不斷受到埃及人發腦的奴役
[00:02:48.640 --> 00:02:51.640]  所以耶和華就興起了誰呢?
[00:02:51.640 --> 00:02:54.640]  興起了摩西還有?
[00:02:54.640 --> 00:02:55.640]  阿倫,謝謝你們
[00:02:55.640 --> 00:02:58.640]  興起了摩西阿倫就去找法老
[00:02:58.640 --> 00:03:02.640]  然後就提出我們要帶這班以色列人出埃及
[00:03:02.640 --> 00:03:04.640]  但那個故事我們又很熟悉
[00:03:04.640 --> 00:03:06.640]  法老肯不肯放過這班以色列人呢?
[00:03:06.640 --> 00:03:08.640]  不肯
[00:03:08.640 --> 00:03:12.640]  那都發生了我們很熟悉的十災的頭九個
[00:03:12.640 --> 00:03:16.640]  但經文就說經歷了九災之後
[00:03:16.640 --> 00:03:20.640]  法老仍然堅持不肯放他們離開埃及
[00:03:20.640 --> 00:03:25.640]  於是耶和華就這樣去吩咐那班以色列人
[00:03:25.640 --> 00:03:27.640]  我讀給大家聽
[00:03:27.640 --> 00:03:31.640]  耶和華在埃及地對摩西和阿倫說
[00:03:31.640 --> 00:03:36.640]  你們要以本月為正月為一年之首
