
[00:00:00.000 --> 00:00:02.960]  好,我們先給敬拜隊掌聲
[00:00:02.960 --> 00:00:03.960]  我們感謝他們
[00:00:03.960 --> 00:00:06.520]  但我們可以在這個時間
[00:00:06.520 --> 00:00:11.240]  專心和單純地仰望我們的主
[00:00:11.240 --> 00:00:16.400]  對了,其實我在敬拜時有點感動
[00:00:16.400 --> 00:00:20.640]  我也想在發訊息前回應一下
[00:00:20.640 --> 00:00:23.560]  其實我覺得第二首歌很感動
[00:00:23.560 --> 00:00:24.840]  感動的地方
[00:00:24.840 --> 00:00:28.480]  可能跟John帶來的歌曲原意不太一樣
[00:00:28.560 --> 00:00:32.880]  因為最觸動我的歌詞是
[00:00:32.880 --> 00:00:34.960]  「You can have all this world」
[00:00:34.960 --> 00:00:37.040]  這句話對我有甚麼影響
[00:00:37.040 --> 00:00:39.320]  或許我為何這麼感動
[00:00:39.320 --> 00:00:41.680]  因為我覺得「You can have all this world」
[00:00:41.680 --> 00:00:48.480]  不只是指耶穌佩德擁有我們所有的東西
[00:00:48.480 --> 00:00:51.400]  而是當耶穌在十字架上
[00:00:51.400 --> 00:00:54.800]  為我們將所有東西拋下
[00:00:54.880 --> 00:00:58.640]  順服在天父的旨意下,以至於死
[00:00:58.640 --> 00:01:02.520]  在那一刻,天父給予他一個權力
[00:01:02.520 --> 00:01:06.200]  這個權力就是他可以審判這個世界
[00:01:06.200 --> 00:01:09.200]  耶穌基督在這個不義的世界中
[00:01:09.200 --> 00:01:12.160]  用自己的死亡來見證
[00:01:12.160 --> 00:01:18.600]  就像在神的面前控訴這個世界有多不義
[00:01:18.600 --> 00:01:22.120]  然後從這個控訴下釋放我們
[00:01:22.200 --> 00:01:24.760]  好,我們今天…
[00:01:24.760 --> 00:01:25.720]  感動說完了
[00:01:25.720 --> 00:01:31.320]  我覺得這個審判跟今天有關係
[00:01:31.320 --> 00:01:38.440]  今天是大逆不道的第二講
[00:01:38.440 --> 00:01:40.360]  上星期有Kim叔在大家當中
[00:01:40.360 --> 00:01:42.960]  分享了他的訊息
[00:01:42.960 --> 00:01:46.840]  今天我的題目是「犯罪關我甚麼事」
[00:01:46.920 --> 00:01:53.400]  雖然他給我的經文是創世記三章22至24字
[00:01:53.400 --> 00:01:56.640]  但我多加了,我想由14講到24
[00:01:56.640 --> 00:01:57.680]  為甚麼呢?
[00:01:57.680 --> 00:02:01.720]  如果大家記得上次我來這裡
[00:02:01.720 --> 00:02:07.040]  上一個系列是…
[00:02:07.040 --> 00:02:12.080]  叫做…
[00:02:12.080 --> 00:02:13.560]  好像是「我要珍惜」
[00:02:13.560 --> 00:02:15.640]  是情緒系列
[00:02:15.720 --> 00:02:19.080]  在講這個訊息之前
[00:02:19.080 --> 00:02:22.160]  我先跟大家講一個故事
[00:02:22.160 --> 00:02:23.520]  做過開場白
[00:02:23.520 --> 00:02:25.880]  今天的題目是「犯罪關我甚麼事」
[00:02:25.880 --> 00:02:28.120]  大家都聯想到犯罪
[00:02:28.120 --> 00:02:30.240]  犯了罪,你不被人發現
[00:02:30.240 --> 00:02:31.760]  那些叫做「偷雞成功」
[00:02:31.760 --> 00:02:36.360]  被拘捕的話,你就要被拘捕去審
[00:02:36.360 --> 00:02:38.280]  這個故事可能有人聽過
[00:02:38.280 --> 00:02:39.760]  我相信應該有人聽過
[00:02:39.760 --> 00:02:41.720]  不過我還是想來做開場白
