
[00:00:00.000 --> 00:00:05.680]  祝福我能夠有一個很有活力的敬拜隊
[00:00:05.680 --> 00:00:07.680]  帶領我們敬拜
[00:00:07.680 --> 00:00:11.400]  除了年輕之外
[00:00:11.400 --> 00:00:14.400]  應該是他們敬拜的心很火熱
[00:00:14.400 --> 00:00:17.400]  在首首歌也很配合我今天的講道
[00:00:17.400 --> 00:00:19.400]  真的非常好
[00:00:19.400 --> 00:00:22.400]  好,第一次和你隔離之後
[00:00:22.400 --> 00:00:24.400]  你給他一個好
[00:00:24.400 --> 00:00:27.400]  因為又黃雨又冰雹
[00:00:27.400 --> 00:00:29.400]  你回來很不容易
[00:00:29.400 --> 00:00:31.400]  所以不是必然的
[00:00:31.400 --> 00:00:33.400]  好
[00:00:33.400 --> 00:00:35.400]  見到人好像沒有怎麼濕
[00:00:35.400 --> 00:00:40.400]  也祝福正在看直播的頂姊妹民安
[00:00:40.400 --> 00:00:43.400]  希望你記得預備餅和杯
[00:00:43.400 --> 00:00:45.400]  一會兒
[00:00:45.400 --> 00:00:47.400]  頂姊妹平安
[00:00:47.400 --> 00:00:54.400]  是不是要展示我的名字
[00:00:54.400 --> 00:00:57.400]  我叫Anthony,是市音樂區的
[00:00:57.400 --> 00:01:00.400]  我有時候會介紹自己叫做學鋒
[00:01:00.400 --> 00:01:02.400]  通常是去老人院探訪
[00:01:02.400 --> 00:01:05.400]  和老人家介紹自己
[00:01:05.400 --> 00:01:07.400]  他們通常不喜歡叫英文名字
[00:01:07.400 --> 00:01:09.400]  親切一點就叫學鋒
[00:01:09.400 --> 00:01:13.400]  我發現有十個八個同事
[00:01:13.400 --> 00:01:16.400]  或者弟兄姊妹會叫我第二個名字
[00:01:16.400 --> 00:01:18.400]  那個名字是用我的英文名字
[00:01:18.400 --> 00:01:21.400]  改了我的音和字
[00:01:21.400 --> 00:01:24.400]  我分析一下
[00:01:24.400 --> 00:01:26.400]  這幾個人為什麼會這樣叫我
[00:01:26.400 --> 00:01:31.400]  我覺得他們應該是想跟我熟
[00:01:31.400 --> 00:01:33.400]  所以就這樣叫這個名字
[00:01:33.400 --> 00:01:36.400]  其實這樣分析完之後
[00:01:36.400 --> 00:01:38.400]  都挺甜蜜的
[00:01:38.400 --> 00:01:39.400]  這幾個人這樣叫我
[00:01:39.400 --> 00:01:41.400]  所以你可以繼續叫我Wincy
[00:01:41.400 --> 00:01:42.400]  知道嗎
[00:01:42.400 --> 00:01:44.400]  繼續說
[00:01:44.400 --> 00:01:46.400]  想知道什麼名字就問他
[00:01:46.400 --> 00:01:48.400]  哈哈
[00:01:48.400 --> 00:01:50.400]  是,沒錯,Anthony
[00:01:50.400 --> 00:01:53.400]  好,說這麼多名字的開場白
[00:01:53.400 --> 00:01:56.400]  最後因為今天的講題和名字有關
[00:01:56.400 --> 00:01:58.400]  世代的延續2
[00:01:58.400 --> 00:02:00.400]  認識神的名字直到萬代
[00:02:00.400 --> 00:02:02.400]  神的名字到萬代
[00:02:02.400 --> 00:02:04.400]  這是摩西
[00:02:04.400 --> 00:02:08.400]  這個世代的系列就是小女玄堂的系列
[00:02:08.400 --> 00:02:10.400]  從上帝的視覺看世代
[00:02:10.400 --> 00:02:15.400]  上一講有胡宗講約瑟
[00:02:15.400 --> 00:02:18.400]  再上一講有榮講葛麗
[00:02:18.400 --> 00:02:21.400]  第一講是Raymond講彩虹
[00:02:21.400 --> 00:02:23.400]  然後再講摩西
[00:02:23.400 --> 00:02:27.400]  經文就是《出埃及記》3章13至15節
[00:02:27.400 --> 00:02:28.400]  請多讀出
[00:02:28.400 --> 00:02:30.400]  摩西對神說
[00:02:30.400 --> 00:02:33.400]  看,我到以色列那裡
[00:02:33.400 --> 00:02:35.400]  對他們說
[00:02:35.400 --> 00:02:36.400]  你們祖宗的神
[00:02:36.400 --> 00:02:39.400]  差派我到你們這裡來
[00:02:39.400 --> 00:02:40.400]  他們若對我說
[00:02:40.400 --> 00:02:42.400]  他叫什麼名字
[00:02:42.400 --> 00:02:45.400]  我要對他們說什麼呢
[00:02:45.400 --> 00:02:47.400]  神對摩西說
