
[00:00:00.000 --> 00:00:05.080]  好,很高興來到青少年港島
[00:00:05.080 --> 00:00:08.200]  在港島之後,覺得自己也變成青少年了
[00:00:08.200 --> 00:00:09.200]  啊
[00:00:09.200 --> 00:00:14.160]  先保持著
[00:00:14.160 --> 00:00:20.840]  我先告訴你們一個搞笑的經歷
[00:00:20.840 --> 00:00:22.840]  不知道你們笑不笑得出來
[00:00:22.840 --> 00:00:26.200]  我經常在西貢
[00:00:26.200 --> 00:00:29.600]  去到西貢行山
[00:00:29.600 --> 00:00:32.200]  就看到有些小艇在賣魚
[00:00:32.200 --> 00:00:34.200]  不知道大家有沒有見過
[00:00:34.200 --> 00:00:36.200]  有一次我們買魚
[00:00:36.200 --> 00:00:43.200]  有個船夫買了一隻很大的八爪魚
[00:00:43.200 --> 00:00:46.200]  這樣開價200元
[00:00:46.200 --> 00:00:49.200]  岸上的大姐說
[00:00:49.200 --> 00:00:52.200]  「8.5元可以嗎?」
[00:00:52.200 --> 00:00:57.200]  那個船夫說「8.5元可以」
[00:00:57.200 --> 00:01:00.200]  人家說可以了,當然要給錢
[00:01:00.200 --> 00:01:03.200]  他說「可不可以再便宜一點?」
[00:01:03.200 --> 00:01:05.200]  我心想,這樣也可以?
[00:01:05.200 --> 00:01:08.200]  現在的大姐這麼厲害
[00:01:08.200 --> 00:01:14.200]  後來他問船夫「多少錢?」
[00:01:14.200 --> 00:01:15.200]  「8.2元」
[00:01:15.200 --> 00:01:17.200]  「還是這麼貴?」
[00:01:17.200 --> 00:01:19.200]  後來船夫說「100元」
[00:01:19.200 --> 00:01:21.200]  「可不可以再便宜一點?」
[00:01:21.200 --> 00:01:23.200]  船夫怎麼回答他?
[00:01:23.200 --> 00:01:28.200]  「買個玩具也不止100元」
[00:01:28.200 --> 00:01:32.200]  「那隻八爪魚現在還活著」
[00:01:32.200 --> 00:01:35.200]  「買100元你還不買?」
[00:01:35.200 --> 00:01:38.200]  很多人看著大姐
[00:01:38.200 --> 00:01:40.200]  我經常覺得
[00:01:40.200 --> 00:01:44.200]  免人家給的,假是自己丟的
[00:01:44.200 --> 00:01:47.200]  很多人指著她
[00:01:47.200 --> 00:01:49.200]  「有沒有搞錯?100元也不買?」
[00:01:49.200 --> 00:01:51.200]  然後有很多人買了
[00:01:51.200 --> 00:01:53.200]  不是她買,是被人買了
[00:01:53.200 --> 00:01:55.200]  100元就馬上買了
[00:01:55.200 --> 00:01:57.200]  這是笑話
[00:01:57.200 --> 00:02:00.200]  有時候羞恥的事
[00:02:00.200 --> 00:02:02.200]  我經常聽人說
[00:02:02.200 --> 00:02:05.200]  你不怕羞恥就無敵了
[00:02:05.200 --> 00:02:07.200]  當然不是
[00:02:07.200 --> 00:02:08.200]  我們看看
[00:02:08.200 --> 00:02:11.200]  今天我們語音典童人系列
[00:02:11.200 --> 00:02:13.200]  今天我講主音
[00:02:13.200 --> 00:02:16.200]  靠主音作準備
[00:02:16.200 --> 00:02:18.200]  讓我讀出這段經文
[00:02:18.200 --> 00:02:21.200]  《彼得前書》三章十五至十六節
[00:02:21.200 --> 00:02:28.200]  「只要心裡奉主耶穌基督為聖,遵祂為主」
[00:02:28.200 --> 00:02:31.200]  「有人問你們心中盼望的理由」
[00:02:31.200 --> 00:02:34.200]  「要隨時準備答覆」
[00:02:34.200 --> 00:02:39.200]  「不過要以溫柔敬畏的心回答」
[00:02:39.200 --> 00:02:42.200]  「要存無愧的良心」
[00:02:42.200 --> 00:02:46.200]  「使你們在何時上被毀謗」
[00:02:46.200 --> 00:02:49.200]  「就在何時上使那些凌辱」
[00:02:49.200 --> 00:02:52.200]  「你們在基督裡有好品」
[00:02:52.200 --> 00:02:55.200]  「恨的人自覺羞愧」
[00:02:55.200 --> 00:02:57.200]  我們看回第十五節
[00:02:57.200 --> 00:03:01.200]  「有人問你們心中盼望的理由」
[00:03:01.200 --> 00:03:04.200]  原文是關於盼望的緣由
[00:03:04.200 --> 00:03:07.200]  不知道大家盼望的緣由來自什麼呢
[00:03:07.200 --> 00:03:11.200]  金錢?
[00:03:11.200 --> 00:03:14.200]  還是說要有高學歷才有盼望?
[00:03:14.200 --> 00:03:16.200]  還是說要有什麼才有盼望?
[00:03:16.200 --> 00:03:19.200]  有一個好的靠山
[00:03:19.200 --> 00:03:21.200]  找到好的靠山就有盼望
[00:03:21.200 --> 00:03:24.200]  找到一個有錢老公就有盼望
[00:03:24.200 --> 00:03:25.200]  現在不是
[00:03:25.200 --> 00:03:28.200]  找到一個有錢的姐姐也有盼望
[00:03:28.200 --> 00:03:30.200]  是不是?
[00:03:30.200 --> 00:03:31.200]  那不是的
[00:03:31.200 --> 00:03:36.200]  彼得前書一章十八節至二十一節這樣說的
[00:03:36.200 --> 00:03:38.200]  在彼得前書也有說的
[00:03:38.200 --> 00:03:39.200]  你們知道了
[00:03:39.200 --> 00:03:44.200]  你們從你們祖先傳下來的虛妄行為
[00:03:44.200 --> 00:03:47.200]  他們做的行為
[00:03:47.200 --> 00:03:48.200]  中救術出來
[00:03:48.200 --> 00:03:50.200]  他們做的行為都不好
[00:03:50.200 --> 00:03:52.200]  都能夠救術出來
[00:03:52.200 --> 00:03:54.200]  就不是靠什麼呢
[00:03:54.200 --> 00:03:57.200]  靠破壞的金銀等財物
[00:03:57.200 --> 00:03:59.200]  而是憑著什麼呢
[00:03:59.200 --> 00:04:01.200]  憑著基督的寶血
[00:04:01.200 --> 00:04:03.200]  他沒有瑕疵的
[00:04:03.200 --> 00:04:05.200]  沒有煎烏的
[00:04:05.200 --> 00:04:12.200]  基督創造以先就已經預定了這個計劃
[00:04:12.200 --> 00:04:15.200]  他就在末世上顯現出來
[00:04:15.200 --> 00:04:17.200]  現在是末世了
[00:04:17.200 --> 00:04:18.200]  耶穌顯現了出來
[00:04:18.200 --> 00:04:21.200]  你們也恩著他
[00:04:21.200 --> 00:04:24.200]  而那使他從死人中復活
[00:04:24.200 --> 00:04:26.200]  又給他榮耀的上帝
[00:04:26.200 --> 00:04:32.200]  好讓你們的信心和盼望都在於上帝
