
[00:00:00.000 --> 00:00:05.000]  (麥美娟) 主奈平安
[00:00:05.000 --> 00:00:13.000]  今天我們繼續講小力園堂的講道系列
[00:00:13.000 --> 00:00:15.000]  《世代的延續》
[00:00:15.000 --> 00:00:16.000]  來到第九節
[00:00:16.000 --> 00:00:20.000]  今天是《世代的延續》系列的最後一講
[00:00:20.000 --> 00:00:25.000]  就是《建立永恆的價值觀》
[00:00:25.000 --> 00:00:30.000]  在《針研》的二十二章
[00:00:30.000 --> 00:00:34.000]  我們一起讀聖經吧
[00:00:34.000 --> 00:00:38.000]  一起讀會精神很多
[00:00:38.000 --> 00:00:39.000]  1 2 3
[00:00:39.000 --> 00:00:44.000]  美名勝過大財 宏恩強如金銀
[00:00:44.000 --> 00:00:50.000]  有錢人與窮乏人相遇 他們都為耶和華所做
[00:00:50.000 --> 00:00:57.000]  通達人見禍就躲 如無人卻前往受害
[00:00:57.000 --> 00:01:05.000]  敬畏耶和華心存謙卑 就得財富尊榮生命為賞賜
[00:01:05.000 --> 00:01:14.000]  歪曲的人道上荊棘和羅莽 保護自己生命的必要遠離
[00:01:14.000 --> 00:01:21.000]  教養孩童走當行的道 就是道路他也不偏離
[00:01:21.000 --> 00:01:28.000]  有錢人管轄貧乏人 欠債的是債主的僕人
[00:01:28.000 --> 00:01:37.000]  殺不義種子的必收割災禍 他逞奴的帳也必廢掉
[00:01:37.000 --> 00:01:44.000]  眼目仁慈的必蒙福 因他將食物分級困服
[00:01:44.000 --> 00:01:51.000]  趕走傲慢人爭端就消除 紛爭和羞辱也必止息
[00:01:51.000 --> 00:01:58.000]  喜愛清心 嘴唇有恩賢的 王必與他為友
[00:01:58.000 --> 00:02:05.000]  耶和華的眼目保護自息 卻毀壞奸詐人的言語
[00:02:05.000 --> 00:02:12.000]  懶惰人說 外面有獅子 我在街上必被殺害
[00:02:12.000 --> 00:02:20.000]  陌生女子的口是心坑 耶和華所珍惡的必陷在其中
[00:02:20.000 --> 00:02:28.000]  願每位住在孩童的心 用管教的帳可以遠遠趕除
[00:02:28.000 --> 00:02:34.000]  欺壓貧寒人的 為要利己的 並送禮給有錢人的
[00:02:34.000 --> 00:02:41.000]  都必缺乏 你要質疑聽自慰人的言語
[00:02:41.000 --> 00:02:46.000]  留心領會我的自息 你若心中傳記
[00:02:46.000 --> 00:02:50.000]  嘴唇也準備就緒 這是美的
[00:02:50.000 --> 00:02:56.000]  我今日特地指教你 為要使你依靠耶和華
[00:02:56.000 --> 00:03:02.000]  謀略和自息的美事 我豈沒有捨給你嗎
[00:03:02.000 --> 00:03:10.000]  要使你明白真情實理 好將實情回覆那猜你來的人
[00:03:10.000 --> 00:03:19.000]  不可因人貧寒就搶奪他 也不可在城門口欺壓困苦人
[00:03:19.000 --> 00:03:27.000]  因耶和華必為他活 也必奪取那搶奪者的命
[00:03:27.000 --> 00:03:34.000]  不可結交好生氣的人 也不可與暴怒的人來往
[00:03:34.000 --> 00:03:40.000]  恐怕你效法他的行為 自己就陷在圈奴
[00:03:40.000 --> 00:03:47.000]  不要為人擊掌擔保 也不要為債務作保
[00:03:47.000 --> 00:03:54.000]  你若沒有什麼可償還 何必使人奪去你睡我的床呢
[00:03:54.000 --> 00:03:58.000]  祖先所立的地界 你不可來而
[00:03:58.000 --> 00:04:05.000]  你看見辦事殷勤的人嗎 他必是立在君王面前
[00:04:05.000 --> 00:04:09.000]  不在平庸的人面前
[00:04:09.000 --> 00:04:25.000]  29節的經文在《針研》中是一個敬畏神的人如何處世的智慧書卷
[00:04:25.000 --> 00:04:36.000]  《針研》中提及家庭如何對待兒童、青年、丈夫、妻子
