
[00:00:00.000 --> 00:00:08.200]  今天我們繼續在《阿摩斯書》第五章
[00:00:08.200 --> 00:00:11.600]  我們去到第五章 已經說了五次
[00:00:11.600 --> 00:00:13.800]  在《阿摩斯書》裏面
[00:00:13.800 --> 00:00:16.600]  今天我們有一個命題
[00:00:16.600 --> 00:00:19.200]  叫做禮儀不能拯救你
[00:00:19.200 --> 00:00:22.200]  不知道你看到這個題目的時候
[00:00:22.200 --> 00:00:23.800]  會不會令你打一個突
[00:00:23.800 --> 00:00:27.000]  就是禮儀不能拯救你的話
[00:00:27.000 --> 00:00:29.800]  教會確實有很多不同的禮儀
[00:00:29.800 --> 00:00:34.000]  其實他要說的不是一番諷刺的話
[00:00:34.000 --> 00:00:37.000]  而是要幫助我們再一次去看
[00:00:37.000 --> 00:00:41.000]  究竟禮儀是讓我們可以怎樣跟從神的
[00:00:41.000 --> 00:00:43.800]  在過去我知道在香港
[00:00:43.800 --> 00:00:47.200]  近上半年都有一套
[00:00:47.200 --> 00:00:51.400]  來自香港的很賣得的電影
[00:00:51.400 --> 00:00:54.400]  電影裏面無論是香港的
[00:00:54.400 --> 00:00:57.800]  還是好幾年前台灣都有另一套的電影
[00:00:57.800 --> 00:01:00.400]  都是說無論生人死人
[00:01:00.400 --> 00:01:03.200]  透過一個喪事的禮儀
[00:01:03.200 --> 00:01:05.600]  其實是要讓人釋放
[00:01:05.600 --> 00:01:07.800]  我們知道在這些電影裏面
[00:01:07.800 --> 00:01:09.800]  其實是說很狹窄
[00:01:09.800 --> 00:01:12.400]  在某一個宗教裏面
[00:01:12.400 --> 00:01:14.400]  我們如果要打開聖經
[00:01:14.400 --> 00:01:16.400]  我們就更加明確知道
[00:01:16.400 --> 00:01:18.600]  真正能夠令人釋放的
[00:01:18.600 --> 00:01:21.200]  不只是靠一個禮儀
[00:01:21.200 --> 00:01:23.200]  其實要再問一次就是
[00:01:23.200 --> 00:01:25.200]  禮儀用來做什麼
[00:01:25.200 --> 00:01:28.200]  用對的禮儀在禮儀的同時
[00:01:28.200 --> 00:01:31.200]  背後有沒有一個連結
[00:01:31.200 --> 00:01:33.200]  就是連結到神
[00:01:33.200 --> 00:01:36.200]  如果禮儀能夠讓我們連結到神
[00:01:36.200 --> 00:01:38.600]  讓我們賦予到新的動力
[00:01:38.600 --> 00:01:40.200]  新的經驗
[00:01:40.200 --> 00:01:42.200]  然後讓我們更加勇敢
[00:01:42.200 --> 00:01:44.200]  好像剛才唱歌一樣
[00:01:44.200 --> 00:01:47.200]  承認有時我們都是歡呼夾道
[00:01:47.200 --> 00:01:50.200]  我們去歡呼人子那一位
[00:01:50.200 --> 00:01:52.800]  卻是同時我們在生活裏面
[00:01:52.800 --> 00:01:55.800]  又是會將耶穌看為輕
[00:01:55.800 --> 00:01:57.800]  或者我們都忘記了
[00:01:57.800 --> 00:01:59.800]  耶穌其實是做了很多
[00:01:59.800 --> 00:02:01.800]  對我們生命裏面的拯救
[00:02:01.800 --> 00:02:04.800]  今天每一次我們來到神面前
[00:02:04.800 --> 00:02:07.800]  這些禮儀要幫助我們更新
[00:02:07.800 --> 00:02:12.200]  讓我們能夠在我們很有限的人裏面
[00:02:12.200 --> 00:02:14.200]  我們能夠跳出來
[00:02:14.200 --> 00:02:16.200]  這個是靠上帝
[00:02:16.200 --> 00:02:18.200]  所以今天我們在說
[00:02:18.200 --> 00:02:21.200]  為什麼在第五章裏面
[00:02:21.200 --> 00:02:24.200]  要有一位阿摩斯的先知
[00:02:24.200 --> 00:02:27.200]  他在唱一首愛歌
[00:02:27.200 --> 00:02:31.200]  是不是中間的人出現了很大的問題呢
[00:02:31.200 --> 00:02:33.200]  先知他要說在神眼中
[00:02:33.200 --> 00:02:37.200]  要再一次去調整群體裏面
