
[00:00:00.000 --> 00:00:02.000]  主奶平安
[00:00:02.000 --> 00:00:09.000]  今天是感恩節的一個訊息
[00:00:09.000 --> 00:00:12.000]  這個禮拜是感恩節
[00:00:12.000 --> 00:00:16.000]  不知道大家感恩節有什麼慶祝
[00:00:16.000 --> 00:00:27.000]  可能有很多活動會買禮物送給人
[00:00:27.000 --> 00:00:33.000]  但是在我預備感恩節的訊息的時候
[00:00:33.000 --> 00:00:34.000]  我就會想
[00:00:34.000 --> 00:00:39.000]  在我們基督教群體裡面
[00:00:39.000 --> 00:00:41.000]  我想問一下大家
[00:00:41.000 --> 00:00:45.000]  基督徒最常說什麼
[00:00:45.000 --> 00:00:49.000]  大聲一點
[00:00:49.000 --> 00:00:53.000]  是啊 感謝主
[00:00:53.000 --> 00:00:55.000]  經常都聽到
[00:00:55.000 --> 00:00:57.000]  有時候好像說到
[00:00:57.000 --> 00:00:59.000]  有些感覺是
[00:00:59.000 --> 00:01:02.000]  究竟我說感謝主的裡面
[00:01:02.000 --> 00:01:07.000]  為什麼我要去感謝主呢
[00:01:07.000 --> 00:01:12.000]  我會覺得在裡面
[00:01:12.000 --> 00:01:15.000]  原來每一個基督徒
[00:01:15.000 --> 00:01:18.000]  當我們發生了一些事情
[00:01:18.000 --> 00:01:21.000]  或者我們看到神在裡面
[00:01:21.000 --> 00:01:23.000]  祝福我們的時候
[00:01:23.000 --> 00:01:28.000]  我們都會不自覺地說了一句感謝主
[00:01:28.000 --> 00:01:30.000]  我們也要感謝神
[00:01:30.000 --> 00:01:32.000]  在我們的生命裡面
[00:01:32.000 --> 00:01:35.000]  讓我們發現祂原來與我們同在
[00:01:35.000 --> 00:01:38.000]  這是很真實的
[00:01:38.000 --> 00:01:43.000]  今天我在預備這個訊息的時候
[00:01:43.000 --> 00:01:44.000]  我就會想
[00:01:44.000 --> 00:01:49.000]  我們究竟怎樣可以活出凡事者因的生命呢
[00:01:49.000 --> 00:01:52.000]  凡事的意思是
[00:01:52.000 --> 00:01:54.000]  不是我們覺得
[00:01:54.000 --> 00:01:57.000]  我有些祈求的時候
[00:01:57.000 --> 00:01:58.000]  神給了我們
[00:01:58.000 --> 00:02:00.000]  我們就感謝主
[00:02:00.000 --> 00:02:08.000]  如果當我們有困難或者病患
[00:02:08.000 --> 00:02:10.000]  我們是不是也會感謝主呢
