
[00:00:00.000 --> 00:00:16.000]  鼓掌
[00:00:16.000 --> 00:00:19.800]  各位靈姐妹很感恩我們能夠透過網絡
[00:00:19.800 --> 00:00:23.400]  可以一起敬拜主
[00:00:23.400 --> 00:00:26.200]  願上帝接月立我們的歌聲
[00:00:26.200 --> 00:00:30.200]  也透過在歌聲裏面我們能夠迎信上帝
[00:00:30.200 --> 00:00:31.800]  我們領受神的話語前
[00:00:31.800 --> 00:00:34.000]  不如我們有半分鐘禱告
[00:00:34.000 --> 00:00:37.400]  請在螢光幕的靈姐妹
[00:00:37.400 --> 00:00:40.400]  你可以在安靜
[00:00:42.800 --> 00:00:48.800]  我邀請你可以在你的位置裏面禱告主
[00:00:48.800 --> 00:00:54.600]  半分鐘後我會大力禱告
[00:00:54.600 --> 00:01:20.600]  我們一起同心禱告
[00:01:20.600 --> 00:01:27.600]  我會祝你是我們唯一的倚靠
[00:01:27.600 --> 00:01:32.600]  我們現在面對的一切
[00:01:32.600 --> 00:01:35.600]  其實我們的心都很亂
[00:01:35.600 --> 00:01:38.600]  亂到一個位置我們都不知道可以怎樣
[00:01:38.600 --> 00:01:43.600]  因為有很多事我們不能夠把握
[00:01:43.600 --> 00:01:47.600]  尤其是當我們知道我們這個情況
[00:01:47.600 --> 00:01:52.600]  不只是只有我們在香港有很多人
[00:01:52.600 --> 00:01:56.600]  和我們有同一個感受
[00:01:56.600 --> 00:02:01.600]  甚至有些因為這樣而有抑鬱的徵狀
[00:02:01.600 --> 00:02:07.600]  主在一個隔離的政策裏面
[00:02:07.600 --> 00:02:11.600]  我們不知道怎樣將你的愛帶給他們
[00:02:11.600 --> 00:02:18.600]  但願意主你的靈在我們當中
[00:02:18.600 --> 00:02:24.600]  求主差遣我們繼續成為別人的支持
[00:02:24.600 --> 00:02:27.600]  願意主你幫助我們
[00:02:27.600 --> 00:02:31.600]  透露你的話帶給我們有盼望
[00:02:31.600 --> 00:02:34.600]  祈禱奉耶穌 祈禱明 阿們
[00:02:34.600 --> 00:02:40.600]  今天我繼續和大家分享我的系列的講道
[00:02:40.600 --> 00:02:43.600]  今天會和大家分享第二講
[00:02:43.600 --> 00:02:45.600]  真信仰
[00:02:45.600 --> 00:02:53.600]  數日前香港醫學院的精神學系
[00:02:53.600 --> 00:02:57.600]  有一個調查報告說了出來
[00:02:57.600 --> 00:03:01.600]  調查了由今年二月到七月
[00:03:01.600 --> 00:03:05.600]  有超過一萬一千多人接受訪問
[00:03:05.600 --> 00:03:10.600]  但發現訪問所研究的內容相當震驚
[00:03:10.600 --> 00:03:16.600]  特別是關於社會事件和疫情情緒研究
[00:03:16.600 --> 00:03:21.600]  當中發現有六成的人對個人前途感到憂慮
