
[00:00:00.000 --> 00:00:02.000]  今天是大年初一
[00:00:02.000 --> 00:00:08.240]  我特別很想借現場弟兄姊妹的掌聲
[00:00:08.240 --> 00:00:12.120]  鼓勵一下 嘉許一下你身邊的弟兄姊妹
[00:00:12.120 --> 00:00:14.680]  今天是大年初一的日子
[00:00:14.680 --> 00:00:18.640]  大家安坐在這裡一起敬拜
[00:00:18.640 --> 00:00:20.400]  今天是大年初一的日子
[00:00:20.400 --> 00:00:23.440]  所以我祝大家龍年夢福
[00:00:23.440 --> 00:00:24.520]  靈明長進
[00:00:24.520 --> 00:00:26.200]  事主得力
[00:00:26.200 --> 00:00:29.200]  讓我們延續上個月
[00:00:29.200 --> 00:00:33.080]  來到小的園堂 港島的學習
[00:00:33.080 --> 00:00:38.480]  很想跟大家一起打開實體紙本的聖經
[00:00:38.480 --> 00:00:39.960]  我們一同讀出
[00:00:39.960 --> 00:00:42.200]  因為我們要宣講 看經文
[00:00:42.200 --> 00:00:46.640]  這段經文是在約翰福音的20章1至18節
[00:00:46.640 --> 00:00:49.520]  如果現場弟兄姊妹還沒有的話
[00:00:49.520 --> 00:00:51.320]  施善可以幫助
[00:00:51.320 --> 00:00:53.400]  如果你在家的弟兄姊妹
[00:00:53.400 --> 00:00:57.800]  或者在回顧訊息的弟兄姊妹
[00:00:57.800 --> 00:01:01.240]  你也可以立即到家的書桌
[00:01:01.240 --> 00:01:05.320]  床頭前找出實體的聖經
[00:01:05.320 --> 00:01:07.240]  或者如果你是網上重播的
[00:01:07.240 --> 00:01:09.760]  我不計算了 你立即停止影片
[00:01:09.760 --> 00:01:11.840]  你去預備好打開你的聖經
[00:01:11.840 --> 00:01:16.040]  我們才一起崇拜 看上帝的話語
[00:01:16.040 --> 00:01:19.920]  在約翰福音20章
[00:01:19.920 --> 00:01:21.920]  1至18節
[00:01:21.920 --> 00:01:24.920]  約翰福音20章
[00:01:24.920 --> 00:01:26.920]  1至18節
[00:01:26.920 --> 00:01:36.920]  我們等待一下新的弟兄姊妹
[00:01:36.920 --> 00:01:43.920]  我們在家的家庭
[00:01:43.920 --> 00:01:45.920]  我們在家的家庭
