
[00:00:00.000 --> 00:00:04.320]  新一年會和大家思想一個系列,叫做《門徒韌力》
[00:00:04.320 --> 00:00:09.600]  今天跟大家講,就和大家思想末世宗作主的強韌門徒
[00:00:09.600 --> 00:00:17.040]  在英國有個雜誌叫做《金庸時報》
[00:00:17.040 --> 00:00:24.160]  它過去很準確地預測了2023年的事情
[00:00:24.160 --> 00:00:32.240]  特別是烏鵝戰爭的情況,他認為2023年這場仗是不會停火的
[00:00:32.240 --> 00:00:35.120]  真的被他講中了,不單止這樣
[00:00:35.120 --> 00:00:39.520]  他其餘的預測,真的在2023年中了八成
[00:00:39.520 --> 00:00:44.720]  所以當他再發表2024年的預測的時候
[00:00:44.720 --> 00:00:47.120]  當然每個人都很關注
[00:00:47.120 --> 00:00:52.960]  不如我們試一下幾個,看看你的預測和他的預測是否相同
[00:00:52.960 --> 00:01:01.280]  第一個就是中國大陸經濟淨增長會跌至3%,甚至更低
[00:01:01.280 --> 00:01:03.920]  大家覺得會不會呢?
[00:01:03.920 --> 00:01:08.000]  他的答案是他覺得不會的
[00:01:08.000 --> 00:01:11.840]  他覺得內地政府是不會讓這件事發生的
[00:01:11.840 --> 00:01:19.280]  第二條就是以色列和哈馬斯戰爭會引發全面的區域衝突
[00:01:19.280 --> 00:01:21.760]  大家覺得會不會呢?
[00:01:21.760 --> 00:01:25.600]  尤其是這兩個星期所發生的,所見到的
[00:01:25.600 --> 00:01:29.440]  他的預測是不會的
[00:01:29.440 --> 00:01:36.080]  第三就是美國和歐盟會不會繼續資助烏克蘭呢?
[00:01:36.080 --> 00:01:37.760]  大家覺得會不會呢?
[00:01:37.760 --> 00:01:43.120]  其實都呼之欲出的了,前幾天的新聞已經出了
[00:01:43.120 --> 00:01:45.840]  他的預測是會的
[00:01:45.840 --> 00:01:51.440]  最後一個,當然他不止這麼少,我列出四個
[00:01:51.440 --> 00:01:56.560]  特朗普會不會再次當選美國總統呢?
[00:01:56.560 --> 00:01:57.840]  你覺得會不會呢?
[00:01:57.840 --> 00:02:02.960]  他覺得不會的,不知道你怎麼看
[00:02:02.960 --> 00:02:09.120]  無論你怎麼看2024
[00:02:09.120 --> 00:02:13.200]  你覺得2024是危機多一點,還是機遇多一點?
[00:02:13.200 --> 00:02:18.560]  大家又覺得自己會怎樣應對呢?
