
[00:00:00.000 --> 00:00:06.500]  好 各位電影節目大家好
[00:00:06.500 --> 00:00:11.500]  今天有機會在青少年崇拜那裏跟大家分享訊息
[00:00:11.500 --> 00:00:15.700]  今天跟大家分享一個系列叫做抗爭中的靈性
[00:00:15.700 --> 00:00:19.700]  今天我們面對一個充滿挑戰 充滿黑暗的世代
[00:00:19.700 --> 00:00:23.900]  我們要去抗爭 不是要對應甚麼人或甚麼事
[00:00:23.900 --> 00:00:27.100]  今天我想作為信徒 我們面對最大的真戰
[00:00:27.100 --> 00:00:29.900]  就是一場屬靈的真戰
[00:00:29.900 --> 00:00:32.500]  究竟當我們面對一場屬靈的真戰的時候
[00:00:32.500 --> 00:00:34.200]  我們有甚麼辦法呢
[00:00:34.200 --> 00:00:36.800]  盼望藉著今天的經文 今天的題目
[00:00:36.800 --> 00:00:38.600]  讓我們學習一點
[00:00:38.600 --> 00:00:43.400]  如何在黑暗中能夠發出一點光芒
[00:00:43.400 --> 00:00:45.800]  雖然一點光芒看似微不足道
[00:00:45.800 --> 00:00:49.500]  但當每一個信徒在一個充滿黑暗的世代
[00:00:49.500 --> 00:00:51.500]  都能夠發出一點光的時候
[00:00:51.500 --> 00:00:55.000]  就能夠為這個世界帶來改變
[00:00:55.000 --> 00:01:00.400]  今天的經文是羅馬書第十二章十七至二十一節
[00:01:00.400 --> 00:01:04.100]  請大家聽我讀出當中的經文
[00:01:04.100 --> 00:01:05.300]  經文裏面這樣說
[00:01:05.300 --> 00:01:07.400]  「不要以惡報惡
[00:01:07.400 --> 00:01:10.600]  眾人以為美的事要留心去做
[00:01:10.600 --> 00:01:14.500]  若是可行總要盡力和眾人和睦
[00:01:14.500 --> 00:01:18.300]  各位親愛的不要自己身於
[00:01:18.300 --> 00:01:21.200]  寧可給主的憤怒留地步
[00:01:21.200 --> 00:01:24.000]  因為經上記著主說
[00:01:24.000 --> 00:01:26.800]  身冤在我 我必報應
[00:01:26.800 --> 00:01:30.900]  不但如此 你的仇敵若餓了就給他吃
[00:01:30.900 --> 00:01:32.900]  若渴了就給他喝
[00:01:32.900 --> 00:01:37.300]  因為你這樣做就是把炭火堆在他的頭上」
[00:01:37.300 --> 00:01:40.100]  邀請大家一起讀最後那節
[00:01:40.100 --> 00:01:42.100]  「不要被惡所性
[00:01:42.100 --> 00:01:44.300]  反要以善成惡」
[00:01:44.300 --> 00:01:46.300]  讓我們一同的祷告
[00:01:46.300 --> 00:01:50.400]  眾人最多謝你讓我們今天有生命有氣息
[00:01:50.400 --> 00:01:52.800]  能夠一同去參與崇拜一同敬拜
[00:01:52.800 --> 00:01:54.800]  都是上帝你給我們的恩典
[00:01:54.800 --> 00:01:58.200]  雖然今天我們面對的境況是充滿挑戰艱難
[00:01:58.200 --> 00:02:02.300]  甚至乎我們身處在一個黑暗的年代
