
[00:00:00.000 --> 00:00:06.000]  各位電影姐妹 各位朋友 大家好
[00:00:06.000 --> 00:00:09.000]  先跟大家打個招呼
[00:00:09.000 --> 00:00:11.000]  我先自我介紹一下
[00:00:11.000 --> 00:00:15.000]  我的中文名字是丁惠妮
[00:00:15.000 --> 00:00:20.000]  通常大家親切一點就會稱呼我的英文名
[00:00:20.000 --> 00:00:22.000]  就是Winnie
[00:00:22.000 --> 00:00:25.000]  今天真的很開心和感恩
[00:00:25.000 --> 00:00:31.000]  今天是我第一次在青松跟大家分享神話
[00:00:31.000 --> 00:00:35.000]  有些面孔認識不少日子
[00:00:35.000 --> 00:00:38.000]  有些面孔可能是新朋友
[00:00:38.000 --> 00:00:40.000]  歡迎你們一起來
[00:00:40.000 --> 00:00:43.000]  剛才不知道大家是否火熱
[00:00:43.000 --> 00:00:45.000]  我比較火熱
[00:00:45.000 --> 00:00:46.000]  因為今天都穿了長袖
[00:00:46.000 --> 00:00:48.000]  剛才很有力的敬拜
[00:00:48.000 --> 00:00:50.000]  所以有些出汗
[00:00:50.000 --> 00:00:57.000]  今天我們一起進入的題目是
[00:00:57.000 --> 00:01:01.000]  從舊約聖經節期漢敬拜安息年
[00:01:01.000 --> 00:01:05.000]  經文是來自《出埃及記》的23章11節
[00:01:05.000 --> 00:01:10.000]  現在先讓我為大家讀出這一節的經文
[00:01:10.000 --> 00:01:12.000]  經文這樣說
[00:01:12.000 --> 00:01:28.000]  「使第七年你要讓地潔色,不耕不種,使你百姓中的貧窮人有吃的,他們吃剩的野獸可以吃,你的葡萄園和橄欖園也要照樣辦理。」
[00:01:28.000 --> 00:01:35.000]  安息年這個節期是耶和華在西奈山上
[00:01:35.000 --> 00:01:40.000]  曉遇摩西、瓦倫和以色列民
[00:01:40.000 --> 00:01:47.000]  當他們進入所應許的美地迦南後
[00:01:47.000 --> 00:01:51.000]  每七年一次需要守的節期
[00:01:51.000 --> 00:01:55.000]  相信我們都清楚
[00:01:55.000 --> 00:01:59.000]  以色列人在曠野生活了多少年
[00:01:59.000 --> 00:02:03.000]  是的,我都聽到答案了
[00:02:03.000 --> 00:02:05.000]  沒錯,非常正確
[00:02:05.000 --> 00:02:07.000]  是40年
[00:02:07.000 --> 00:02:11.000]  40年不算是一個短日子
[00:02:11.000 --> 00:02:14.000]  我都超過了這個年份
[00:02:14.000 --> 00:02:20.000]  而曠野其實是一個荒漠的地方
[00:02:20.000 --> 00:02:24.000]  原本是一個什麼都沒有的曠野
[00:02:24.000 --> 00:02:32.000]  但在這40年裡,耶和華每天按時供應兩種食物給以色列人
[00:02:32.000 --> 00:02:38.000]  分別是早上供應馬拿
[00:02:38.000 --> 00:02:41.000]  晚上供應鵪鶉
[00:02:41.000 --> 00:02:46.000]  讓他們按時收取食用
[00:02:46.000 --> 00:02:49.000]  不過,如果過了這個時限
[00:02:49.000 --> 00:02:54.000]  以色列人和他們的家人很可能會沒東西吃
[00:02:54.000 --> 00:02:56.000]  要捱餓
