
[00:00:00.000 --> 00:00:03.320]  是否要按一下
[00:00:03.320 --> 00:00:10.000]  是否要按
[00:00:10.000 --> 00:00:11.800]  是怎樣的
[00:00:11.800 --> 00:00:15.000]  所以我第一次來
[00:00:15.000 --> 00:00:17.920]  所以我先看看
[00:00:17.920 --> 00:00:21.000]  麻煩你
[00:00:21.000 --> 00:00:23.720]  Thank you
[00:00:23.720 --> 00:00:25.520]  大家好
[00:00:25.520 --> 00:00:28.440]  多謝敬拜隊帶我們敬拜
[00:00:28.440 --> 00:00:32.400]  我是少匿原青少年區的區務 梅中
[00:00:32.400 --> 00:00:35.560]  今天很開心跟大家一起敬拜
[00:00:35.560 --> 00:00:37.560]  大家很火熱
[00:00:37.560 --> 00:00:39.560]  或者是我很火熱
[00:00:39.560 --> 00:00:43.560]  我們都很火熱很開心一起去敬拜的時間
[00:00:43.560 --> 00:00:45.560]  話說
[00:00:45.560 --> 00:00:49.560]  我自我介紹
[00:00:49.560 --> 00:00:51.560]  我是中一開始回來沙浸的
[00:00:51.560 --> 00:00:54.560]  四年前我讀神學
[00:00:54.560 --> 00:00:56.560]  去年七月尾開始入職
[00:00:56.560 --> 00:01:00.560]  我現在半年左右成為區務
[00:01:00.560 --> 00:01:02.560]  雖然成為區務
[00:01:02.560 --> 00:01:06.560]  但我是一個剛踏入職場的新人
[00:01:06.560 --> 00:01:08.560]  所以很多東西都不懂
[00:01:08.560 --> 00:01:09.560]  在一個學習的階段
[00:01:09.560 --> 00:01:11.560]  學習成為一個成人
[00:01:11.560 --> 00:01:15.560]  在十一月我聽了一個座談會
[00:01:15.560 --> 00:01:17.560]  那個座談會是說
[00:01:17.560 --> 00:01:20.560]  現在的教會應該怎樣跟青少年人同行
[00:01:20.560 --> 00:01:23.560]  幫助他們邁向成人
[00:01:23.560 --> 00:01:26.560]  原來十八歲只是生理上的成熟
[00:01:26.560 --> 00:01:31.560]  但心理上是從二十四歲到四十四歲還在發展
[00:01:31.560 --> 00:01:36.560]  這個座談會根據美國的成清統計調查
[00:01:36.560 --> 00:01:40.560]  總結了七個要過度成長的方向
[00:01:40.560 --> 00:01:42.560]  其中一個就是我們今天要講的主題
[00:01:42.560 --> 00:01:45.560]  就是人際關係的相處
[00:01:45.560 --> 00:01:48.560]  所以其實不單是青少年的
[00:01:48.560 --> 00:01:51.560]  我們成人可能都在面對同樣的過度
[00:01:51.560 --> 00:01:53.560]  一起學習這個時間
[00:01:53.560 --> 00:01:57.560]  而從另一個角度去看
[00:01:57.560 --> 00:02:01.560]  處理衝突其實是教會群體要學習的功課
[00:02:01.560 --> 00:02:04.560]  所以恰當處理衝突
[00:02:04.560 --> 00:02:09.560]  好的話就可以延續教會的傳承
[00:02:09.560 --> 00:02:11.560]  但如果相反的話
[00:02:11.560 --> 00:02:12.560]  卻會引起怨恨
[00:02:12.560 --> 00:02:14.560]  會分裂教會
[00:02:14.560 --> 00:02:18.560]  初期教會都沒有辦法避免這些衝突
[00:02:18.560 --> 00:02:19.560]  哥倫多教會
[00:02:19.560 --> 00:02:21.560]  我拿了一個經文出來
[00:02:21.560 --> 00:02:25.560]  是一個很出名的教會合一的地方
[00:02:25.560 --> 00:02:29.560]  所以我們知道這些教導
[00:02:29.560 --> 00:02:31.560]  我們每個人都知道
[00:02:31.560 --> 00:02:32.560]  我們知道要合一
[00:02:32.560 --> 00:02:33.560]  我們知道要饒恕
[00:02:33.560 --> 00:02:35.560]  但掙扎的就是
[00:02:35.560 --> 00:02:37.560]  實際處境真的很難搞
[00:02:37.560 --> 00:02:39.560]  實際處境就是很困難
[00:02:39.560 --> 00:02:41.560]  教會是上帝的家
[00:02:41.560 --> 00:02:43.560]  但正正因為大家都很親近
[00:02:43.560 --> 00:02:45.560]  坐在旁邊就有磨擦
[00:02:45.560 --> 00:02:47.560]  磨擦過後
[00:02:47.560 --> 00:02:50.560]  就連對方的存在都會成為你的不安
[00:02:50.560 --> 00:02:52.560]  成為你的煩躁
[00:02:52.560 --> 00:02:56.560]  這是每個人真實經歷的生命狀態
[00:02:56.560 --> 00:02:59.560]  如何去面對衝突怨恨
[00:02:59.560 --> 00:03:02.560]  今天我們嘗試用約翰的一生
[00:03:02.560 --> 00:03:04.560]  不是 約瑟的一生
[00:03:04.560 --> 00:03:06.560]  約瑟的一生去回答這個問題
[00:03:06.560 --> 00:03:11.560]  今天主要的經文是《創世紀》50章15至21節
[00:03:11.560 --> 00:03:13.560]  字應該大家都看得到
[00:03:13.560 --> 00:03:16.560]  我邀請大家一起讀出這段經文
[00:03:17.560 --> 00:03:19.560]  (創世紀)
[00:03:19.560 --> 00:03:32.560]  他們就傳口信給約瑟說
[00:03:32.560 --> 00:03:36.560]  你父親未死之前曾吩咐說
[00:03:36.560 --> 00:03:39.560]  你們要對約瑟這樣說
[00:03:39.560 --> 00:03:42.560]  從前你哥哥們惡待你
[00:03:42.560 --> 00:03:46.560]  你要饒恕他們的過犯和罪惡
[00:03:46.560 --> 00:03:52.560]  現在求你饒恕你父親的神之僕人們的過犯
[00:03:52.560 --> 00:03:55.560]  他們對約瑟說了這話
[00:03:55.560 --> 00:03:57.560]  約瑟就哭了
[00:03:57.560 --> 00:04:02.560]  他的哥哥們伏伏在他面前說
[00:04:02.560 --> 00:04:05.560]  看啊 我們是你的奴隸
[00:04:05.560 --> 00:04:09.560]  約瑟對他們說不要怕
[00:04:09.560 --> 00:04:12.560]  我們兩代是神人
[00:04:12.560 --> 00:04:15.560]  從前你們的意思是要害我
[00:04:15.560 --> 00:04:18.560]  但神的意思是要治好他們
[00:04:18.560 --> 00:04:21.560]  約瑟對多百姓得以轉換
[00:04:21.560 --> 00:04:24.560]  成就今天的光景
[00:04:24.560 --> 00:04:26.560]  現在你們不需要害怕
