
[00:00:00.000 --> 00:00:15.000]  各位靈感姐妹 再一次歡迎大家參加今天晚上的網上崇拜
[00:00:15.000 --> 00:00:24.000]  大家都應該知道我們下星期開始會分階段恢復實體崇拜
[00:00:24.000 --> 00:00:32.000]  我們很期望能夠再一次聚在一起 一起去崇拜 一同去聆聽上帝的話語
[00:00:32.000 --> 00:00:40.000]  經過了過去幾個月的嚴峻疫情 今天好像已經緩和了很多
[00:00:40.000 --> 00:00:46.000]  我們下星期也可以逐步恢復實體的聚會
[00:00:46.000 --> 00:00:51.000]  我想這幾個月大家都覺得一點都不容易
[00:00:51.000 --> 00:00:59.000]  今天好像可以鬆一鬆口氣 可以回復正常的一樣
[00:00:59.000 --> 00:01:07.000]  但是接下來的日子是否真的可以安定下來呢?
[00:01:07.000 --> 00:01:14.000]  我們今天有機會看一段經文是約書亞記第24章第14至第18節
[00:01:14.000 --> 00:01:20.000]  我們所說的主角是約書亞 當他走到人生的晚年的時候
[00:01:20.000 --> 00:01:26.000]  他由最初接觸摩西領導之職 他征戰沙場很多年
[00:01:26.000 --> 00:01:29.000]  大大小小的戰役他打過很多場
[00:01:29.000 --> 00:01:37.000]  今天他成功進入上帝給他們以色列民英許之地的地方
[00:01:37.000 --> 00:01:43.000]  可以安定下來 但是否也一樣呢?
[00:01:43.000 --> 00:01:52.000]  當約書亞到了最後 即將要離世之前
[00:01:52.000 --> 00:01:57.000]  他有一樣很重要的事情要去祝福 要去叮囑以色列民
[00:01:57.000 --> 00:02:02.000]  同樣當我們面對當下的處境的時候
[00:02:02.000 --> 00:02:08.000]  究竟約書亞最後對以色列民的叮囑 為我們帶來什麼啟迪呢?
[00:02:08.000 --> 00:02:13.000]  請大家先聽我讀出當中的經文 約書亞記第24章第14至第18節
[00:02:13.000 --> 00:02:15.000]  經文裡這樣說
[00:02:15.000 --> 00:02:19.000]  現在你們要敬畏耶和華 誠心誠意的侍奉祂
[00:02:19.000 --> 00:02:24.000]  除掉你們列祖在大河那邊 和在埃及侍奉的神明
[00:02:24.000 --> 00:02:27.000]  侍奉耶和華 若你們認為侍奉耶和華不好
[00:02:27.000 --> 00:02:31.000]  今天就可以選擇所要侍奉的
[00:02:31.000 --> 00:02:35.000]  是你們列祖在大河那邊所侍奉的神明
[00:02:35.000 --> 00:02:39.000]  或是你們所住的地阿摩利人的神明呢?
[00:02:39.000 --> 00:02:44.000]  至於我和我家 我們必定侍奉耶和華
[00:02:44.000 --> 00:02:48.000]  我聖回答說 我們絕不離棄耶和華去侍奉必神
[00:02:48.000 --> 00:02:52.000]  因為耶和華是我們的上帝 臣領我們和我們的祖宗
[00:02:52.000 --> 00:02:55.000]  從埃及地遺留之家出來
[00:02:55.000 --> 00:02:58.000]  在我們眼前行了那些大神蹟
[00:02:58.000 --> 00:03:04.000]  並在我們所行的一切路上 和所經過的各民族中保護了我們
[00:03:04.000 --> 00:03:10.000]  耶和華有把各民族和住此地的阿摩利人 都從我們面前說出去
[00:03:10.000 --> 00:03:17.000]  所以我們也必侍奉耶和華 因為祂是我們的上帝
[00:03:17.000 --> 00:03:19.000]  我們一同的禱告
[00:03:19.000 --> 00:03:23.000]  再恩主 多謝你給我們今天有心有氣息
[00:03:23.000 --> 00:03:26.000]  能夠一同去敬拜 一同去聆聽你的話語
[00:03:26.000 --> 00:03:28.000]  都是上帝你給我們的恩典
[00:03:28.000 --> 00:03:32.000]  我們獻上感恩 因為我們看到疫情慢慢緩和下來
[00:03:32.000 --> 00:03:35.000]  但求主也幫助我們 當我們面對前路的時間
[00:03:35.000 --> 00:03:41.000]  充滿很多不確定的因素 也充滿了很多變幻莫測的事情
[00:03:41.000 --> 00:03:43.000]  求主繼續帶領我們 讓我們帶著信心
[00:03:43.000 --> 00:03:46.000]  帶著你給我們的應許 繼續一步一步前行
[00:03:46.000 --> 00:03:51.000]  當我們今天要重新上路的時間 求主你就與我們同在
[00:03:51.000 --> 00:03:55.000]  讓我們捉緊你給我們的恩典 繼續走在上帝你的心意當中
[00:03:55.000 --> 00:03:58.000]  求主繼續幫助 多謝主我們的禱告交托
[00:03:58.000 --> 00:04:01.000]  奉耶穌基督明治祈求 阿們
[00:04:01.000 --> 00:04:07.000]  正如我上次所說 現在疫情慢慢緩和下來
[00:04:07.000 --> 00:04:12.000]  截至到5月28日 其實已經連續14天沒有本地感染
[00:04:12.000 --> 00:04:15.000]  都知道這一兩天仍然沒有本地感染
[00:04:15.000 --> 00:04:18.000]  我們有望在未來的日子裡
[00:04:18.000 --> 00:04:21.000]  我們都很期望限聚令能夠取消
[00:04:21.000 --> 00:04:25.000]  讓我們能夠回復正常的生活
[00:04:25.000 --> 00:04:30.000]  我想不單止疫情 對很多家長來說都有一個好消息
[00:04:30.000 --> 00:04:34.000]  剛剛過去一個星期就開始復課了
[00:04:34.000 --> 00:04:37.000]  由中學開始 接下來6月初的時候
[00:04:37.000 --> 00:04:42.000]  就有小學的階段 或者再小一點的階段就慢慢復課
[00:04:42.000 --> 00:04:44.000]  過去幾個月聽很多家長說
[00:04:44.000 --> 00:04:47.000]  在家裡跟小朋友困獸鬥
[00:04:47.000 --> 00:04:50.000]  這個困獸鬥的困局終於都能夠解開了
[00:04:50.000 --> 00:04:53.000]  所以可能上學的日子都不是很多放暑假
[00:04:53.000 --> 00:04:57.000]  最少都有一點點可以喘息的空間
[00:04:57.000 --> 00:05:00.000]  對很多家長 甚至很多小朋友來說
[00:05:00.000 --> 00:05:05.000]  可以再一次上學都是一個佳音
[00:05:05.000 --> 00:05:09.000]  所有事情都好像來得相當之好
[00:05:09.000 --> 00:05:14.000]  一切的事情 疫情又緩和了 又可以上學的時間
[00:05:14.000 --> 00:05:16.000]  當我們面對當下的處境的時候
[00:05:16.000 --> 00:05:19.000]  我們很希望 我們經常都說
[00:05:19.000 --> 00:05:21.000]  我們想重新回復正常
[00:05:21.000 --> 00:05:26.000]  我們好像想過一些正常的安定的日子
[00:05:26.000 --> 00:05:30.000]  但是接下來的日子是不是真的會這樣呢?
[00:05:30.000 --> 00:05:33.000]  我相信大家都有看過這個新聞
[00:05:33.000 --> 00:05:37.000]  在5月28日 全國人民代表大會裡面
[00:05:37.000 --> 00:05:42.000]  通過了一個叫做香港版的國安法的立法的決定草案
[00:05:42.000 --> 00:05:44.000]  雖然沒有很詳細的條文
[00:05:44.000 --> 00:05:47.000]  但是我想這個決定已經是落實了
[00:05:47.000 --> 00:05:50.000]  可能不同人對這個港版的國安法裡面
[00:05:50.000 --> 00:05:52.000]  有很多不同的看法 或者不同的立場
[00:05:52.000 --> 00:05:54.000]  有些贊成 有些反對
[00:05:54.000 --> 00:05:57.000]  無論怎樣都好 這個條例的訂立
[00:05:57.000 --> 00:06:03.000]  相信會為香港帶來新一輪的一個震盪
[00:06:03.000 --> 00:06:08.000]  我們不知道究竟香港的未來是怎樣
[00:06:08.000 --> 00:06:13.000]  充滿很多的不安 也都充滿了很多的變數
[00:06:13.000 --> 00:06:17.000]  當我們以為疫情過後 我們以為能夠安定下來
[00:06:17.000 --> 00:06:23.000]  但是可能我們也都要面對新一輪的政治的漩渦當中
[00:06:23.000 --> 00:06:27.000]  各位頂椒妹 各位基督徒 各位信徒
[00:06:27.000 --> 00:06:33.000]  你預備好自己還沒有重新要去踏上這條的路嗎?
[00:06:33.000 --> 00:06:35.000]  正如當日約書亞
[00:06:35.000 --> 00:06:40.000]  他要帶領一幫以色列民進入到加南這個應許之地
[00:06:40.000 --> 00:06:44.000]  當他要去通過第一關 即是他們要經過約旦河的時間
[00:06:44.000 --> 00:06:47.000]  他們深知道一樣的東西
[00:06:47.000 --> 00:06:51.000]  他說接下來所走的路 無論要進入加南的路
[00:06:51.000 --> 00:06:55.000]  或者過了加南之後 往後他們整個民族所走的路
[00:06:55.000 --> 00:06:57.000]  都是一條什麼?
[00:06:57.000 --> 00:07:01.000]  都是一條他們從來都沒有走過的路
[00:07:01.000 --> 00:07:04.000]  充滿很多的挑戰 充滿了很多的變數
[00:07:04.000 --> 00:07:07.000]  甚至充滿了很多很多的艱難
[00:07:07.000 --> 00:07:12.000]  約書亞在這一刻去到的晚年 最後要叮囑一幫的以色列民
[00:07:12.000 --> 00:07:14.000]  不是說今天我們進入到加南地
[00:07:14.000 --> 00:07:17.000]  所有東西好像安定下來 平定的時候
[00:07:17.000 --> 00:07:21.000]  接下來的日子就一帆風順 無風無浪
[00:07:21.000 --> 00:07:26.000]  當你今天再一次看約書亞最後叮囑的這幫以色列民
[00:07:26.000 --> 00:07:29.000]  有一個很重要很重要的核心
[00:07:29.000 --> 00:07:32.000]  要告訴一幫以色列民知道
[00:07:32.000 --> 00:07:36.000]  他說今天你要再一次重新踏上這條路的時候
[00:07:36.000 --> 00:07:38.000]  有三樣東西你一定要記得
[00:07:38.000 --> 00:07:41.000]  第一樣東西 你要持守一顆敬畏的心
[00:07:41.000 --> 00:07:43.000]  第二就是你願意擺上
[00:07:43.000 --> 00:07:46.000]  這份擺上不單止是你個人的擺上
[00:07:46.000 --> 00:07:48.000]  如果你有家庭的時間
[00:07:48.000 --> 00:07:52.000]  究竟今天你將什麼價值觀教給你的下一代
[00:07:52.000 --> 00:07:55.000]  第三就是無論將來的日子如何
[00:07:55.000 --> 00:07:58.000]  你要學習如何專心的去依靠
[00:07:58.000 --> 00:08:01.000]  多謝有機會看回經文的時間
[00:08:01.000 --> 00:08:04.000]  你看經文的形容相當之有趣
[00:08:04.000 --> 00:08:06.000]  約書亞第一句說什麼
[00:08:06.000 --> 00:08:10.000]  他說現在你們要敬畏耶和華
[00:08:10.000 --> 00:08:11.000]  可能你會覺得很奇怪
[00:08:11.000 --> 00:08:14.000]  為什麼說你們 即現在你們
[00:08:14.000 --> 00:08:16.000]  不是一向都敬畏耶和華嗎
[00:08:16.000 --> 00:08:20.000]  其實是當中帶來一些暗示
[00:08:20.000 --> 00:08:23.000]  當一切好像風平浪靜的時候
[00:08:23.000 --> 00:08:26.000]  其實當中有一些暗湧出來了
[00:08:26.000 --> 00:08:30.000]  他說今天你就要去敬畏耶和華
[00:08:30.000 --> 00:08:32.000]  並且誠心誠意的侍奉他
[00:08:32.000 --> 00:08:36.000]  除掉你們列祖在大河那邊和埃及侍奉的神明
[00:08:36.000 --> 00:08:37.000]  侍奉耶和華
[00:08:37.000 --> 00:08:42.000]  然後可能在他們整個民族裏
[00:08:42.000 --> 00:08:48.000]  未必有一些表面上要敬拜別神的宗教行為
[00:08:48.000 --> 00:08:52.000]  但我相信在很多人的生活當中
[00:08:52.000 --> 00:08:56.000]  可能也有去拜其他神明的傾向
[00:08:56.000 --> 00:09:00.000]  所以今天約書亞就要他們
[00:09:00.000 --> 00:09:02.000]  要做一個很重要的決定
[00:09:03.000 --> 00:09:08.000]  如果他們一向都是已經確定這個決定的時候
[00:09:08.000 --> 00:09:11.000]  其實約書亞今天不需要去問
[00:09:11.000 --> 00:09:13.000]  他問的意思是
[00:09:13.000 --> 00:09:18.000]  其實今天要做一個很重要的決定
[00:09:18.000 --> 00:09:20.000]  面對接下來所走的路
[00:09:20.000 --> 00:09:23.000]  今天你要的選擇走著什麼路
[00:09:23.000 --> 00:09:27.000]  他說如果你們認為侍奉耶和華不好的話
[00:09:27.000 --> 00:09:30.000]  他說今天你可以重新的選擇
[00:09:30.000 --> 00:09:33.000]  你可以選擇你所要侍奉的是哪一個
[00:09:33.000 --> 00:09:37.000]  是你們列祖在大河那邊所侍奉的神明
[00:09:37.000 --> 00:09:39.000]  一些其他的神明
[00:09:39.000 --> 00:09:43.000]  或者你所住在阿摩利人的神明
[00:09:43.000 --> 00:09:46.000]  阿摩利人在當時迦南的地裏
[00:09:46.000 --> 00:09:50.000]  是一個相當威脅到以色列民族的其中一個民族
[00:09:50.000 --> 00:09:55.000]  可能也參集了當地的神明的敬拜也不一定
[00:09:55.000 --> 00:09:59.000]  約書亞很直接的告訴你
[00:09:59.000 --> 00:10:04.000]  他說你不要以為今天好像所有事情安定下來
[00:10:04.000 --> 00:10:08.000]  其實在當中是潛藏了一些問題
[00:10:08.000 --> 00:10:10.000]  在你們必須要去察覺
[00:10:10.000 --> 00:10:12.000]  面對一個不可知的明天的時候
[00:10:12.000 --> 00:10:15.000]  今天你的選擇是什麼
[00:10:15.000 --> 00:10:19.000]  你是否一個願意敬畏耶和華的民族
[00:10:19.000 --> 00:10:21.000]  你可以重新選擇
[00:10:21.000 --> 00:10:24.000]  你選擇走去侍奉其他神明
[00:10:24.000 --> 00:10:28.000]  還是你要再一次立定心智
[00:10:28.000 --> 00:10:30.000]  我要去敬畏耶和華
[00:10:30.000 --> 00:10:33.000]  什麼叫敬畏耶和華
[00:10:33.000 --> 00:10:36.000]  敬畏在原文裏面有一個懼怕的意思
[00:10:36.000 --> 00:10:38.000]  是不能僭越的意思
