
[00:00:00.000 --> 00:00:03.080]  多謝敬拜隊帶來我們的敬拜
[00:00:03.080 --> 00:00:05.080]  我覺得很有意思
[00:00:05.080 --> 00:00:09.080]  一方面由很久的歌對到比較新的歌
[00:00:09.080 --> 00:00:11.080]  甚麼都有
[00:00:11.080 --> 00:00:15.320]  另外我覺得由我們個人對主的敬拜和親近
[00:00:15.320 --> 00:00:17.320]  去到我們這個群體
[00:00:17.320 --> 00:00:20.640]  我們要成為一個甚麼群體呢
[00:00:20.640 --> 00:00:24.920]  若我們說我們要成為站於天地之間的人
[00:00:24.920 --> 00:00:29.480]  一個人站在天地之間很難
[00:00:29.480 --> 00:00:32.760]  但主呼喚的是
[00:00:32.760 --> 00:00:37.080]  若天地之間有一個殿建立起來
[00:00:37.080 --> 00:00:40.680]  多謝剛才German帶來的敬拜
[00:00:40.680 --> 00:00:42.680]  這個殿是誰學的呢
[00:00:42.680 --> 00:00:46.120]  不是一座座金碧輝煌的教堂
[00:00:46.120 --> 00:00:48.120]  是甚麼呢
[00:00:48.120 --> 00:00:50.120]  你看看身邊的頂姐妹
[00:00:50.120 --> 00:00:53.320]  要告訴她是我們
[00:00:53.320 --> 00:00:56.600]  你不太相信
[00:00:56.600 --> 00:00:58.600]  真的告訴她是我們
[00:00:58.600 --> 00:01:00.600]  是這樣的
[00:01:00.600 --> 00:01:02.600]  告訴她
[00:01:02.600 --> 00:01:09.000]  我們經過了幾年困難的日子
[00:01:09.000 --> 00:01:11.000]  有時我們都覺得有些難
[00:01:11.000 --> 00:01:13.000]  去到這個位置
[00:01:13.000 --> 00:01:17.320]  所以今天繼續跟大家講這個訊息
[00:01:17.320 --> 00:01:21.080]  這個訊息是以色列第五講
[00:01:21.080 --> 00:01:23.080]  在困難裏面的重建
[00:01:23.080 --> 00:01:26.360]  當我們看到這個題目的時候
[00:01:26.360 --> 00:01:28.360]  不知道你會想起甚麼呢
[00:01:28.360 --> 00:01:31.240]  可能我們會想起我們過往幾年疫情
[00:01:31.240 --> 00:01:33.880]  亦都在很多動盪的日子裏面
[00:01:33.880 --> 00:01:35.880]  終於現在復常了
[00:01:35.880 --> 00:01:39.880]  我們要慢慢重建自己的信仰
[00:01:39.880 --> 00:01:41.880]  亦都重建我們教會的生活
[00:01:41.880 --> 00:01:46.760]  我覺得一路讀這段聖經裏面的時候
[00:01:46.760 --> 00:01:49.160]  其實很多東西值得我們去反省
[00:01:49.160 --> 00:01:53.560]  究竟在我們要重建我們和主的關係
[00:01:53.560 --> 00:01:54.920]  重建主的殿的時候
[00:01:54.920 --> 00:01:56.920]  有甚麼我們需要學習呢
[00:01:56.920 --> 00:01:58.920]  今天這段經文是以色列第五章
[00:01:58.920 --> 00:02:01.560]  由第一到第六章的十二節比較長
[00:02:01.560 --> 00:02:03.560]  所以我不會逐一讀出來
[00:02:03.560 --> 00:02:07.880]  我選擇一些要講的就講
[00:02:07.880 --> 00:02:10.920]  如果覺得朱先生跳來跳去
[00:02:10.920 --> 00:02:12.920]  都不知道你在講甚麼
[00:02:12.920 --> 00:02:14.920]  我鼓勵大家可以自己看一下
[00:02:14.920 --> 00:02:16.920]  究竟整段的來龍去脈是甚麼
[00:02:16.920 --> 00:02:20.920]  我讀今天要講的經文
[00:02:20.920 --> 00:02:22.920]  第五章第一節
[00:02:22.920 --> 00:02:25.720]  那時哈蓋先知和易多的孫子撒加利亞
[00:02:25.720 --> 00:02:27.720]  就是兩個先知
[00:02:27.720 --> 00:02:29.720]  兩個先知奉以色列上帝的名
[00:02:29.720 --> 00:02:33.320]  向猶大和耶路撒冷的猶太人講預言
[00:02:33.320 --> 00:02:35.320]  講完預言之後
[00:02:35.320 --> 00:02:37.720]  撒拉帖的兒子所羅巴巴
[00:02:37.720 --> 00:02:39.720]  和約撒達的兒子耶穌亞
[00:02:39.720 --> 00:02:43.720]  一個是政治上的領袖
