
[00:00:00.000 --> 00:00:02.240]  也快晚安了
[00:00:02.240 --> 00:00:04.640]  是快,只剩下十分鐘
[00:00:04.640 --> 00:00:07.840]  不如和旁邊的朋友揮個招呼
[00:00:07.840 --> 00:00:09.440]  揮個手
[00:00:09.440 --> 00:00:12.880]  我們也是集體聚會,不是個人聚會
[00:00:12.880 --> 00:00:14.880]  歡迎大家
[00:00:14.880 --> 00:00:20.960]  我跟大家分享今年的系列
[00:00:20.960 --> 00:00:23.040]  講到逃不了,離不開
[00:00:23.040 --> 00:00:25.640]  主要是集中思想,以思貼記
[00:00:25.640 --> 00:00:27.360]  特別是反思一個身處
[00:00:27.360 --> 00:00:29.800]  是一個習慣虛假
[00:00:29.800 --> 00:00:33.560]  和對謊言麻木的世代
[00:00:33.560 --> 00:00:36.400]  但我們又逃不了,離不開
[00:00:36.400 --> 00:00:39.520]  我們又如何做一個有真我風采
[00:00:39.520 --> 00:00:43.800]  又活出表裡一致的信仰生命呢?
[00:00:43.800 --> 00:00:46.080]  本來有五講
[00:00:46.080 --> 00:00:50.640]  但因為改動的緣故,只有三講
[00:00:50.640 --> 00:00:52.920]  跟大家思想第一講
[00:00:52.920 --> 00:00:54.920]  真偽
[00:00:55.600 --> 00:01:03.400]  2017年亞太廣告節得獎影片
[00:01:03.400 --> 00:01:12.080]  故事講述衛理一直被朋友當作透明人
[00:01:12.080 --> 00:01:14.320]  從小到大他都很努力
[00:01:14.320 --> 00:01:20.000]  去扮演一個能夠令大家喜歡的少年
[00:01:20.000 --> 00:01:23.160]  有一次他被星探發掘
[00:01:23.160 --> 00:01:26.000]  說他這個少年能夠爆紅
[00:01:26.000 --> 00:01:30.160]  所以果然他一出道的時候
[00:01:30.160 --> 00:01:33.520]  得到很多大眾模仿他的形象
[00:01:33.520 --> 00:01:35.520]  大受歡迎
[00:01:35.520 --> 00:01:38.840]  但可惜衛理一直都不開心
[00:01:38.840 --> 00:01:43.800]  他開始覺得很想脫下少年的面具
[00:01:43.800 --> 00:01:45.080]  後來發生什麼事呢?
[00:01:45.080 --> 00:01:47.480]  用我在這裡賣個關子
[00:01:47.480 --> 00:01:49.800]  其實這個得片的影片
[00:01:49.800 --> 00:01:55.880]  是要導出一個現實社會偽裝的面貌
[00:01:55.880 --> 00:02:00.400]  這個影片的內容或他描述的東西
[00:02:00.400 --> 00:02:05.680]  你覺得和我們現在社會的寫照是否一樣呢?
[00:02:05.680 --> 00:02:10.400]  今天會跟大家思想《異詩貼記》當中的三段經文
[00:02:10.400 --> 00:02:12.400]  我們思想三方面
