
[00:00:00.000 --> 00:00:06.400]  今日的訊息是小靈園堂的講道系列裡面
[00:00:06.400 --> 00:00:09.560]  世代的延續第七講
[00:00:09.560 --> 00:00:14.200]  題目是「危難女神為拯救作預備」
[00:00:14.200 --> 00:00:18.200]  不知道今天我們有沒有預備好我們的生命
[00:00:18.200 --> 00:00:24.400]  來迎接上帝在我們的生命中工作
[00:00:24.400 --> 00:00:34.800]  在《耳屍帖記》裡面大家可能看到章節實在太長了
[00:00:34.800 --> 00:00:36.600]  第二章和第九章
[00:00:36.600 --> 00:00:41.200]  其實《耳屍帖記》一共有十章
[00:00:41.200 --> 00:00:43.600]  其實是包抄了
[00:00:43.600 --> 00:00:52.000]  但我相信整篇來看是相當戲劇性的
[00:00:52.000 --> 00:00:54.600]  不如我也簡介一下
[00:00:54.600 --> 00:00:59.600]  《耳屍帖記》是記述一個猶太人
[00:00:59.600 --> 00:01:07.400]  在哈徐老王統治期間
[00:01:07.400 --> 00:01:11.600]  在主前的486至465年
[00:01:11.600 --> 00:01:19.000]  當時他們經歷了一個可以脫離滅族危機的故事
[00:01:19.000 --> 00:01:25.200]  故事發生在波斯王宮的宮廷裡
[00:01:25.200 --> 00:01:30.400]  主角是一個很美麗又有智慧
[00:01:30.400 --> 00:01:33.000]  美貌與智慧並重的耳屍帖
[00:01:33.000 --> 00:01:35.800]  她能夠成為皇后
[00:01:35.800 --> 00:01:42.200]  憑著她的勇氣、智慧和愛民族的心
[00:01:42.200 --> 00:01:50.400]  以致她能夠救了猶太民族脫離滅族危機
[00:01:50.400 --> 00:01:58.600]  並且她設立了一個猶太的節日
[00:01:58.600 --> 00:02:01.200]  仍然繼續在做這個節日
[00:02:01.200 --> 00:02:02.400]  就是普爾日
[00:02:02.400 --> 00:02:05.600]  普爾日是亞達月的約莫
[00:02:05.600 --> 00:02:09.000]  如果計算的話就是約莫12月的期間
[00:02:09.000 --> 00:02:13.800]  是14日和15日舉行這個節日
[00:02:13.800 --> 00:02:24.200]  仍然繼續紀念脫離受敵屠殺而得到的平安
[00:02:24.200 --> 00:02:29.000]  所以在整卷的經典裡
[00:02:29.000 --> 00:02:31.800]  你會看到有幾個主要的人物
[00:02:31.800 --> 00:02:34.200]  我們稍後會一邊說
[00:02:34.200 --> 00:02:35.600]  就是耳屍帖
[00:02:35.600 --> 00:02:39.800]  耳屍帖是猶太的孤女
[00:02:39.800 --> 00:02:43.200]  她的父母亦都傷亡
[00:02:43.200 --> 00:02:45.400]  後來成為皇后
[00:02:45.400 --> 00:02:46.400]  剛才也有提及
[00:02:46.400 --> 00:02:50.600]  沒底蓋是辯雅敏之派的後裔
[00:02:50.600 --> 00:02:54.400]  他是耳屍帖的堂兄
[00:02:54.400 --> 00:02:58.400]  後來耳屍帖很愛護她
[00:02:58.400 --> 00:03:04.600]  當她是女兒來愛護和賦育她成人
[00:03:04.600 --> 00:03:09.800]  沒底蓋是一個為人很正直的
[00:03:09.800 --> 00:03:13.800]  而哈曼是亞馬利人的後裔
[00:03:13.800 --> 00:03:16.800]  所以往後我們會看到
[00:03:16.800 --> 00:03:21.800]  為何他對沒底蓋的追殺
[00:03:21.800 --> 00:03:27.200]  所以他們在劇中都是很重要的人物
[00:03:27.200 --> 00:03:31.200]  他是阿哈徐老王的宰相
[00:03:31.200 --> 00:03:35.800]  劇中他很想將他的仇敵
[00:03:35.800 --> 00:03:38.400]  他的仇敵就是猶太人
[00:03:38.400 --> 00:03:42.000]  所以他很想滅他們的民族
[00:03:42.000 --> 00:03:48.200]  阿哈徐老王是波斯的帝王
[00:03:48.200 --> 00:03:49.800]  他很喜歡燕洛
[00:03:49.800 --> 00:03:53.600]  當我們預備經卷時
[00:03:53.600 --> 00:03:56.400]  我們會看到他不斷地設宴
[00:03:56.400 --> 00:04:01.400]  他與民同樂
[00:04:01.400 --> 00:04:04.800]  他不僅僅請他的官員
[00:04:04.800 --> 00:04:10.600]  他連人民也一起招待
[00:04:10.600 --> 00:04:16.600]  所以我們會看到這幾個很重要的人物
[00:04:16.600 --> 00:04:20.200]  其實我們在十章中
[00:04:20.200 --> 00:04:21.600]  很快的
[00:04:21.600 --> 00:04:23.600]  他跳的部分
[00:04:23.600 --> 00:04:27.600]  第一章很快就說到
[00:04:27.600 --> 00:04:39.200]  皇后為名而被皇帝廢去
[00:04:39.200 --> 00:04:40.800]  其實是很快的
[00:04:40.800 --> 00:04:44.000]  最重要是甚麼原因
[00:04:44.000 --> 00:04:47.200]  其實我們看第一章就會發覺
[00:04:47.200 --> 00:04:50.000]  是否真的剛巧
[00:04:50.000 --> 00:04:53.000]  在宴會裏面
[00:04:53.000 --> 00:04:56.000]  很想皇后來美美的老婆
[00:04:56.000 --> 00:04:58.400]  過來給我的神民看看
[00:04:58.400 --> 00:05:01.800]  給人民看看我的皇后多美
[00:05:01.800 --> 00:05:04.200]  我送了一個很美的後冠給她
[00:05:04.200 --> 00:05:08.400]  但其實第一章是很特別的
[00:05:08.400 --> 00:05:09.600]  為甚麼呢
[00:05:09.600 --> 00:05:15.400]  皇后竟然大膽拒絕皇上
[00:05:15.400 --> 00:05:19.000]  叫她來給人看
[00:05:19.000 --> 00:05:23.000]  通常不會拒絕的
[00:05:23.000 --> 00:05:24.000]  怎敢拒絕
[00:05:24.000 --> 00:05:26.000]  但其實第一章是很特別的
[00:05:26.000 --> 00:05:29.000]  因為我們才能到第二章
[00:05:29.000 --> 00:05:31.000]  我們的主角出場
[00:05:31.000 --> 00:05:32.000]  以斯帖
[00:05:32.000 --> 00:05:37.000]  以斯帖是一個孤女
[00:05:37.000 --> 00:05:43.000]  但竟然能夠被選為皇后
[00:05:43.000 --> 00:05:46.000]  裏面其實經歷了很多
[00:05:46.000 --> 00:05:49.000]  當我們看第二章的時候
[00:05:49.000 --> 00:05:51.000]  我們會很簡單地
[00:05:51.000 --> 00:05:53.000]  在選美的過程中
[00:05:53.000 --> 00:05:57.000]  我們會看到很多內幕
[00:05:57.000 --> 00:06:01.000]  原來有很多人都很幫她
[00:06:01.000 --> 00:06:03.000]  是否真的剛巧
[00:06:03.000 --> 00:06:05.000]  有時我都會在想
[00:06:05.000 --> 00:06:08.000]  又美貌又智慧
[00:06:08.000 --> 00:06:10.000]  每個人都疼她
[00:06:10.000 --> 00:06:12.000]  集於一身
[00:06:12.000 --> 00:06:15.000]  唯獨是她一個
[00:06:16.000 --> 00:06:19.000]  是否真的剛巧呢
