
[00:00:00.000 --> 00:00:02.600]  好,弟兄姊妹,大家平安
[00:00:02.600 --> 00:00:05.720]  很感恩
[00:00:05.720 --> 00:00:09.120]  在新的一年,2025年
[00:00:09.120 --> 00:00:11.560]  又可以在當中
[00:00:11.560 --> 00:00:14.440]  跟大家分享上帝的話語
[00:00:14.440 --> 00:00:17.680]  在新的一年
[00:00:17.680 --> 00:00:20.800]  有一個新的講道系列
[00:00:20.800 --> 00:00:22.400]  在今年的內
[00:00:22.400 --> 00:00:24.400]  我、Karen、Raymond
[00:00:24.400 --> 00:00:27.840]  我們會繼續跟大家分享
[00:00:27.840 --> 00:00:32.000]  這個新的講道系列是《亞摩斯書》
[00:00:32.000 --> 00:00:36.160]  在今天的第一講
[00:00:36.160 --> 00:00:38.920]  我給了一個主題
[00:00:38.920 --> 00:00:40.280]  一個講題就是
[00:00:40.280 --> 00:00:43.680]  世界這麼爛,與我何干
[00:00:43.680 --> 00:00:49.120]  經文記載在《亞摩斯書》一章二至三節
[00:00:49.120 --> 00:00:54.600]  一章至二章的三節
[00:00:54.600 --> 00:00:57.520]  因為篇幅比較長
[00:00:57.520 --> 00:01:00.240]  所以我今天首先選取了
[00:01:00.240 --> 00:01:03.240]  在篇幅裡頭五節的經文
[00:01:03.240 --> 00:01:05.800]  跟大家一起讀出
[00:01:05.800 --> 00:01:08.160]  先聽我讀出
[00:01:08.160 --> 00:01:12.720]  在一章,即是聖經記載
[00:01:12.720 --> 00:01:16.520]  「這是猶太王烏西亞在位與約阿斯的兒子」
[00:01:16.520 --> 00:01:19.640]  「以色列王耶羅伯安在位的時候」
[00:01:19.640 --> 00:01:21.240]  「大地震前二年」
[00:01:21.240 --> 00:01:25.160]  「從提哥瓦萊的木人亞摩斯所見的」
[00:01:25.160 --> 00:01:27.360]  「他的話論到以色列」
[00:01:27.360 --> 00:01:30.360]  「他說耶和華必從錫安敲叫」
[00:01:30.360 --> 00:01:32.200]  「從耶路撒冷出聲」
[00:01:32.200 --> 00:01:34.280]  「木人的草場哀傷」
[00:01:34.280 --> 00:01:36.880]  「加密的山頂枯乾」
[00:01:36.880 --> 00:01:38.360]  「耶和華如此說」
[00:01:38.360 --> 00:01:40.880]  「大馬士革三番四次犯罪」
[00:01:40.880 --> 00:01:43.640]  「以鐵的打擊擊打激烈」
[00:01:43.640 --> 00:01:47.160]  「我必不撤銷對他的懲罰」
[00:01:47.160 --> 00:01:49.960]  「我要降火在哈士的王宮」
[00:01:49.960 --> 00:01:52.400]  「吞滅變哈達的宮殿」
[00:01:52.400 --> 00:01:55.160]  「我要截斷大馬士革的門山」
[00:01:55.160 --> 00:01:57.720]  「剪除亞文平原的居民」
[00:01:57.720 --> 00:02:00.320]  「和伯伊甸的掌權者」
[00:02:00.320 --> 00:02:02.960]  「阿蘭人必被擄到吉爾」
[00:02:02.960 --> 00:02:05.160]  「這是耶和華說的」
[00:02:05.160 --> 00:02:07.160]  那麼
