
[00:00:00.000 --> 00:00:03.400]  新一年了,不是,是最後一年
[00:00:03.400 --> 00:00:06.000]  今年崇拜最後一次見大家
[00:00:06.000 --> 00:00:11.000]  今年最後一次崇拜見大家
[00:00:11.000 --> 00:00:13.000]  明年再見
[00:00:13.000 --> 00:00:17.000]  但知道原來人越來越大
[00:00:17.000 --> 00:00:20.000]  老花心得太多
[00:00:20.000 --> 00:00:23.000]  現在開始要戴眼鏡,平時都不用戴
[00:00:23.000 --> 00:00:26.000]  現在不行了,證明年紀越來越大
[00:00:26.000 --> 00:00:28.000]  唉,沒辦法了
[00:00:28.000 --> 00:00:32.000]  今天講到,還是那個系列
[00:00:32.000 --> 00:00:37.000]  繼承者們十三,即是最後一課
[00:00:37.000 --> 00:00:39.000]  留下來的國家
[00:00:39.000 --> 00:00:46.000]  是史詩記二章十六節至三章六節
[00:00:46.000 --> 00:00:51.000]  其實留下來的國家,我們繼承者們的意思是甚麼呢
[00:00:51.000 --> 00:00:56.000]  繼承,譬如家族遺產繼承者
[00:00:56.000 --> 00:01:03.000]  有時就是這樣,不知道大家聽過甚麼創業難
[00:01:03.000 --> 00:01:06.000]  首業更難
[00:01:06.000 --> 00:01:10.000]  有些人說富不過甚麼
[00:01:10.000 --> 00:01:17.000]  個個都懂,不要說你不懂,個個都懂
[00:01:17.000 --> 00:01:21.000]  王朝興衰都有原因
[00:01:21.000 --> 00:01:24.000]  如何落到下一代,如何去做
[00:01:24.000 --> 00:01:33.000]  如何去承繼遺產,如何去承繼創業,如何去承繼事業
[00:01:33.000 --> 00:01:38.000]  都有很多問題在裏面
[00:01:38.000 --> 00:01:43.000]  以色列人如何守住上帝的應許
[00:01:43.000 --> 00:01:48.000]  成為一個繼承者們呢
[00:01:48.000 --> 00:01:54.000]  讓我讀出史詩記二章十六節至三章六節
[00:01:54.000 --> 00:01:57.000]  今天我沒有喉沙,所以不用大家出來
[00:01:57.000 --> 00:01:59.000]  好,聽我讀
[00:01:59.000 --> 00:02:06.000]  「耶和華興起史詩,史詩就拯救他們,脫離搶奪他們之人的手」
[00:02:06.000 --> 00:02:16.000]  「然而他們卻不聽從史詩,竟隨從別臣而行淫,向他們跪拜」
[00:02:16.000 --> 00:02:26.000]  「他們列祖所行的道,所聽從耶和華的命令,他們都速速偏離了,並不照樣遵行」
[00:02:26.000 --> 00:02:37.000]  「耶和華為他們興起史詩,耶和華與史詩同在,史詩就在世的一切日子」
[00:02:37.000 --> 00:02:40.000]  「耶和華拯救他們,脫離仇敵的手」
[00:02:40.000 --> 00:02:47.000]  「耶和華因他們受欺壓,迫害所發出的哀聲,就憐憫他們」
[00:02:47.000 --> 00:02:58.000]  「但史詩一死,他們又轉去行惡,比他們祖宗更壞,去隨從別臣,侍奉跪拜他們」
[00:02:58.000 --> 00:03:03.000]  「總不放棄他們的惡習,和還緊的行為」
[00:03:03.000 --> 00:03:08.000]  「於是耶和華的怒氣,向以色列發作」
[00:03:08.000 --> 00:03:15.000]  「說:因為這國違背我吩咐他們列祖當守的約」
[00:03:15.000 --> 00:03:26.000]  「不聽從我的話,約書下死的時候所剩下的國,我必不再從他們面前說出任何一個」
[00:03:26.000 --> 00:03:37.000]  「為要藉此考驗以色列是否肯謹守遵行耶和華的道,像他們列祖一樣地謹守」
[00:03:37.000 --> 00:03:48.000]  「耶和華留下那些國家,不將他們出出、講出,也不把他們交在約書下的手中」
[00:03:48.000 --> 00:03:58.000]  「耶和華留下這些國家,為要考驗所有未曾經歷加難任何節翼的以色列人」
[00:03:58.000 --> 00:04:05.000]  「只要為了要以色列人的後代認識戰爭,教導他們」
[00:04:05.000 --> 00:04:13.000]  「尤其那些未曾認識這些事的人,留下的有非理士的五個領袖」
