
[00:00:00.000 --> 00:00:05.200]  好,以下下來有請我們中國神學院研究院
[00:00:05.200 --> 00:00:08.000]  黃國雄院長有請
[00:00:08.000 --> 00:00:11.200]  好,很感恩今晚能夠來到大家當中
[00:00:11.200 --> 00:00:14.600]  一起去敬拜和一起去思想上帝的說話
[00:00:14.600 --> 00:00:16.400]  多謝各位
[00:00:16.400 --> 00:00:21.600]  喂,是,多謝各位敬拜隊帶來一個這麼好的時間
[00:00:21.600 --> 00:00:24.400]  不如這樣吧,我也想邀請大家一起去祈禱
[00:00:24.400 --> 00:00:28.800]  祝你恩典救用
[00:00:28.800 --> 00:00:31.200]  人生的旅途很多起起跌跌
[00:00:31.200 --> 00:00:35.000]  不過我們經歷你的真實,我們多謝你
[00:00:35.000 --> 00:00:38.800]  我們多謝你,你也用我們的說話去餵養我們
[00:00:38.800 --> 00:00:41.800]  今晚當我們再打開你的說話
[00:00:41.800 --> 00:00:45.600]  求你讓我們去明白你更加多
[00:00:45.600 --> 00:00:47.400]  體會你更加多
[00:00:47.400 --> 00:00:52.600]  好讓我們一心一意地信服跟從你
[00:00:52.600 --> 00:00:54.600]  跟著將以下事人交託
[00:00:54.600 --> 00:00:56.600]  祈禱本耶穌基督的名,阿們
[00:00:56.600 --> 00:01:03.600]  培靈會的主題是破繭重生
[00:01:03.600 --> 00:01:09.600]  搜尋一下網站就出了這些圖
[00:01:09.600 --> 00:01:13.600]  我想破繭重生也是一個過程
[00:01:13.600 --> 00:01:16.600]  其實大家知道一點也不容易
[00:01:16.600 --> 00:01:20.600]  那條蟲需要一段時間去破出來
[00:01:20.600 --> 00:01:24.200]  我想挺好的,代表我們基督徒生命
[00:01:24.200 --> 00:01:26.200]  我不知道大家信了多久
[00:01:26.200 --> 00:01:30.200]  我想我們很多代在在都信了
[00:01:30.200 --> 00:01:32.600]  或者你信了耶穌的日子
[00:01:32.600 --> 00:01:34.600]  體會的東西就是信了一定起起跌跌
[00:01:34.600 --> 00:01:36.600]  是一個旅程
[00:01:36.600 --> 00:01:40.600]  所以重生不是一刻的事情
[00:01:40.600 --> 00:01:42.600]  其實是一個經歷
[00:01:42.600 --> 00:01:45.200]  這個經歷也有耶穌和我們同行
[00:01:45.200 --> 00:01:46.600]  今晚我想做什麼呢
[00:01:46.600 --> 00:01:50.200]  今晚我想用一個耶穌的門徒彼得
[00:01:50.200 --> 00:01:53.200]  一生跟從耶穌的故事
[00:01:53.200 --> 00:01:56.200]  去看看耶穌如何帶領他
[00:01:56.200 --> 00:02:00.200]  去經歷一個旅程的重生
[00:02:00.200 --> 00:02:02.200]  所以起點,今天有很多經文幫我想
[00:02:02.200 --> 00:02:05.200]  我不需要跟大家慢慢讀
[00:02:05.200 --> 00:02:08.200]  耶穌和彼得相遇
[00:02:08.200 --> 00:02:11.200]  或者彼得跟從主的旅程
[00:02:11.200 --> 00:02:13.200]  就在6、9分鐘第5章開始
[00:02:13.200 --> 00:02:15.200]  彼得是漁夫
[00:02:15.200 --> 00:02:17.200]  所以有一次耶穌去到湖邊
[00:02:17.200 --> 00:02:19.200]  就要呼召彼得
[00:02:19.200 --> 00:02:21.200]  之前是港獨
[00:02:21.200 --> 00:02:23.200]  很多人就憎恨耶穌
[00:02:23.200 --> 00:02:25.200]  然後耶穌怎樣呢
[00:02:25.200 --> 00:02:28.200]  就是上了彼得西門的船
[00:02:28.200 --> 00:02:30.200]  第3節就上去
[00:02:30.200 --> 00:02:32.200]  用他的船來港獨
