
[00:00:00.000 --> 00:00:02.760]  好,又跟大家分享時間了
[00:00:02.760 --> 00:00:06.520]  是不是很久沒見大家了
[00:00:06.520 --> 00:00:09.880]  也不是的,剛剛講完上篇道
[00:00:09.880 --> 00:00:12.120]  今天我講的道就是
[00:00:12.120 --> 00:00:13.640]  天開了三的
[00:00:13.640 --> 00:00:15.980]  更...更...更...
[00:00:15.980 --> 00:00:17.580]  我都講不出來
[00:00:17.580 --> 00:00:19.320]  更深認識著
[00:00:19.320 --> 00:00:22.480]  我應該要學一下咬字
[00:00:22.480 --> 00:00:23.940]  更深認識著
[00:00:23.940 --> 00:00:25.780]  講更深認識著的時候
[00:00:25.780 --> 00:00:29.080]  我很喜歡有些故事先講一下
[00:00:29.080 --> 00:00:31.080]  我講個故事
[00:00:31.080 --> 00:00:33.080]  記住,虛構的
[00:00:33.080 --> 00:00:35.080]  不要當真
[00:00:35.080 --> 00:00:37.080]  聽著
[00:00:37.080 --> 00:00:40.440]  有一個姐妹四十多歲
[00:00:40.440 --> 00:00:42.120]  她是單身的
[00:00:42.120 --> 00:00:43.880]  她想找個配偶
[00:00:43.880 --> 00:00:46.400]  但是找配偶的時候
[00:00:46.400 --> 00:00:50.560]  找不到,就去了一些叫配對的服務公司
[00:00:50.560 --> 00:00:54.920]  配對服務公司給了她一張照片
[00:00:54.920 --> 00:00:56.920]  你看看
[00:00:56.920 --> 00:00:59.920]  是不是,多帥
[00:00:59.920 --> 00:01:01.920]  在笑她
[00:01:01.920 --> 00:01:03.920]  多帥
[00:01:03.920 --> 00:01:06.920]  配對公司給了她一個Gorilla
[00:01:06.920 --> 00:01:09.920]  高大有錢有才華
[00:01:09.920 --> 00:01:13.920]  看完照片之後
[00:01:13.920 --> 00:01:15.920]  也好,OK
[00:01:15.920 --> 00:01:17.920]  這麼年輕
[00:01:17.920 --> 00:01:19.920]  怎樣更加認識她呢
[00:01:19.920 --> 00:01:22.920]  當然要見面才行
[00:01:22.920 --> 00:01:26.920]  一出來見面就變成怎樣
[00:01:26.920 --> 00:01:28.920]  這樣
[00:01:28.920 --> 00:01:30.920]  三位姐妹說
[00:01:30.920 --> 00:01:32.920]  好像老了一點
[00:01:32.920 --> 00:01:34.920]  不過也OK
[00:01:34.920 --> 00:01:36.920]  如果再更加認識她
[00:01:36.920 --> 00:01:38.920]  就出來約街聊聊天
[00:01:38.920 --> 00:01:40.920]  就出來聊聊天
[00:01:40.920 --> 00:01:44.920]  高大,為什麼你這麼高大
[00:01:44.920 --> 00:01:46.920]  當然高大,和159比
[00:01:46.920 --> 00:01:48.920]  當然高大
[00:01:48.920 --> 00:01:50.920]  你有錢
[00:01:50.920 --> 00:01:52.920]  你經常吃番薯
[00:01:52.920 --> 00:01:54.920]  你說你有錢
[00:01:54.920 --> 00:01:56.920]  每個人都有錢
[00:01:56.920 --> 00:01:58.920]  錢包當然有錢
[00:01:58.920 --> 00:02:00.920]  我沒有說很多錢
[00:02:00.920 --> 00:02:02.920]  當然有錢
[00:02:02.920 --> 00:02:04.920]  你有什麼才華
[00:02:04.920 --> 00:02:06.920]  當然有
[00:02:06.920 --> 00:02:10.920]  我有中華民族的國技
[00:02:10.920 --> 00:02:14.920]  叫做特色桌上遊戲
[00:02:14.920 --> 00:02:16.920]  即是什麼呢,打麻將
[00:02:16.920 --> 00:02:19.920]  天狗,打麻將
[00:02:19.920 --> 00:02:21.920]  那些桌上遊戲
[00:02:21.920 --> 00:02:23.920]  很特色的
[00:02:23.920 --> 00:02:25.920]  我這些很精通的
[00:02:25.920 --> 00:02:27.920]  這些都是才華
[00:02:27.920 --> 00:02:29.920]  姐妹聽完就再見
[00:02:29.920 --> 00:02:31.920]  我們在說
[00:02:31.920 --> 00:02:35.920]  我們去相親的時候
[00:02:35.920 --> 00:02:39.920]  要更加認識這個人
[00:02:39.920 --> 00:02:41.920]  要見他一面,和他溝通
[00:02:41.920 --> 00:02:43.920]  才認識他
[00:02:43.920 --> 00:02:46.920]  我們更加認識主,我們是怎樣呢
[00:02:46.920 --> 00:02:49.920]  是不是我們在裏面
[00:02:49.920 --> 00:02:52.920]  三個小時教會生活圈
[00:02:52.920 --> 00:02:54.920]  什麼叫三個小時教會生活圈呢
[00:02:54.920 --> 00:02:56.920]  就是我們回來崇拜
[00:02:56.920 --> 00:02:59.920]  立即去洗澡,這三個小時就完了
[00:02:59.920 --> 00:03:01.920]  那一個星期就沒有了
[00:03:01.920 --> 00:03:03.920]  這三個小時教會生活圈
[00:03:03.920 --> 00:03:08.920]  能夠令你更深去認識耶穌嗎
[00:03:08.920 --> 00:03:11.920]  所以我們今天試試看一看
[00:03:11.920 --> 00:03:15.920]  這段經文,上帝如何在經文裏
[00:03:15.920 --> 00:03:20.920]  教我們如何更深去認識這位上帝
[00:03:20.920 --> 00:03:23.920]  讓我讀出來
[00:03:23.920 --> 00:03:26.920]  讓我讀出來,你們用心聆聽
[00:03:26.920 --> 00:03:30.920]  用心聆聽我所讀的一切
[00:03:30.920 --> 00:03:32.920]  1,2,3,這個約翰福音
[00:03:32.920 --> 00:03:35.920]  1,章43至51字
[00:03:35.920 --> 00:03:39.920]  又過了一天,耶穌想要往加利利去
[00:03:39.920 --> 00:03:42.920]  他找到肥力,就對他說
[00:03:42.920 --> 00:03:46.920]  來,跟從我,這肥力是白菜大人
[00:03:46.920 --> 00:03:49.920]  是安德烈和彼得的同鄉
[00:03:49.920 --> 00:03:52.920]  肥力找到拿彈葉,對他說
[00:03:52.920 --> 00:03:55.920]  摩西在律法書上所寫的
[00:03:55.920 --> 00:03:58.920]  和眾仙之所記的那一位
[00:03:58.920 --> 00:04:02.920]  我們遇見了就是約瑟的兒子
[00:04:02.920 --> 00:04:04.920]  拿撒勒人耶穌
[00:04:04.920 --> 00:04:06.920]  拿彈葉對他說
[00:04:06.920 --> 00:04:10.920]  拿撒勒還能出什麼好的嗎
[00:04:10.920 --> 00:04:13.920]  肥力說,你來看
[00:04:13.920 --> 00:04:16.920]  耶穌看見拿彈葉向他走來
[00:04:16.920 --> 00:04:18.920]  就論到他說
[00:04:18.920 --> 00:04:21.920]  看,這真是個以色列人
[00:04:21.920 --> 00:04:24.920]  他心裏是沒有鬼的
[00:04:24.920 --> 00:04:26.920]  拿彈葉對耶穌說
[00:04:26.920 --> 00:04:28.920]  你從哪裡認識我的
[00:04:28.920 --> 00:04:30.920]  耶穌回答他說
[00:04:30.920 --> 00:04:32.920]  肥力還沒有呼喚你
[00:04:32.920 --> 00:04:34.920]  你在無花的樹底下
[00:04:34.920 --> 00:04:37.920]  我就看見你了
[00:04:37.920 --> 00:04:39.920]  拿彈葉回答他
[00:04:39.920 --> 00:04:41.920]  拉比,你是上帝的兒子
[00:04:41.920 --> 00:04:43.920]  你是以色列的王
[00:04:43.920 --> 00:04:45.920]  耶穌回答他說
[00:04:45.920 --> 00:04:48.920]  因為我說在無花的樹底下
[00:04:48.920 --> 00:04:51.920]  看見你,你就信嗎
[00:04:51.920 --> 00:04:55.920]  你將看見比這些更大的事
[00:04:55.920 --> 00:04:59.920]  他又說,我實實在在地告訴你們
[00:04:59.920 --> 00:05:02.920]  你們將要看見天開了
[00:05:02.920 --> 00:05:08.920]  上帝的使者在人子身上上去下來
[00:05:08.920 --> 00:05:12.920]  好,一看經文,第43節說
[00:05:12.920 --> 00:05:15.920]  過了一天,即是過了第幾天
[00:05:15.920 --> 00:05:18.920]  我不在這裏說,待會補充
[00:05:18.920 --> 00:05:24.920]  然後,耶穌主動去找肥力
[00:05:24.920 --> 00:05:26.920]  主動找肥力做什麼
[00:05:26.920 --> 00:05:31.920]  來跟從我的意思是叫他做門徒
[00:05:31.920 --> 00:05:37.920]  以前的老師很少去找門徒
[00:05:37.920 --> 00:05:40.920]  是門徒來拜師學藝
[00:05:40.920 --> 00:05:43.920]  他不會去求人跟隨他
[00:05:43.920 --> 00:05:46.920]  但耶穌做了這方面
[00:05:46.920 --> 00:05:50.920]  叫人做他的門徒
[00:05:50.920 --> 00:05:54.920]  為何肥力跟從主呢
[00:05:54.920 --> 00:05:58.920]  說一句,為何會跟從他呢
