
[00:00:00.000 --> 00:00:11.320]  各位電影知識,無論在現場或網上直播都平安
[00:00:11.320 --> 00:00:14.080]  今日繼續我們一個講道的系列
[00:00:14.080 --> 00:00:16.080]  就是一位童童設計
[00:00:16.080 --> 00:00:18.680]  就是與耶穌一起慢活
[00:00:18.680 --> 00:00:23.960]  我定了你的講題就是如何獲得一個新心靈的滋潤
[00:00:23.960 --> 00:00:27.800]  在新心靈的滋潤的時候我們都會經常被罰
[00:00:27.800 --> 00:00:30.200]  先問一下,當我做直播教練的時候
[00:00:30.200 --> 00:00:33.200]  有時和客人定一些目標
[00:00:33.200 --> 00:00:36.000]  其中一個就是關於身體健康
[00:00:36.000 --> 00:00:40.200]  身體健康大家的滿意程度如何呢?
[00:00:40.200 --> 00:00:42.200]  你不用回答我,你心裏面1至10
[00:00:42.200 --> 00:00:45.400]  10就是完美,很滿意,非常享受
[00:00:45.400 --> 00:00:50.000]  5就是接近,7就是面對面覺得8都可以
[00:00:50.000 --> 00:00:52.000]  你心裏面想著這個數字
[00:00:52.000 --> 00:00:56.000]  通常我們直播教練知道客人定了一個數字的時候
[00:00:56.000 --> 00:00:58.000]  就問你為什麼定這個數字
[00:00:58.000 --> 00:01:02.000]  或者你將來想改進多少呢?
[00:01:02.000 --> 00:01:06.000]  另外,我知道大家都疲乏了
[00:01:06.000 --> 00:01:08.000]  介紹一下我平時在家裏會做的
[00:01:08.000 --> 00:01:10.000]  我稱為神操
[00:01:10.000 --> 00:01:12.000]  之前有些同事和工作人員都跟過我做
[00:01:12.000 --> 00:01:15.000]  我只做兩招,先做頸部
[00:01:15.000 --> 00:01:18.000]  頸部你可以慢慢向上伸展
[00:01:18.000 --> 00:01:20.000]  慢慢就行了,剛才我見到有個會眾
[00:01:20.000 --> 00:01:23.000]  拋東西上去,千萬不要這樣做
[00:01:23.000 --> 00:01:26.000]  網上的小朋友,大家不要跟著我
[00:01:26.000 --> 00:01:29.000]  這是安全的動作,有專人指導的
[00:01:29.000 --> 00:01:31.000]  慢慢向上伸展
[00:01:31.000 --> 00:01:35.000]  這個對於低頭族的數碼住民
[00:01:35.000 --> 00:01:37.000]  你應該很久沒有做這個動作了
[00:01:37.000 --> 00:01:40.000]  特別是DSE的同學,我知道你放完榜的時候
[00:01:40.000 --> 00:01:42.000]  應該是,好,你可以下來
[00:01:42.000 --> 00:01:45.000]  向左都可以
[00:01:45.000 --> 00:01:48.000]  你說很緊的,那小心了
[00:01:48.000 --> 00:01:51.000]  你不要再伸展了,因為你的程度已經夠了
[00:01:51.000 --> 00:01:54.000]  向右
[00:01:54.000 --> 00:01:58.000]  如果你睡著了,你可以放手在旁邊
[00:01:58.000 --> 00:02:01.000]  另一邊會有少少拉緊
[00:02:01.000 --> 00:02:03.000]  反過來也可以
[00:02:03.000 --> 00:02:05.000]  這個就是頸部伸展
[00:02:05.000 --> 00:02:08.000]  手部,差點像大家在打讚美操
[00:02:08.000 --> 00:02:10.000]  這是第二個動作
[00:02:10.000 --> 00:02:14.000]  手部,這樣,90度
[00:02:14.000 --> 00:02:16.000]  然後打開
[00:02:16.000 --> 00:02:20.000]  如果在家,我建議大家貼著牆
[00:02:20.000 --> 00:02:23.000]  貼著牆做,你會覺得很難
[00:02:23.000 --> 00:02:25.000]  手肘,我看到有些是做得到的
[00:02:25.000 --> 00:02:27.000]  平時你也有張開的
[00:02:27.000 --> 00:02:29.000]  平時大家用手機打字的時候
[00:02:29.000 --> 00:02:32.000]  其實你是不會的,你的肩膀會縮起了
[00:02:32.000 --> 00:02:34.000]  你是很少會做這個動作的
[00:02:34.000 --> 00:02:37.000]  這是擴闊你的肩膀和胸肌
[00:02:37.000 --> 00:02:40.000]  這兩個動作會幫到大家舒緩
[00:02:40.000 --> 00:02:44.000]  希望幫到大家在身體上有個舒展
[00:02:44.000 --> 00:02:48.000]  有這個過去表面的休息
[00:02:48.000 --> 00:02:51.000]  剛才也有問敬拜隊休息如何
[00:02:51.000 --> 00:02:54.000]  大家休息可能少於七小時睡眠
[00:02:54.000 --> 00:02:56.000]  在香港的統計時間
[00:02:56.000 --> 00:02:58.000]  其實我們也會面臨幾種
[00:02:58.000 --> 00:03:00.000]  第一種是我們表面休息
[00:03:00.000 --> 00:03:02.000]  但我們其實是休息不了的
[00:03:02.000 --> 00:03:04.000]  大家在床上的時候
[00:03:04.000 --> 00:03:07.000]  如果你有手機會記錄你何時開始入睡
[00:03:07.000 --> 00:03:10.000]  你回到床上,其實不代表你已經入睡
[00:03:10.000 --> 00:03:12.000]  可能你在做其他事情
[00:03:12.000 --> 00:03:14.000]  其實你的身體是沒有回復的
[00:03:14.000 --> 00:03:18.000]  另一種就是你的內心是否能夠休息
[00:03:18.000 --> 00:03:21.000]  未必的,可能你內心想靜下來
[00:03:21.000 --> 00:03:25.000]  但靜不了,有很多那天的思緒會浮現出來
[00:03:25.000 --> 00:03:29.000]  突然間人事物或心情情緒會浮現
[00:03:29.000 --> 00:03:33.000]  第三種可能是在信念上、靈性上
[00:03:33.000 --> 00:03:37.000]  你很想親近神,但往往會有些掙扎
[00:03:37.000 --> 00:03:40.000]  在預備這篇講座的時候
[00:03:40.000 --> 00:03:42.000]  我特意看了一些調查
[00:03:42.000 --> 00:03:44.000]  關於青年人的突破
[00:03:44.000 --> 00:03:46.000]  他在2023年出版了一本新書
[00:03:46.000 --> 00:03:48.000]  他引用了2019年的數據
[00:03:48.000 --> 00:03:49.000]  大家可以看下去
[00:03:49.000 --> 00:03:53.000]  2019年他看到在香港青少年
[00:03:53.000 --> 00:03:57.000]  七成普遍都是感到精力耗竭
[00:03:57.000 --> 00:03:59.000]  現場這裡應該不止七成
[00:03:59.000 --> 00:04:01.000]  可能是九成,甚至在網上
[00:04:01.000 --> 00:04:05.000]  甚至有四成是有一個叫逆休息的觀念
[00:04:05.000 --> 00:04:07.000]  我也是第一次接觸這個觀念
[00:04:07.000 --> 00:04:08.000]  什麼叫逆休息呢?
[00:04:08.000 --> 00:04:14.000]  就是你會認為還未完成工作,不敢休息或不准休息
[00:04:14.000 --> 00:04:19.000]  甚至你休息完的時候,也會有內疚感
[00:04:19.000 --> 00:04:21.000]  這種就是逆休息
[00:04:21.000 --> 00:04:25.000]  這種對於休息是有污名化觀念的
[00:04:25.000 --> 00:04:27.000]  不想休息,也不敢去休息
[00:04:27.000 --> 00:04:30.000]  在這個統計的時候
[00:04:30.000 --> 00:04:36.000]  也被我們看到,你說Jimmy我已經不需要學業掙扎
[00:04:36.000 --> 00:04:38.000]  我也是就職,可惜
[00:04:38.000 --> 00:04:43.000]  因為在香港也知道,就算畢業後不需要給功課或考試
[00:04:43.000 --> 00:04:46.000]  你會影響另一個我們稱為社畜的生活
[00:04:46.000 --> 00:04:48.000]  職稱大家也會明白
[00:04:48.000 --> 00:04:50.000]  在香港的時候,真的榜上有名
[00:04:50.000 --> 00:04:54.000]  在2023年,一個歧視的世界城市和生活平衡調查報告
[00:04:54.000 --> 00:04:56.000]  Work Life Balance City Index
[00:04:56.000 --> 00:04:59.000]  你可以找到一個著名的調查統計
[00:04:59.000 --> 00:05:03.000]  列出全球過勞最嚴重的城市
[00:05:03.000 --> 00:05:07.000]  香港竟然排第二
[00:05:07.000 --> 00:05:11.000]  擊敗了東京和首爾,因為那兩個都非常多
[00:05:11.000 --> 00:05:14.000]  但那兩個應該正在改善
[00:05:14.000 --> 00:05:16.000]  全球排名第一的過勞是哪裏呢?
[00:05:16.000 --> 00:05:20.000]  就是杜拜,第三就是吉隆坡,第四就是新加坡
[00:05:20.000 --> 00:05:24.000]  第五就是烏拉圭的蒙特維多
[00:05:24.000 --> 00:05:26.000]  香港有幸排到第二
[00:05:26.000 --> 00:05:31.000]  在工時長和工作壓力
[00:05:31.000 --> 00:05:36.000]  如果大家有在這裏就職的,兼職的,兼職的,創業者
[00:05:36.000 --> 00:05:38.000]  你也會明白在這種工作壓力的時候
[00:05:38.000 --> 00:05:41.000]  究竟我們在這種工作壓力的時候
[00:05:41.000 --> 00:05:45.000]  怎樣能夠獲得身心靈的滋潤呢?
[00:05:45.000 --> 00:05:47.000]  我們首先要面對一些掙扎
[00:05:47.000 --> 00:05:49.000]  其實我們大家都有
[00:05:49.000 --> 00:05:51.000]  在身體上的掙扎,我們知道要休息
[00:05:51.000 --> 00:05:56.000]  不過總是會覺得工作或學業這麼辛苦的時候
[00:05:56.000 --> 00:05:58.000]  我當然要有些娛樂平衡
