
[00:00:00.000 --> 00:00:14.560]  首先祝福大家,新的一年很希望大家可以在一個穩步、前行、得因得力的狀況裏面
[00:00:14.560 --> 00:00:20.160]  我們知道世代很艱難,經濟狀況未必是最理想
[00:00:20.160 --> 00:00:30.800]  但神沒有因典,神的因典是大到不能預測
[00:00:30.800 --> 00:00:35.440]  我希望大家可以活在神的心意裏面
[00:00:35.440 --> 00:00:43.600]  因此很想藉著這個講題,是2025年一個新的系列
[00:00:43.600 --> 00:00:47.040]  是關於世代,Generations
[00:00:47.040 --> 00:01:03.360]  寫了這句口號,讓我們每一個都可以從上帝的視角去看我們身處的世代
[00:01:03.360 --> 00:01:10.720]  有個心意就是為後來的人,可能是我們的孩子,可能是我們孩子的孩子
[00:01:10.720 --> 00:01:14.560]  去留下美好的屬靈遺產
[00:01:14.560 --> 00:01:22.720]  當我們願意用一個延續敬畏神的世代角度來思考的時候
[00:01:22.720 --> 00:01:30.080]  我們身處在這個地方,我們所讀的聖經,我們每天所祈的禱,我們做的靈修
[00:01:30.080 --> 00:01:35.600]  我們都會見到世代的重要性
[00:01:35.600 --> 00:01:44.240]  因為我們見到聖經很多時候都用一個世代做一個單位去講一些說話給我們每個人聽
[00:01:44.240 --> 00:01:48.080]  神會宣告一個世代的惡行
[00:01:48.080 --> 00:01:53.520]  因為人遠離了這個世代,遠離了神創造的那個尾線
[00:01:53.520 --> 00:02:01.200]  但同時間,他亦都宣布對整個世代,對往後的世代的拯救
[00:02:01.200 --> 00:02:08.400]  整個的救贖計劃是很長遠,是遠到我們不能夠想像的
[00:02:08.400 --> 00:02:19.600]  遺留下來的信息是世世代代都可以有根有據,有依可尋去學習如何去敬畏神
[00:02:19.600 --> 00:02:27.920]  同時間,亦都對我們每一個還在地上生活,有生命氣息的人有一個信息
[00:02:27.920 --> 00:02:33.040]  就是我們倚靠主,根生改變
[00:02:33.040 --> 00:02:39.440]  鼓勵我們每個人捉緊自己生命的時間,愛惜剛陰
[00:02:39.440 --> 00:02:44.560]  因為神會藉著我們在生之年,幫助我們去轉化一些雜質
[00:02:44.560 --> 00:02:55.520]  有些不合神心意的事情,神可以幫我們去釐清,去梳理,甚至去洗乾淨
[00:02:55.520 --> 00:03:01.120]  叫我們所呈現的生命,讓我們下一代,讓我們之後的人
[00:03:01.120 --> 00:03:07.280]  來看到我們的生命見證的人,都能夠知道神是這樣的
[00:03:07.280 --> 00:03:14.080]  我們每一個人在傳承一個不一樣的,神給我們祝福的生命
[00:03:14.080 --> 00:03:24.720]  因此,今年小力園堂有十四講,都是關於世代,十四段的經文
[00:03:24.720 --> 00:03:32.080]  讓大家藉著不同目者的演繹,去告訴大家世代的重要性
[00:03:32.080 --> 00:03:35.920]  今天我們坐在這裡,不是單單為了自己的事
[00:03:35.920 --> 00:03:38.960]  今天我們坐在這裡,有一個原因
[00:03:38.960 --> 00:03:46.560]  因為我們要將神給我們的恩惠、慈愛,繼續傳下去
[00:03:46.560 --> 00:03:51.280]  今天是第一講,很希望藉著這三點去跟大家分享
[00:03:51.280 --> 00:03:59.920]  世代的重啟,彩虹的永約,有兩面,神的信實和主權
[00:03:59.920 --> 00:04:05.600]  請聽我讀出今天的經文,《創世紀》九章八至十三節
[00:04:05.600 --> 00:04:09.040]  聖經說:「神對羅亞和同他一起的兒子說:
[00:04:09.040 --> 00:04:15.200]  「看!我要與你們和你們後裔納我的約,包括和你們一起所有的生物
[00:04:15.200 --> 00:04:22.240]  就是飛鳥、牲畜、地上一切的走獸,凡從方舟裡出來的地上一切的生物
[00:04:22.240 --> 00:04:28.560]  我要與你們納我的約,凡有血肉的,不再被洪水滅絕
[00:04:28.560 --> 00:04:31.600]  也不再有洪水毀壞這地了
[00:04:31.600 --> 00:04:41.280]  神說:這是我與你們以及和你們一起的一切生物所納之永約的記號,直到萬代
[00:04:41.280 --> 00:04:47.040]  我把彩虹放在雲中,這就是我與地納約的記號了
[00:04:47.040 --> 00:04:52.000]  我使雲遮地的時候,會有彩虹出現在雲中
[00:04:52.000 --> 00:04:57.120]  我就紀念我與你們以及各樣有血肉的生物所納的約
[00:04:57.120 --> 00:05:01.600]  不再有洪水氾濫去毀滅一切有血肉的了
[00:05:01.600 --> 00:05:04.800]  彩虹出現在雲中,我看見了
[00:05:04.800 --> 00:05:10.800]  就要紀念神與地上一切有血肉的生物所納的永約
[00:05:10.800 --> 00:05:21.040]  神對羅亞說:這就是我與地上一切有血肉的納約的記號
[00:05:21.040 --> 00:05:28.960]  經文講述了洪水所滅的世界之後
[00:05:28.960 --> 00:05:34.320]  洪水退卻之後,生活的狀況會是怎樣
[00:05:34.320 --> 00:05:40.400]  基本上我們每一個都是被洪水毀滅之後
[00:05:40.400 --> 00:05:47.120]  一個新的世代,被拯救的世代,羅亞一家所出來的後代
[00:05:47.120 --> 00:05:51.760]  我們每一個都是在洪水之後被拯救
[00:05:51.760 --> 00:05:57.280]  在方舟裏面,再可以生存到
[00:05:57.280 --> 00:06:02.240]  得著方舟的救恩,之後得以存活的後代
[00:06:02.240 --> 00:06:04.800]  我們在座每一個都是
