
[00:00:00.000 --> 00:00:13.000]  多謝阿細和敬拜隊帶領我們去敬拜
[00:00:13.000 --> 00:00:17.000]  剛才坐在下面聽阿細帶領我們去敬拜
[00:00:17.000 --> 00:00:22.000]  心裏面感覺到一份渴慕
[00:00:22.000 --> 00:00:24.000]  特別在這段日子裏面
[00:00:24.000 --> 00:00:28.000]  我們沒有機會進行實體聚會
[00:00:28.000 --> 00:00:32.000]  心裏面確實有一份渴慕
[00:00:32.000 --> 00:00:35.000]  何時我們可以走在一起去敬拜呢?
[00:00:35.000 --> 00:00:39.000]  現在看著螢幕的弟兄姊妹
[00:00:39.000 --> 00:00:40.000]  看著螢幕的時候
[00:00:40.000 --> 00:00:43.000]  那種不夠的渴望
[00:00:43.000 --> 00:00:46.000]  感覺到更加親近
[00:00:46.000 --> 00:00:48.000]  可以和弟兄姊妹一起
[00:00:48.000 --> 00:00:51.000]  站在這個位置
[00:00:51.000 --> 00:00:56.000]  也想告訴在螢幕看直播的弟兄姊妹朋友
[00:00:56.000 --> 00:00:59.000]  其實看著空的禮堂來大敬拜
[00:00:59.000 --> 00:01:01.000]  其實也不容易
[00:01:01.000 --> 00:01:04.000]  大家心裏有份渴慕
[00:01:04.000 --> 00:01:06.000]  很想我們一起去敬拜
[00:01:06.000 --> 00:01:09.000]  剛剛過了星期三
[00:01:09.000 --> 00:01:17.000]  我們恢復一次用Zoom來做祈禱會
[00:01:17.000 --> 00:01:23.000]  當我第一次在螢幕看著那些格仔人
[00:01:23.000 --> 00:01:25.000]  一格一格的弟兄姊妹的時候
[00:01:25.000 --> 00:01:31.000]  突然有一份很久沒見的感動
[00:01:31.000 --> 00:01:35.000]  我想這可能是我們這段日子心裏的感覺
[00:01:35.000 --> 00:01:39.000]  所以今天選了這段經文
[00:01:39.000 --> 00:01:40.000]  很想和大家分享
[00:01:40.000 --> 00:01:42.000]  《不可停止的信仰生活》
[00:01:42.000 --> 00:01:45.000]  希伯來書第十章19-25
[00:01:45.000 --> 00:01:47.000]  請聽我讀出來
[00:01:47.000 --> 00:01:49.000]  所以弟兄們
[00:01:49.000 --> 00:01:54.000]  既然我們靠著耶穌的血得以坦然進入至聖所
[00:01:54.000 --> 00:01:58.000]  是藉著祂給我們開了一條又新又活的路
[00:01:58.000 --> 00:01:59.000]  從萬子經過
[00:01:59.000 --> 00:02:02.000]  這萬子就是祂的身體
[00:02:02.000 --> 00:02:06.000]  既然我們有一位偉大祭司治理上帝的家
[00:02:06.000 --> 00:02:10.000]  那麼我們該用誠心和充足的信心
[00:02:10.000 --> 00:02:12.000]  同以夢見證無虧的良心
[00:02:12.000 --> 00:02:16.000]  和清水洗淨了的身體來親近上帝
[00:02:16.000 --> 00:02:19.000]  我們要堅守所宣認的指望
[00:02:19.000 --> 00:02:20.000]  毫不動搖
[00:02:20.000 --> 00:02:23.000]  因為應許我們的那位是信實的
[00:02:23.000 --> 00:02:25.000]  我們要彼此相顧
[00:02:25.000 --> 00:02:26.000]  激發愛心
[00:02:26.000 --> 00:02:27.000]  勉勵行善
[00:02:27.000 --> 00:02:28.000]  不可停止聚會
[00:02:28.000 --> 00:02:30.000]  好像那些停止慣了的人
[00:02:30.000 --> 00:02:32.000]  都要彼此勸勉
[00:02:32.000 --> 00:02:34.000]  既知道那日子臨近
[00:02:34.000 --> 00:02:35.000]  就更當如此
[00:02:35.000 --> 00:02:37.000]  我們一起祈禱
[00:02:37.000 --> 00:02:40.000]  天父我們感謝你
[00:02:40.000 --> 00:02:43.000]  當我們每個星期
